site,A_leaves,B_plants,C_algae,D_compost,E_soil,F_effluent,G_sewage,H_groundwater
JS-01,0.156,0.085,0.108,0.114,0.043,0.317,0.054,0.124
JS-02,0.208,0.068,0.068,0.069,0.038,0.369,0.047,0.133
JS-03,0.164,0.059,0.098,0.078,0.042,0.379,0.039,0.142
JS-04,0.12,0.073,0.148,0.074,0.046,0.416,0.035,0.089
JS-05,0.151,0.059,0.11,0.095,0.05,0.397,0.039,0.098
JS-06,0.028,0.307,0.254,0.044,0.271,0.054,0.015,0.025
JS-07,0.133,0.092,0.135,0.048,0.047,0.381,0.039,0.124
JS-08,0.053,0.095,0.19,0.063,0.033,0.328,0.034,0.203
JS-09,0.093,0.06,0.105,0.057,0.042,0.482,0.037,0.125
JS-10,0.221,0.101,0.13,0.054,0.037,0.175,0.043,0.239
JS-11,0.07,0.047,0.106,0.057,0.046,0.546,0.043,0.086
JS-12,0.105,0.048,0.074,0.069,0.048,0.445,0.047,0.165
JS-13,0.11,0.05,0.078,0.063,0.046,0.465,0.041,0.147
JS-14,0.116,0.067,0.124,0.048,0.052,0.425,0.036,0.132
JS-15,0.071,0.109,0.19,0.105,0.1,0.255,0.055,0.116
JS-16,0.064,0.219,0.21,0.046,0.182,0.168,0.04,0.07
JS-17,0.059,0.137,0.163,0.073,0.118,0.316,0.049,0.083
JS-18,0.159,0.063,0.089,0.084,0.038,0.344,0.039,0.185
JS-19,0.064,0.048,0.1,0.068,0.041,0.547,0.037,0.095
JS-20,0.109,0.077,0.094,0.062,0.071,0.42,0.064,0.103
JS-21,0.064,0.052,0.071,0.077,0.054,0.472,0.094,0.117
JS-22,0.038,0.185,0.122,0.095,0.16,0.076,0.132,0.192
JS-23,0.091,0.058,0.073,0.076,0.051,0.427,0.065,0.159
JS-24,0.065,0.04,0.07,0.065,0.043,0.537,0.06,0.119
JS-25,0.086,0.058,0.08,0.085,0.059,0.423,0.103,0.107
JS-26,0.12,0.058,0.073,0.058,0.045,0.437,0.038,0.173
JS-27,0.073,0.048,0.068,0.082,0.049,0.508,0.069,0.103
JS-28,0.067,0.045,0.078,0.06,0.04,0.513,0.054,0.144
JS-29,0.088,0.054,0.069,0.083,0.057,0.462,0.084,0.103
JS-30,0.185,0.087,0.136,0.066,0.033,0.156,0.035,0.302
JS-31,0.058,0.049,0.081,0.074,0.049,0.524,0.07,0.095
JS-32,0.094,0.057,0.074,0.066,0.046,0.477,0.054,0.132
JS-33,0.091,0.083,0.116,0.126,0.091,0.205,0.09,0.198
JS-34,0.125,0.066,0.078,0.127,0.064,0.315,0.097,0.128
JS-35,0.057,0.049,0.087,0.057,0.044,0.529,0.044,0.131
JS-36,0.084,0.047,0.069,0.067,0.045,0.504,0.067,0.116
