site,A_leaves,B_plants,C_algae,D_compost,E_soil,F_effluent,G_sewage,H_groundwater,round
JS-01,0.012,0.01,0.115,0.02,0.143,0.563,0.091,0.046,round01
JS-02,0.014,0.014,0.137,0.023,0.175,0.513,0.077,0.047,round01
JS-03,0.019,0.013,0.127,0.026,0.172,0.535,0.067,0.04,round01
JS-04,0.017,0.014,0.142,0.026,0.173,0.521,0.07,0.038,round01
JS-05,0.012,0.015,0.161,0.022,0.166,0.488,0.081,0.055,round01
JS-06,0.02,0.014,0.125,0.03,0.185,0.535,0.057,0.036,round01
JS-07,0.015,0.017,0.139,0.025,0.165,0.53,0.067,0.041,round01
JS-08,0.011,0.015,0.161,0.019,0.171,0.443,0.11,0.07,round01
JS-09,0.016,0.014,0.133,0.024,0.168,0.523,0.079,0.044,round01
JS-10,0.012,0.013,0.148,0.023,0.164,0.492,0.093,0.055,round01
JS-11,0.016,0.009,0.1,0.03,0.136,0.584,0.082,0.042,round01
JS-12,0.011,0.01,0.123,0.021,0.13,0.395,0.207,0.103,round01
JS-13,0.013,0.014,0.132,0.022,0.156,0.527,0.086,0.049,round01
JS-14,0.013,0.013,0.132,0.022,0.155,0.505,0.101,0.058,round01
JS-15,0.011,0.013,0.16,0.02,0.155,0.452,0.112,0.077,round01
JS-16,0.014,0.012,0.124,0.024,0.157,0.536,0.082,0.051,round01
JS-17,0.016,0.013,0.12,0.025,0.155,0.546,0.082,0.044,round01
JS-18,0.017,0.013,0.118,0.026,0.158,0.556,0.07,0.042,round01
JS-19,0.016,0.012,0.119,0.026,0.156,0.546,0.078,0.048,round01
JS-20,0.013,0.011,0.127,0.021,0.154,0.514,0.103,0.057,round01
JS-21,0.016,0.011,0.107,0.023,0.14,0.551,0.101,0.051,round01
JS-22,0.014,0.009,0.104,0.025,0.133,0.553,0.11,0.051,round01
JS-23,0.013,0.011,0.118,0.022,0.141,0.504,0.128,0.062,round01
JS-24,0.014,0.012,0.118,0.026,0.143,0.54,0.095,0.052,round01
JS-25,0.012,0.012,0.115,0.023,0.141,0.512,0.122,0.064,round01
JS-26,0.015,0.01,0.116,0.024,0.148,0.551,0.084,0.051,round01
JS-27,0.015,0.011,0.111,0.025,0.141,0.543,0.103,0.052,round01
JS-28,0.013,0.01,0.111,0.025,0.135,0.531,0.116,0.058,round01
JS-29,0.015,0.012,0.119,0.023,0.143,0.523,0.104,0.06,round01
JS-30,0.013,0.014,0.141,0.022,0.159,0.494,0.099,0.059,round01
JS-31,0.014,0.012,0.124,0.025,0.149,0.532,0.091,0.054,round01
JS-32,0.014,0.011,0.118,0.024,0.154,0.542,0.087,0.05,round01
JS-33,0.011,0.009,0.1,0.024,0.109,0.394,0.274,0.079,round01
JS-34,0.012,0.013,0.116,0.023,0.14,0.536,0.103,0.056,round01
JS-35,0.013,0.011,0.115,0.022,0.141,0.522,0.113,0.061,round01
JS-36,0.015,0.01,0.111,0.027,0.153,0.546,0.089,0.049,round01
JS-01,0.017,0.02,0.108,0.041,0.166,0.439,0.178,0.031,round02
JS-02,0.03,0.027,0.115,0.056,0.202,0.436,0.106,0.029,round02
JS-03,0.035,0.025,0.113,0.064,0.207,0.429,0.101,0.026,round02
JS-04,0.034,0.033,0.127,0.06,0.231,0.402,0.087,0.025,round02
JS-05,0.021,0.027,0.136,0.047,0.185,0.438,0.114,0.031,round02
JS-06,0.02,0.028,0.13,0.046,0.191,0.434,0.119,0.031,round02
JS-07,0.025,0.031,0.124,0.05,0.2,0.447,0.095,0.028,round02
JS-08,0.024,0.025,0.119,0.048,0.191,0.448,0.116,0.029,round02
JS-09,0.018,0.026,0.125,0.042,0.173,0.447,0.136,0.034,round02
