date,pH,DO,BOD,COD,SS,TN,TP,TOC,WT,EC,TC,NH3N,PO4P,Chla,FC,Flow,Rain,time
2020-01-06,7.8,13.1,1.8,4.5,6.7,3.123,0.104,4.3,3.8,396,1600,0.217,0.061,7.1,380,2.108,15.5,3657
2020-01-13,6.9,11.9,1.4,5.4,4.8,3.315,0.093,4.4,5.4,230,2500,0.068,0.07,3.4,330,5.104,0,3664
2020-01-20,7.9,11.7,0.9,4.8,3.7,3.085,0.074,4.1,4,407,1400,0.037,0.048,2.9,350,2.522,0,3671
2020-01-28,7.8,13.6,1.6,5.2,4.9,2.516,0.075,4.1,7.5,308,2900,0.137,0.049,8.4,400,3.758,0,3679
2020-02-03,7.8,13.3,1.8,5.1,3.7,2.175,0.08,4.3,6.2,222,2900,0.192,0.043,34.3,750,6.495,0,3685
2020-02-14,7.9,11.5,2.1,5.7,8.5,2.537,0.072,4.6,7.7,310,520,0.069,0.035,16.7,120,4.805,0,3696
2020-02-19,7.7,14.6,2,5.4,5.2,2.586,0.09,4,6.4,375,2300,0.123,0.048,5.4,180,4.574,0,3701
2020-02-24,7.9,14.6,2.2,5.6,8.9,2.533,0.075,4.7,8.6,332,1400,0.163,0.036,14.4,110,4.502,0.9,3706
2020-03-02,7.8,13.5,1.3,5,5.7,2.881,0.079,4.7,10.1,323,2900,0.372,0.05,3.4,750,4.559,0,3713
2020-03-09,7.6,11.1,2.2,5,6.6,2.631,0.074,4.8,10.6,234,1300,0.194,0.029,13.5,440,2.897,4.5,3720
2020-03-16,8,13.7,2.5,5.7,8.1,2.511,0.088,4,9,319,3000,0.011,0.031,12.9,80,2.819,0,3727
2020-03-23,9.2,13,4,9.1,18.1,1.886,0.147,6.5,13.2,328,400,0.006,0.009,54.6,220,1.818,0,3734
2020-03-30,8.8,12.4,4.6,8.2,14.4,1.722,0.145,6.6,13,266,400,0.062,0.012,92.7,20,2.644,0,3741
2020-04-06,7.1,11.5,4.7,9.4,16.6,1.088,0.099,5.8,11.5,309,80,0.005,0.012,56.1,33,1.8,0,3748
2020-04-13,7.2,11.2,4.5,8.4,11.8,1.132,0.086,5.2,12.6,281,800,0.027,0.034,26.8,50,1.692,0,3755
2020-04-20,7,11.8,3.6,8.3,11.8,1.431,0.1,5.2,15.7,279,5900,0.083,0.04,24.4,2700,7.703,0,3762
2020-04-27,7.2,13,6.2,12.6,17.5,1.182,0.141,7.1,15.3,371,1100,0.01,0.011,62.2,70,1.58,0,3769
2020-05-04,6.8,10,2.8,8,9.3,1.312,0.095,5.8,21.3,248,5300,0.123,0.042,19.7,1100,3.428,0,3776
2020-05-11,6.1,8.6,2.8,7.7,10.3,1.349,0.094,5.2,18.9,206,3700,0.146,0.039,18.8,740,6.826,0,3783
2020-05-18,5.9,7.2,2.5,8.7,11,1.945,0.114,5.7,21.4,271,700,0.344,0.046,30.1,350,2.161,14.3,3790
2020-05-25,6.3,8.6,2.7,8.6,19.6,1.744,0.121,6.2,20.4,230,3200,0.187,0.044,26.2,680,6.544,0,3797
2020-06-01,6.2,7.5,3.7,9.9,13.6,2.351,0.144,6.8,22.1,237,4700,0.447,0.066,14.6,1000,6.714,0,3804
