BOD,COD,T-N,DTN,NO3-N,NH3-N,T-P,DTP,PO4-P,Chl-a,BOD_lag,COD_lag,T-N_lag,DTN_lag,NO3-N_lag,NH3-N_lag,T-P_lag,DTP_lag,PO4-P_lag,Chl-a_lag
2.5,7.7,1.652,1.557,1.095,0.067,0.045,0.028,0.013,29.2,2,7.3,2.503,2.302,1.858,0.067,0.085,0.05,0.042,14.7
1.2,5.7,2.68,2.53,1.973,0.071,0.061,0.045,0.035,5.8,2.5,7.7,1.652,1.557,1.095,0.067,0.045,0.028,0.013,29.2
1.3,4.4,2.852,2.639,1.793,0.03,0.024,0.015,0.01,6.8,1.2,5.7,2.68,2.53,1.973,0.071,0.061,0.045,0.035,5.8
1.1,4,2.987,2.843,2.502,0.038,0.02,0.012,0.003,9.9,1.3,4.4,2.852,2.639,1.793,0.03,0.024,0.015,0.01,6.8
1.4,3.9,3.759,3.58,3.134,0.084,0.02,0.01,0.006,6.9,1.1,4,2.987,2.843,2.502,0.038,0.02,0.012,0.003,9.9
1.7,3.9,4.225,4.013,3.318,0.184,0.024,0.015,0.008,7.5,1.4,3.9,3.759,3.58,3.134,0.084,0.02,0.01,0.006,6.9
1.9,4.8,3.685,3.449,2.945,0.253,0.04,0.017,0.008,14,1.7,3.9,4.225,4.013,3.318,0.184,0.024,0.015,0.008,7.5
2.6,5.5,3.027,2.823,2.344,0.152,0.024,0.013,0.005,19.8,1.9,4.8,3.685,3.449,2.945,0.253,0.04,0.017,0.008,14
2.5,5.1,2.35,2.156,1.697,0.026,0.031,0.019,0.004,22.1,2.6,5.5,3.027,2.823,2.344,0.152,0.024,0.013,0.005,19.8
1.7,4.7,2.015,1.829,1.404,0.033,0.027,0.018,0.004,16.5,2.5,5.1,2.35,2.156,1.697,0.026,0.031,0.019,0.004,22.1
2.3,6.5,1.478,1.281,0.825,0.037,0.031,0.017,0.002,29.4,1.7,4.7,2.015,1.829,1.404,0.033,0.027,0.018,0.004,16.5
1.6,5.6,1.938,1.779,1.267,0.032,0.102,0.08,0.016,21.3,2.3,6.5,1.478,1.281,0.825,0.037,0.031,0.017,0.002,29.4
1.9,5.4,1.642,1.528,1.121,0.04,0.054,0.04,0.027,19.6,1.6,5.6,1.938,1.779,1.267,0.032,0.102,0.08,0.016,21.3
1.4,5.3,2.257,2.176,1.769,0.033,0.063,0.043,0.033,8.5,1.9,5.4,1.642,1.528,1.121,0.04,0.054,0.04,0.027,19.6
1,4,3.091,2.92,2.612,0.043,0.033,0.027,0.016,7.7,1.4,5.3,2.257,2.176,1.769,0.033,0.063,0.043,0.033,8.5
1.3,3.9,3.22,3.09,2.766,0.123,0.026,0.018,0.011,5.6,1,4,3.091,2.92,2.612,0.043,0.033,0.027,0.016,7.7
1.2,4,3.531,3.377,3.081,0.047,0.023,0.016,0.008,5.7,1.3,3.9,3.22,3.09,2.766,0.123,0.026,0.018,0.011,5.6
