BOD,COD,T-N,DTN,NO3-N,NH3-N,T-P,DTP,PO4-P,Chl-a,BOD_lag,COD_lag,T-N_lag,DTN_lag,NO3-N_lag,NH3-N_lag,T-P_lag,DTP_lag,PO4-P_lag,Chl-a_lag
1.7,4.4,3.851,3.386,2.495,0.484,0.128,0.095,0.081,15.1,2,4.4,3.467,2.988,2.419,0.175,0.117,0.08,0.061,30.3
2.3,5.5,3.692,3.024,2.494,0.328,0.136,0.091,0.067,38.8,1.7,4.4,3.851,3.386,2.495,0.484,0.128,0.095,0.081,15.1
3.2,6.6,3.866,3.108,2.448,0.315,0.145,0.083,0.055,62,2.3,5.5,3.692,3.024,2.494,0.328,0.136,0.091,0.067,38.8
3.2,6,2.895,2.305,1.847,0.078,0.117,0.066,0.04,49.8,3.2,6.6,3.866,3.108,2.448,0.315,0.145,0.083,0.055,62
2.8,6.1,2.811,2.211,1.574,0.128,0.14,0.095,0.058,38.1,3.2,6,2.895,2.305,1.847,0.078,0.117,0.066,0.04,49.8
2,6.6,3.112,2.507,1.963,0.061,0.18,0.117,0.063,26.8,2.8,6.1,2.811,2.211,1.574,0.128,0.14,0.095,0.058,38.1
2.1,5.8,3.075,2.563,2.102,0.078,0.125,0.081,0.039,42.2,2,6.6,3.112,2.507,1.963,0.061,0.18,0.117,0.063,26.8
1.8,4.9,2.957,2.436,1.917,0.059,0.1,0.071,0.039,24.6,2.1,5.8,3.075,2.563,2.102,0.078,0.125,0.081,0.039,42.2
2.2,4.8,2.88,2.494,2.11,0.034,0.126,0.082,0.062,48,1.8,4.9,2.957,2.436,1.917,0.059,0.1,0.071,0.039,24.6
2,4.7,2.991,2.634,2.176,0.048,0.107,0.076,0.057,26.5,2.2,4.8,2.88,2.494,2.11,0.034,0.126,0.082,0.062,48
2.3,4.8,3.471,2.941,2.296,0.048,0.109,0.068,0.053,46.4,2,4.7,2.991,2.634,2.176,0.048,0.107,0.076,0.057,26.5
1.9,4.9,3.995,3.477,2.785,0.327,0.117,0.076,0.059,28.8,2.3,4.8,3.471,2.941,2.296,0.048,0.109,0.068,0.053,46.4
2.5,5.3,4.032,3.464,2.766,0.177,0.126,0.076,0.056,51.7,1.9,4.9,3.995,3.477,2.785,0.327,0.117,0.076,0.059,28.8
3.3,6.1,3.843,3.082,2.503,0.072,0.138,0.074,0.048,76.9,2.5,5.3,4.032,3.464,2.766,0.177,0.126,0.076,0.056,51.7
3.4,6.4,3.319,2.96,2.305,0.103,0.153,0.083,0.059,70.3,3.3,6.1,3.843,3.082,2.503,0.072,0.138,0.074,0.048,76.9
2.6,5.6,3.295,3.038,2.382,0.069,0.133,0.08,0.058,47,3.4,6.4,3.319,2.96,2.305,0.103,0.153,0.083,0.059,70.3
2.3,5,2.545,2.3,1.896,0.033,0.099,0.062,0.046,39.7,2.6,5.6,3.295,3.038,2.382,0.069,0.133,0.08,0.058,47
2.1,7.4,3.099,2.753,2.176,0.064,0.217,0.108,0.084,29.4,2.3,5,2.545,2.3,1.896,0.033,0.099,0.062,0.046,39.7
1.7,5.6,2.561,2.352,2.06,0.031,0.14,0.063,0.045,21,2.1,7.4,3.099,2.753,2.176,0.064,0.217,0.108,0.084,29.4
1.7,4.3,2.802,2.643,2.126,0.061,0.117,0.082,0.068,17.5,1.7,5.6,2.561,2.352,2.06,0.031,0.14,0.063,0.045,21
1.6,4.4,2.79,2.595,2.254,0.045,0.119,0.082,0.066,32.3,1.7,4.3,2.802,2.643,2.126,0.061,0.117,0.082,0.068,17.5
1.6,4.3,2.917,2.7,2.189,0.077,0.104,0.07,0.055,29.4,1.6,4.4,2.79,2.595,2.254,0.045,0.119,0.082,0.066,32.3
1.7,4.4,3.311,3.12,2.535,0.158,0.105,0.074,0.056,36.8,1.6,4.3,2.917,2.7,2.189,0.077,0.104,0.07,0.055,29.4
2.1,4.8,3.714,3.455,2.917,0.144,0.122,0.074,0.059,37.2,1.7,4.4,3.311,3.12,2.535,0.158,0.105,0.074,0.056,36.8
2.4,5.6,3.749,3.432,2.864,0.181,0.15,0.085,0.065,61.6,2.1,4.8,3.714,3.455,2.917,0.144,0.122,0.074,0.059,37.2
2.7,6,3.748,3.335,2.705,0.155,0.128,0.055,0.046,61.7,2.4,5.6,3.749,3.432,2.864,0.181,0.15,0.085,0.065,61.6
2.8,5.7,3.125,2.837,2.431,0.076,0.148,0.074,0.058,65.4,2.7,6,3.748,3.335,2.705,0.155,0.128,0.055,0.046,61.7
2.6,5.2,2.562,2.304,1.53,0.134,0.133,0.087,0.061,44.1,2.8,5.7,3.125,2.837,2.431,0.076,0.148,0.074,0.058,65.4
2.1,4.9,2.319,2.116,1.523,0.089,0.121,0.078,0.067,36.2,2.6,5.2,2.562,2.304,1.53,0.134,0.133,0.087,0.061,44.1
1.6,5.2,2.898,2.732,2.255,0.102,0.141,0.098,0.087,24.3,2.1,4.9,2.319,2.116,1.523,0.089,0.121,0.078,0.067,36.2
1.6,5,2.391,2.173,1.814,0.052,0.134,0.081,0.069,30.2,1.6,5.2,2.898,2.732,2.255,0.102,0.141,0.098,0.087,24.3
1.4,5.4,2.659,2.384,1.934,0.101,0.156,0.084,0.065,13.9,1.6,5,2.391,2.173,1.814,0.052,0.134,0.081,0.069,30.2
1.8,4.1,3.049,2.846,2.373,0.078,0.101,0.057,0.045,48.5,1.4,5.4,2.659,2.384,1.934,0.101,0.156,0.084,0.065,13.9
1.8,4,3.089,2.908,2.532,0.081,0.097,0.062,0.046,35.1,1.8,4.1,3.049,2.846,2.373,0.078,0.101,0.057,0.045,48.5
2.1,4.4,3.506,3.203,2.681,0.151,0.109,0.071,0.059,45.8,1.8,4,3.089,2.908,2.532,0.081,0.097,0.062,0.046,35.1
2.1,4.6,4.172,3.836,3.032,0.261,0.141,0.102,0.084,47.8,2.1,4.4,3.506,3.203,2.681,0.151,0.109,0.071,0.059,45.8
2.3,4.9,4.078,3.791,3.045,0.255,0.146,0.096,0.078,49,2.1,4.6,4.172,3.836,3.032,0.261,0.141,0.102,0.084,47.8
3,6.2,3.702,3.343,2.942,0.121,0.151,0.092,0.071,55.1,2.3,4.9,4.078,3.791,3.045,0.255,0.146,0.096,0.078,49
2.8,5.9,3.264,2.968,2.356,0.241,0.143,0.081,0.061,46.2,3,6.2,3.702,3.343,2.942,0.121,0.151,0.092,0.071,55.1
2.2,5.5,2.582,2.383,1.775,0.139,0.146,0.108,0.09,26.3,2.8,5.9,3.264,2.968,2.356,0.241,0.143,0.081,0.061,46.2
2.1,6,2.203,1.985,1.505,0.076,0.111,0.059,0.044,53.7,2.2,5.5,2.582,2.383,1.775,0.139,0.146,0.108,0.09,26.3
1.9,5.7,2.1,1.867,1.384,0.093,0.115,0.07,0.054,38.2,2.1,6,2.203,1.985,1.505,0.076,0.111,0.059,0.044,53.7
1.5,4.7,2.391,2.24,1.768,0.168,0.139,0.105,0.067,29.1,1.9,5.7,2.1,1.867,1.384,0.093,0.115,0.07,0.054,38.2
2,4.9,2.297,2.155,1.638,0.066,0.107,0.082,0.043,35.2,1.5,4.7,2.391,2.24,1.768,0.168,0.139,0.105,0.067,29.1
1.7,4.4,2.507,2.344,1.925,0.056,0.102,0.071,0.049,29.9,2,4.9,2.297,2.155,1.638,0.066,0.107,0.082,0.043,35.2
1.6,4.4,2.751,2.648,2.247,0.058,0.116,0.093,0.074,23.8,1.7,4.4,2.507,2.344,1.925,0.056,0.102,0.071,0.049,29.9
2.2,5,3.475,3.316,2.879,0.082,0.117,0.072,0.054,50.1,1.6,4.4,2.751,2.648,2.247,0.058,0.116,0.093,0.074,23.8
2.8,5.7,4.1,3.848,3.1,0.195,0.176,0.125,0.1,77.3,2.2,5,3.475,3.316,2.879,0.082,0.117,0.072,0.054,50.1
3.6,6.7,4.067,3.775,3.016,0.168,0.179,0.11,0.079,89.8,2.8,5.7,4.1,3.848,3.1,0.195,0.176,0.125,0.1,77.3
3.1,6.7,3.653,3.22,2.669,0.251,0.167,0.114,0.076,56.3,3.6,6.7,4.067,3.775,3.016,0.168,0.179,0.11,0.079,89.8
2.9,6.1,3.244,2.988,2.279,0.146,0.164,0.126,0.09,33.4,3.1,6.7,3.653,3.22,2.669,0.251,0.167,0.114,0.076,56.3
2.7,6.6,3.032,2.789,2.064,0.172,0.188,0.157,0.121,29,2.9,6.1,3.244,2.988,2.279,0.146,0.164,0.126,0.09,33.4
2.5,6.4,2.758,2.46,2.018,0.12,0.136,0.11,0.079,38.5,2.7,6.6,3.032,2.789,2.064,0.172,0.188,0.157,0.121,29
1.5,6.3,2.693,2.433,1.87,0.082,0.157,0.107,0.084,20.1,2.5,6.4,2.758,2.46,2.018,0.12,0.136,0.11,0.079,38.5
1.9,5.3,2.383,2.158,1.686,0.075,0.088,0.047,0.033,52.3,1.5,6.3,2.693,2.433,1.87,0.082,0.157,0.107,0.084,20.1
2.2,5.8,1.892,1.734,1.342,0.054,0.165,0.061,0.042,44.8,1.9,5.3,2.383,2.158,1.686,0.075,0.088,0.047,0.033,52.3
1.8,5.2,2.288,2.128,1.828,0.055,0.1,0.07,0.06,30.7,2.2,5.8,1.892,1.734,1.342,0.054,0.165,0.061,0.042,44.8
1.4,4.9,2.93,2.645,2.283,0.08,0.149,0.125,0.104,14.2,1.8,5.2,2.288,2.128,1.828,0.055,0.1,0.07,0.06,30.7
1.8,5,3.398,3.247,2.724,0.17,0.133,0.099,0.087,36.6,1.4,4.9,2.93,2.645,2.283,0.08,0.149,0.125,0.104,14.2
2.3,5.9,4.127,3.852,2.802,0.509,0.146,0.096,0.082,43.3,1.8,5,3.398,3.247,2.724,0.17,0.133,0.099,0.087,36.6
2.8,6.3,4.1,3.574,2.846,0.422,0.148,0.08,0.065,58.4,2.3,5.9,4.127,3.852,2.802,0.509,0.146,0.096,0.082,43.3
