BOD,COD,T-N,TOC,NH3-N,Chl-a
2.5,5,6.382,4.5,3.178,7.1
4.3,6.5,7.327,5.3,4.068,27.9
6.9,10,7.658,7,4.521,99.8
5.6,8.9,5.658,6.5,2.966,56
6.3,8.4,5.195,6.2,2.582,56.3
5.3,8.3,4.456,6.3,1.874,44.6
4.2,8.3,3.352,5.9,0.953,57
4.3,7.6,4.168,5.8,1.283,60
4.4,7.1,4.487,5.2,1.428,38.1
4.3,7.1,4.514,5.9,1.064,38.8
4.2,6.6,5.011,5.3,1.801,23
2.3,5.2,4.916,2.6,1.234,7.5
2.6,5.4,6.783,5.3,1.672,28.5
3.5,5.8,5.428,5.5,1.762,20.3
4.8,7.4,4.855,6.1,1.311,46.4
5.4,7.9,3.833,5.9,0.889,64.3
4.5,7.6,4.087,6,1.309,65.8
4,7.8,4.023,7,1.365,42.4
3.9,6.9,3.277,6.2,1.072,36.7
4.5,8.6,3.845,7.3,1.669,61
4.1,7,3.613,5.7,1.076,49.5
3,5.9,3.153,4.6,0.807,8.4
3.8,6.6,5.604,5.4,1.577,48.2
4.1,7.3,6.097,6.1,1.738,46.5
4,7.2,6.447,5.7,1.892,42.9
5.5,9.1,7.673,7.8,3.512,69.3
6.8,12.4,8.267,8.8,4.164,101.4
7.3,11.7,6.152,8.7,3.048,34.2
5.9,12.6,7.44,9,3.606,35.2
6.9,14.1,4.55,10.3,1.528,55.3
3.9,9.1,3.847,7.4,1.711,20.5
3.8,8.8,4.244,6.8,2.362,13.9
3.7,7.9,3.163,5.9,0.858,38.9
4.9,8.3,5.166,6.6,1.926,48.9
5.3,9.8,6.34,7.4,2.229,48.1
5.4,9.2,7.16,7.6,3.507,40.7
6.4,11.6,8.883,8.6,5.352,56.5
6.1,11.8,11.563,8.9,8.907,70
6,11.1,7.031,8.7,4.46,41.9
5.7,10.9,6.849,8.2,3.832,41.4
6.2,10.7,4.675,8.1,2.27,47.7
6.6,11.6,5.959,8.9,3.329,50
7,12.5,5.545,9,2.853,70.5
6.7,12.9,5.043,8.9,2.788,80.1
4.8,8.7,4.876,6.7,2.516,28.5
4.9,7.9,4.942,7.4,2.397,33.8
5.1,9.7,5.688,8.6,2.488,56.9
4,8.4,6.668,8.1,2.556,62.2
4.7,9,9.198,8,3.972,42
6.6,14.1,7.597,10.5,3.777,115.2
6,12.5,8.271,9,5.145,66.7
6,12.9,6.569,9.1,3.919,44.2
4.8,10.3,5.09,7.7,2.642,49.6
6.4,13.5,4.433,9.2,2.53,63.8
4.1,10.2,4.12,9.3,1.928,29.9
4,10,3.918,8.6,1.575,52.4
3.8,7.1,3.411,4.9,1.138,28.4
3.9,6.5,4.156,5.2,1.075,46.8
5,8.5,6.361,7.7,2.714,52
6.1,10.5,7.155,8.5,2.998,70.3
