T-N,NH3-N,Flow
7.502,4.24,29.906
4.374,1.529,97.752
4.07,1.658,55.849
3.717,1.135,26.872
3.009,0.459,48.904
2.745,0.804,15.464
2.585,0.251,155.253
2.898,0.219,113.241
4.147,0.95,12.627
4.971,1.212,16.621
7.118,1.624,14.324
6.277,2.434,16.909
6.171,2.785,18.053
4.295,1.758,19.123
4.093,2.031,22.146
2.939,0.995,27.817
2.494,0.38,46.295
2.069,0.499,44.483
2.399,0.176,49.015
3.255,0.206,24.599
4.056,0.362,10.33
5.492,1.965,11.253
4.808,1.085,38.474
5.078,1.292,25.326
5.719,1.868,20.012
4.621,1.609,43.103
3.145,0.795,48.581
3.573,1.104,50.842
2.907,0.451,57.82
2.893,0.514,57.917
2.433,0.261,46.262
2.975,0.498,23.138
3.721,0.587,27.262
4.374,0.838,35.164
4.621,0.154,24.477
5.102,0.937,45.833
3.945,0.566,40.739
3.519,0.499,45.568
2.858,0.248,64.289
3.481,0.745,53.891
2.324,0.239,154.334
2.126,0.243,48.273
2.447,0.331,57.882
3.149,0.355,68.15
3.727,0.404,31.71
4.374,0.573,24.266
4.429,0.746,26.541
5.129,0.457,33.811
5.711,1.773,27.675
5.336,1.643,24.79
3.728,0.79,19.795
3.847,0.97,48.527
3.315,1.039,61.922
3.117,0.99,49.217
2.144,0.152,55.976
2.717,0.491,21.409
4.118,0.689,21.937
5.091,1.067,17.711
6.747,2.313,28.58
6.701,2.794,14.642
7.046,3.458,34.235
4.435,1.593,108.369
3.502,1.051,66.894
3.163,0.776,33.6
2.531,0.235,55.787
2.4,0.503,17.23
2.591,0.21,176.091
2.558,0.187,118.054
3.592,1.02,14.486
4.371,1.18,20.713
6.836,1.333,16.01
6.029,1.965,19.421
5.893,2.536,19.783
4.814,1.938,21.241
3.708,1.632,26.601
2.979,1.019,34.232
2.641,0.297,53.368
1.999,0.305,54.18
2.511,0.243,60.086
3.072,0.173,30.764
3.692,0.259,13.34
5.379,1.75,13.058
