BOD,COD,SS,TOC,Chl_a
1.6,3.8,4.6,3,4.9
2,3.6,4.6,3,6.5
4.4,7.8,12.2,5.8,47
4.3,7.5,20.2,4.9,54.3
3.4,7,12.1,5.5,22.6
3.6,9.1,13,6.8,10
2,6.4,8,5,17.6
2,5.4,7.6,4.3,7.9
1.3,5.1,4.2,4.3,4.9
1.7,5.7,5.7,5.8,5.4
2.3,6.2,5.2,5.1,10.1
1.5,4.2,2.3,2,3.1
1.5,3.5,4.1,3.8,5.1
2.1,4.5,8.6,4.3,6.7
2.7,5.6,15.1,4.8,14.9
3,6.6,16.9,5.1,31.6
1.9,5.6,11.3,4.6,13.1
2.6,8,12.6,7,7.7
2.4,5.7,11.8,5.4,20.7
2.4,7.1,8.2,5.7,19.4
1.8,6.4,8.7,4.8,7.9
1.2,5.2,8.6,3.9,3.8
1.4,4.4,3.9,3.9,9.6
1.3,3.9,3.3,3.5,8.6
1.5,4.3,4.2,3.3,7.3
1.8,4.5,5.6,3.5,8.5
4,6.6,13.4,5.8,42.5
5.9,11,18.1,7.8,110.6
5.8,13.4,21.2,9.1,71.4
3.9,12.7,12.9,9.5,32
2.3,8.4,10.3,6.2,14.1
2.5,7.1,21.5,5.3,20.4
1.7,5.8,6.7,4.5,10.7
1.6,5.5,3.7,4.2,17.9
4.1,7.3,9.9,6,77.5
3.3,5.9,7.5,5,49.1
2.9,5.6,6.7,4.5,34.1
3.2,5.8,7.7,4.5,46.8
3.5,7.4,15.6,5.5,34.2
2.5,6.6,9.2,5,35.7
2.7,7.2,11.6,5.9,15.9
2.9,10.8,8.7,8.5,13.9
3.6,9.6,13.8,6.8,29.7
2.5,8.4,9.4,6.4,17.8
2.1,5.3,7.4,4.5,18.5
2,5.8,5.6,5.3,13.8
1.8,5.8,5.5,5.8,18.1
1.8,4.3,4.5,4.9,18.5
1.7,4.3,4.6,4.3,16.6
2.8,6.6,8.5,5.6,41.1
4.4,9,17,7.3,77
4.3,9.5,13.5,7,52.8
3.7,8.9,16.3,6.9,40.6
3.5,9.8,10.5,7.9,17
2.6,7.5,10.5,6.5,9.2
2.6,7.9,6.7,7,20.6
1.6,5.7,4.2,4.4,6.5
1.3,4.6,4.1,3.3,10.1
3.4,7,11.4,6.5,50.2
2.9,5.1,6,4.9,28
1.9,4.5,4.5,2.4,7.3
3.1,5.6,5.7,2.7,13.2
5.1,8.8,14.3,3.8,62.1
5.1,10.2,15.6,4.6,51.9
4.8,10.1,26.4,4.5,38.8
3.5,9.8,14.7,5.6,25.7
3.3,8.1,18.6,5,17.2
3.2,7.6,15.8,3.8,24.6
1.7,6,7.5,3.4,16.7
3.6,7.5,9.7,3.6,34.4
2.6,7.8,8.3,3.7,19.8
1.8,5.3,6.7,2.9,4.8
1.9,4.5,4.4,2.3,7.5
2.6,6.1,7.8,2.8,10.5
3.6,7.6,21.2,3.5,27.6
4.6,10.2,16.5,4.2,54.7
3,7.5,10.7,4.1,25.7
2.8,9.2,11.8,5.2,25.1
2.2,7.3,9.3,3.6,17.5
2.9,7.6,9.4,4.1,35.1
2.1,7.1,6.9,3.8,14.6
2.4,6.3,9.4,3.7,5.7
3.6,5.1,7,4,45.3
3.5,4.9,9.5,3.1,26.8
2.8,4.9,7.8,2.8,9.2
3.6,5.9,13.3,3.7,22.8
5.7,9.4,20.9,5.5,120.6
8.1,12.4,28.3,6.7,117.7
4.8,11.3,20.1,6.9,32.8
5,12.3,19.1,6.9,53.7
3.1,9.1,13.7,5.1,14.2
2.9,8.4,30.7,4.4,24.1
1.9,6.7,15.3,3.8,37.4
