PO4_P,log TC,log FC
0.026,4.6128,4.0414
0.039,3.9754,3.4023
0.018,3.9365,3.3902
0.036,4.238,3.0792
0.046,4.525,3.935
0.038,4.2234,2.8739
0.029,4.4878,3.7597
0.095,4.8497,4.4693
0.081,5.4257,5.3186
0.04,4.4074,3.9261
0.022,3.9031,3.5711
0.018,4.5641,4.2906
0.018,4.7976,4.0943
0.012,4.8528,3.9345
0.013,4.2162,2.9948
0.03,4.8146,3.7163
0.032,4.6075,3.9956
0.059,4.9542,3.2783
0.027,4.1584,3.1183
0.073,4.1414,3.4958
0.078,3.8451,3.7871
0.05,3.8921,3.3833
0.032,4.0689,3.5289
0.02,4.3594,3.48
0.038,4.5208,3.5488
0.021,3.8921,3.1717
0.012,3.8921,2.7404
0.024,4.48,3.382
0.022,4.9229,3.5523
0.031,3.9432,3.4735
0.04,4.1302,3.3551
0.062,4.3715,3.5315
0.082,5.0289,4.8836
0.071,4.1139,3.4942
0.037,4.0986,3.4778
0.046,5.2309,4.3781
0.022,4.2335,3.483
0.048,4.8722,4.2253
0.065,4.7076,3.6628
0.012,4.5159,3.2833
0.053,5.3838,4.2122
0.015,4.4553,3.7243
0.02,4.7118,3.7202
0.079,5.2788,4.4586
0.096,5.3512,4.5826
0.048,4.3979,4.0107
0.071,5.277,4.6474
0.057,4.638,3.8794
0.044,4.2553,3.3918
0.042,3.8162,3.301
0.064,4.4983,4.1106
0.096,4.7279,4.8352
0.09,4.7384,4.0054
0.07,4.357,3.3636
0.088,4.3952,3.7042
0.106,4.143,3.9191
0.072,4.419,4.1232
0.078,4.4983,3.8543
0.139,4.9098,4.5809
0.028,4.4533,4.0821
0.029,4.8588,4.2014
0.068,4.6042,3.7959
0.06,5.0406,4.367
0.032,4.4878,3.6623
0.027,4.9151,3.899
0.047,4.5883,3.5826
0.022,4.6266,3.9269
0.099,4.8921,4.6048
0.149,5.4208,5.3459
0.067,5.1584,4.905
0.034,4.4962,4.338
0.006,3.688,3.3874
0.007,4.7526,4.4249
0.034,4.9811,4.6527
0.021,4.842,4.4407
0.079,5.4635,5.0197
0.09,5.3627,4.7899
0.136,4.8112,3.5085
0.038,4.0719,3.5185
0.133,5.3856,4.9204
0.11,5.1652,4.7255
0.095,4.7324,4.2617
0.11,4.4301,4.0899
0.138,4.9141,4.4706
0.229,5.3953,5.1957
0.026,4.1973,3.4393
0.01,4.368,3.301
0.031,4.7818,4.1327
0.04,4.9965,4.2529
0.04,4.663,3.8603
0.046,4.3962,3.7745
0.128,5.0284,4.4683
0.111,5.3111,4.7871
0.073,4.6613,4.3988
0.03,4.1123,3.5563
0.167,5.3928,5.1547
0.005,5.0443,4.4903
0.034,4.7284,4.0512
0.081,5.0022,3.7959
0.014,4.9284,3.5658
0.082,5.3274,4.3181
0.012,4.2492,3.1973
0.057,5.0934,4.1666
0.154,5.4385,4.8277
0.055,4.6435,4.1538
0.053,4.5855,4
0.03,4.2368,3.6902
0.118,4.5038,4.0065
0.102,4.8893,4.2788
0.056,3.7959,3.3222
0.07,4.5593,4.0663
0.097,4.662,3.9096
0.051,4.3274,3.6232
0.074,4.4586,3.5527
0.048,4.3147,3.415
0.085,4.716,4.0065
0.071,3.9191,3.8458
0.127,4.9178,4.3222
0.249,5.3185,4.9708
0.106,5.1853,4.7604
0.091,4.937,4.5152
0.07,4.0253,3.6835
0.122,5.2117,4.7924
0.125,5.3664,4.5058
0.092,5.372,4.7284
0.062,3.8808,2.9652
0.066,5.0755,4.2056
0.364,5.0043,4.6803
0.134,5.5938,5.4691
0.038,4.6167,4.5481
0.021,3.9868,3.618
0.01,4.3683,3.8707
0.032,5.526,5.3171
0.016,5.0043,4.3464
0.057,5.0917,4.7388
0.107,5.4237,4.7178
0.051,5.2648,4.734
0.043,5.0294,4.5913
0.053,4.248,3.6335
0.091,4.7263,4.4233
0.094,5.0086,4.7376
0.08,4.3921,4.2077
0.097,4.4562,4.0983
0.093,4.7966,4.3885
0.03,5.1503,4.3307
0.016,3.769,2.9165
0.009,4.1399,3.1781
0.164,5.3022,4.5514
0.132,5.2693,4.824
0.115,4.7271,4.2852
0.112,4.7969,4.4676
0.111,5.1892,4.6069
0.066,4.9148,4.7646
0.106,5.3064,4.9919
0.027,4.2636,3.6021
0.083,4.4955,4.0925
0.197,5.303,5.0082
0.055,3.8376,2.1903
0.029,3.5653,3.0261
0.017,3.1796,1.7076
0.049,4.2495,3.0641
0.027,3.7241,2.8363
0.025,3.8022,2.9206
0.041,3.9357,3.2896
0.063,3.6051,3.0441
0.049,4.0315,3.4998
0.039,3.2925,2.6532
0.093,4.2946,3.6632
0.089,4.2148,3.0326
0.036,2.942,1.7782
0.072,3.7452,2.6646
0.046,3.5653,2.4116
0.025,3.7616,3.1186
0.045,3.9395,3.2704
0.068,4.0512,3.1335
0.085,4.4358,3.8636
0.117,4.0083,3.3902
0.077,4.0881,3.3375
0.126,4.5563,3.9058
0.061,3.8325,3.1511
0.023,3.7694,2.7364
0.019,3.1976,1.7324
0.02,3.4871,1.9085
0.018,3.7222,1.8451
0.044,3.4472,2.2122
0.038,2.3424,1.9085
0.006,2,1.716
0.101,3.9901,3.4571
0.104,4.3711,4.0645
0.039,4.0202,3.5031
0.031,3.317,2.7993
0.008,3.1176,2.2355
0.007,4.0837,3.0881
0.013,3.5821,2.2455
0.023,3.0473,2.1584
0.034,4.1287,3.4914
0.043,4.7752,4.1409
0.048,4.8949,4.3037
0.026,3.8722,3.2956
0.096,4.831,4.1704
0.09,4.5159,4.0135
0.108,5.0032,4.7625
0.07,4.4716,3.9991
0.066,4.6146,4.3502
0.038,4.2298,3.567
0.024,2.8633,1.5315
0.018,3.9151,3.073
0.027,4.3541,3.2512
0.098,4.8971,4.1594
0.045,4.7995,4.2904
0.037,4.2793,3.3747
0.079,4.7394,4.4029
0.063,4.7396,4.3623
0.073,4.715,4.2216
0.016,3.5119,2.946
0.053,3.3334,2.4771
0.032,4.1531,3.5008
0.043,3.2672,1.8513
0.044,3.1477,2.1239
0.039,3.2686,2.2672
0.041,3.3086,2.4843
0.017,3.3118,1.9191
0.011,3.8648,2.2695
0.067,3.942,2.7443
0.069,3.8146,2.6304
0.038,3.0107,2.3385
0.024,3.0354,2.4771
0.092,3.4461,2.9605
0.109,3.9112,3.0792
0.029,2.8603,1.7709
0.082,3.4548,2.5185
0.049,3.073,2.1553
0.026,3.6735,3.1723
0.048,3.256,2.3692
0.053,2.9201,2.0899
0.065,4.0221,3.2512
0.07,2.0682,1.7853
0.065,3.4213,2.959
0.096,4.2833,3.5315
0.05,3.1335,2.6253
0.025,3.0245,1.9294
0.021,2.9031,1.7404
0.015,3.29,1.8195
0.01,2.8543,2.2788
0.034,2.3522,1.4314
0.053,2.1644,1.5315
0.018,1.8865,1.1461
0.098,4.0336,3.0726
0.084,4.3609,3.8245
0.037,3.932,3.224
0.025,3.0043,2.5315
0.016,2.2175,1.699
0.019,4.238,3.6405
0.018,3.3345,1.7243
0.019,2.9085,1.0414
0.05,3.9138,3.0253
0.03,3.9027,3.1219
0.037,4.5075,3.7597
0.024,2.4928,2.2095
0.056,3.4071,2.9542
0.063,4.2437,3.6236
0.052,3.9731,3.7396
0.056,4.3272,3.7028
0.04,4.3761,3.6663
0.04,3.9614,3.0366
0.021,2.5798,1.8751
0.033,3.7101,2.4133
0.029,3.4735,2.4393
0.03,4.2723,3.489
0.041,4.4111,3.7488
0.025,3.6599,2.8062
0.067,4.2685,3.6972
0.056,4.5237,3.7634
0.053,4.2962,3.8585
0.03,3.7324,3.1945
0.029,3.1351,2.7672
0.012,3.5119,2.9269
0.039,3.2844,1.9031
0.015,3.1688,1.9345
0.011,2.8169,1.7404
0.038,3.7597,2.4082
0.027,3.8129,1.7404
0.015,3.4771,1.5563
0.047,3.716,2.301
0.055,3.937,2.1987
0.047,3.5072,1.9138
0.033,2.716,2.4082
0.081,3.3139,2.8663
0.075,3.3522,2.8921
0.009,3,2.2175
0.073,3.3118,2.3802
0.04,3.2524,2.3838
0.051,2.5119,2.0607
0.024,2.989,2.4698
0.048,1.9345,1.5682
0.05,2.2695,1.9685
0.056,2.3284,2.1673
0.092,2.5105,2.3483
0.12,3.4928,3.2984
0.036,2.9768,2.7404
0.034,3.2492,2.5185
0.018,3.2368,2.243
0.005,2.6107,2.0828
0.027,2.6415,1.8513
0.029,2.7634,1.9294
0.018,3.0473,1.7782
0.025,3.1931,2.5798
0.106,3.5403,3.0682
0.083,4.1004,3.9758
0.051,3.0273,2.7634
0.024,3.073,2.9628
0.007,2.9581,2.8222
0.003,3.1383,2.6866
0.021,3.0531,2.0792
0.008,2.9217,2.6232
0.044,3.7672,3.0017
0.032,4.3531,3.6537
0.039,3.8096,3.0022
0.042,3.1,1.5798
0.071,3.7637,3.2918
0.106,3.5927,3.3508
0.062,3.7684,3.576
0.051,3.7559,3.48
0.019,3.4717,2.7566
0.01,3.7364,2.7193
0.015,2.2967,1.5911
0.005,3.1461,2.0334
0.014,3.0881,2.3729
