region,spot,year,month,day,half,pollution,depth,WT,DO,pH,EC,sand,silt,clay,moisture,combustible,COD,TOC,TN,TP,SRP,Pb,Zn,Cu,Cr,Ni,As,Cd,Hg,Al,Li
Nakdong,거창위천2,2020,4,9,first,normal,0.6,13,11.1,8.1,91,96.5,3.5,0,21.1,0.78,0.07,0.09,640,135,1.2,24.6,95,10.2,28.3,8.8,2.8,0.19,0.018,8.18,27
Han,경안천11,2020,4,8,first,slightlybad,4.6,14,13,8.8,400,33.1,64.7,2.2,45.3,9.34,2.78,2.54,2570,660,2,35.3,174.3,41.8,102,45.2,8.4,0.33,0.052,11.59,54.4
Nakdong,경호강2,2020,4,27,first,normal,2.5,17,12.3,9.1,118,95.8,4.2,0,21.5,0.64,0.07,0.08,634,135,1.4,20.9,119.4,14.9,86.9,30.9,3.7,0.19,0.033,8.75,30.3
Yeongsan,곡성,2020,4,9,first,normal,1,14,11.8,8.7,170,95.6,4.4,0,20.7,0.47,0.06,0.14,272,146,1.4,38.3,180.6,28.3,46.6,22.3,13,0.27,0.062,9.41,75.1
Nakdong,곤양천,2020,4,28,first,normal,1.2,18,11,9.3,156,90.5,8.7,0.8,21.2,1.09,0.07,0.12,654,147,1.7,22.3,151.2,19.9,88.8,36.5,4.5,0.25,0.043,8.38,26.8
Yeongsan,군외천,2020,4,20,first,slightlybad,0.5,14,10.6,8.2,79,83.5,13.4,3.1,22.7,1.84,0.13,0.25,353,226,0.3,40.9,161.6,65,53.8,27.8,12.8,0.41,0.06,8.58,47.7
Yeongsan,금산천,2020,4,10,first,normal,0.9,15,14.4,9.4,1417,52.8,38.9,8.3,57.8,8.06,2.32,2.01,2374,786,4.6,27.2,119.1,27.7,55,24.7,7,0.12,0.036,10.63,58.3
Nakdong,낙단,2020,4,1,first,slightlybad,10.5,14,12.8,8.9,245,49.4,42.3,8.3,38.1,5.56,1.73,0.92,1698,421,2.3,34.2,145.9,23.2,61.8,25,11.5,0.42,0.059,9.46,43.2
Nakdong,낙단D,2020,4,6,first,normal,4.6,14,12.1,8.8,224,82.7,16.5,0.8,35.1,3.56,0.52,0.5,1063,266,1.4,23.3,71.2,11.6,41.2,16.2,6.1,0.23,0.023,7.51,24.7
Nakdong,낙단U,2020,4,1,first,slightlybad,8.8,13,12.3,8.6,245,97.8,2.2,0,21.1,0.6,0.05,0.07,451,137,1.9,35,150.8,21.3,63.8,24.8,12.1,0.51,0.065,9.11,37.6
Nakdong,남강4-1,2020,4,8,first,normal,4.5,16,12.5,9.2,247,90.7,9.3,0,24.6,1.38,0.12,0.18,820,191,1.7,22.8,112.3,17,71.8,25.9,5.8,0.22,0.041,8.42,35.1
Yeongsan,남해봉천,2020,4,16,first,slightlybad,0.7,12,9.5,8.5,180,84.7,12.7,2.6,24.9,2.47,0.29,0.46,593,662,2.9,36.4,308.5,56.5,82.8,33.5,10.4,0.39,0.081,9.22,47.1
Nakdong,내성천3-1,2020,4,13,first,normal,0.4,11,13.4,8.2,333,95.1,4.9,0,23.3,0.75,0.08,0.09,681,113,1.4,29,171,20.8,43.6,22.6,8.1,0.18,0.058,10.16,47.2
Han,노량진,2020,4,10,first,slightlybad,4.7,13,11.9,8.1,291,82.7,17.3,0,24.2,1.45,0.07,0.34,422,588,5.2,32.8,128.4,23.7,69.9,25.1,6.7,0.23,0.072,6.45,29.7
Han,달천5,2020,4,3,first,normal,5.9,10,12.8,8.3,274,49.6,49.6,0.9,40,6.5,1.75,2.25,2332,679,1.9,30.8,151,32.1,83,36.8,8.5,0.31,0.048,10.58,48.3
Han,대성리,2020,4,14,first,normal,4.4,12,12,7.8,131,76.1,22.8,1.1,21.4,1.81,0.07,0.14,333,303,0.6,19.8,55.5,14.6,65.1,23.9,4.7,0.16,0.02,8.54,47.6
Nakdong,대종천,2020,4,16,first,normal,0.6,15,11.8,8.1,160,99.1,0.9,0,21.8,0.98,0.04,0.06,627,195,1.4,32.6,110.1,19.6,28.5,15.9,6.3,0.26,0.009,7.31,20.8
Nakdong,덕곡,2020,4,7,first,slightlybad,13.1,18,12.7,8.8,405,99.1,0.9,0,21.5,0.71,0.07,0.08,697,112,2.2,38.1,201.9,30.6,67,46.1,13.2,0.38,0.072,9.6,54.3
Nakdong,덕곡U,2020,4,7,first,slightlybad,7.9,15,13.3,8.8,435,99.8,0.2,0,21.9,0.75,0.04,0.07,623,116,3,41.6,181.9,32.1,74.7,44.4,16.1,0.43,0.082,9.28,50.5
