region,spot,year,month,day,half,pollution,depth,WT,DO,pH,EC,sand,silt,clay,moisture,combustible,COD,TOC,TN,TP,SRP,Pb,Zn,Cu,Cr,Ni,As,Cd,Hg,Al,Li
Nakdong,거창위천2,2015,3,30,first,slightlybad,0.5,15,8.7,7.8,82,100,0,0,16.2,0.39,0.08,0.04,337,54,0,19.9,55,11.5,21.6,3.2,1.5,0.1,0.091,9.35,14.6
Geum,곡교천2,2015,3,31,first,slightlybad,1,16,6.3,7.2,1009,71.5,26.3,2.3,22,0.8,0.14,0.29,802,460,8.6,29.6,259.9,104.9,90.4,35,6.7,0.55,0.093,10.77,33.9
Yeongsan,곡성,2015,3,26,first,normal,0.7,15,12.5,7.9,169,99.5,0.5,0,19.5,0.53,0.07,0.21,240,192,10,28.9,127.5,24.7,32.9,14.5,7.9,0.24,0.048,7.7,77.5
Nakdong,곤양천,2015,3,23,first,slightlybad,1,13,10.3,7.6,110,95.2,4.8,0,16.6,1.05,0.07,0.11,337,80,0,10.3,77.1,15.8,251.8,17.3,3.2,0.1,0.013,6.51,15.5
Yeongsan,광양서천,2015,3,30,first,slightlybad,0.7,16,11.1,7.9,80,98.9,1.1,0,28.8,1.24,0.07,0.16,260,345,0,44.1,237.7,45.1,45.7,20.6,10,0.58,0.041,9.36,34.3
Yeongsan,남원,2015,3,25,first,normal,0.6,16,8.9,8,158,100,0,0,6.3,0.45,0.06,0.08,250,117,5.5,28.1,117,26.4,30.3,13.5,7.2,0.26,0.042,6.75,65.1
Yeongsan,남해봉천,2015,3,23,first,normal,0.6,13,11.4,7.7,149,92.9,7.1,0,18.7,2.17,0.09,0.21,841,266,0,23.9,202.5,32.7,94,29.4,8.2,0.19,0.028,9.45,29.3
Nakdong,다사,2015,3,19,first,slightlybad,10,12,11.4,8.3,279,4.5,83.3,12.2,40.8,8.36,2.44,1.76,3272,630,5,31.3,171.1,27.1,62.5,26.8,9.9,0.32,0.081,11.18,38.7
Nakdong,다사U,2015,3,19,first,slightlybad,12.8,14,9.8,7.6,237,100,0,0,22.7,1.13,0.24,0.21,1030,151,0,33.4,189.6,29.2,67,33.1,11.2,0.34,0.077,10.88,40.4
Geum,당진천2,2015,3,31,first,normal,0.7,13,8.6,7.5,509,84.2,14.8,1.1,21.3,1.04,0.11,0.29,719,685,9.1,30.3,191.8,35.2,63.5,26.3,10.4,0.31,0.05,7.95,36.7
Nakdong,덕천강2,2015,3,31,first,slightlybad,1.5,17,9,7.6,41,88.4,11.6,0,26.1,2.15,0.28,0.27,995,631,0,27.1,113.4,19,124.2,30.4,5.3,0.19,0.012,10.06,22.6
Yeongsan,동계,2015,3,24,first,slightlybad,0.4,13,12.4,7.9,109,100,0,0,23.7,0.99,0.07,0.12,200,194,5.5,37.3,117.8,62.1,32.7,14.2,6.7,0.37,0.052,7.39,42.8
Nakdong,명촌,2015,3,16,first,normal,1,14,8.9,8.4,40100,86,12.9,1.1,17.7,1.24,0.14,0.17,961,136,7.7,19.9,104.4,16.7,72.8,15.1,8.2,0.13,0.045,6.89,18
Nakdong,밀양강3,2015,3,27,first,normal,2.5,15,10.1,8.1,272,100,0,0,22.1,1.11,0.11,0.09,878,227,0,21.8,85.4,10.4,44.2,6.8,12.1,0.17,0.006,7.79,23.3
Yeongsan,보성강7,2015,3,26,first,normal,0.6,12,12.2,7.5,85,100,0,0,17.9,0.8,0.11,0.2,330,173,5.1,25.8,114.4,29.5,71,30.4,9.7,0.26,0.038,8.93,54.1
Han,섬강4-1,2015,3,26,first,normal,1.5,11,13,7.9,317,99.4,0.5,0.1,22.1,0.59,0.07,0.22,190,112,5.5,24.8,86.3,6.9,20.5,6.5,3.8,0.2,0.026,6.27,32.1
Yeongsan,수어천2,2015,3,31,first,normal,1,14,7.6,7.7,31870,2,81,17.1,49,10,1.89,1.83,1780,279,7.8,24.9,129.3,29.7,54,24.4,7.7,0.17,0.05,10.6,108.3
Nakdong,양덕천,2015,3,26,first,slightlybad,0.5,14,10.3,7.3,150,63.8,34.7,1.5,26.1,3.01,0.28,0.39,671,296,0,35.7,160.5,46.3,49.6,13.9,14.2,0.4,0.722,8.61,21
Nakdong,연초천2,2015,3,24,first,normal,0.8,10,11.2,7.2,196,88.5,11.4,0.1,24,3.54,0.21,0.29,942,380,5.6,21,199.4,28.8,75.6,19.6,7.5,0.37,0.049,8.63,34.1
Geum,영동,2015,3,25,first,slightlybad,2.3,9,13.3,8,120,90.3,9.7,0,23.1,1.22,0.18,0.5,950,744,0,35.8,198.3,27.7,38.7,20.4,10.1,0.48,0.044,8.53,39.1
Geum,영동천2,2015,3,25,first,slightlybad,0.4,10,14.8,8.4,217,89,11,0,23.7,1.1,0.1,0.25,626,850,0,32.4,201.6,31.4,31.7,18.5,17.4,0.32,0.04,8.29,48.2
Yeongsan,오수천,2015,3,24,first,normal,0.5,11,10.9,7.3,182,99.6,0.5,0,11.2,0.5,0.07,0.13,320,120,4.7,22.1,97.7,25.7,22.3,9.5,5.9,0.27,0.034,5.27,70.7
Yeongsan,요천-1,2015,3,25,first,normal,0.9,15,9.4,7.9,182,98.9,1.1,0,20.4,0.49,0.09,0.12,310,90,4,41.3,118,28.4,21.2,8.6,5.5,0.21,0.045,7.06,103
Geum,우산,2015,3,30,first,normal,1.2,13,11.4,8,134,90.3,9.7,0,20.1,1.1,0.2,0.34,634,346,0,43.5,161.6,29.7,53.3,25,9.5,0.35,0.053,8.32,33.8
Yeongsan,운암,2015,3,23,first,normal,0.7,12,12.3,8.1,103,94.3,5.7,0,16.5,1.49,0.16,0.34,490,286,6.6,26.2,94.1,24,39.7,16,7.6,0.2,0.031,9.75,60.7
Nakdong,위천6,2015,3,18,first,normal,4,11,11.3,7.9,301,99.9,0.1,0,16.8,0.68,0.04,0.07,440,73,0,22.7,69.5,14.1,66.3,16.9,8,0.28,0.023,8.83,30.5
Han,제천천5,2015,3,26,first,normal,1,11,12.2,8.4,254,98.8,1.1,0.1,22.6,0.84,0.11,0.23,250,133,0,21.6,78.8,8.7,35.8,12.1,4.4,0.21,0.018,6.5,23.1
Yeongsan,진월,2015,3,31,first,slightlybad,2.5,13,8.9,7.9,29675,34,60.5,5.6,49.3,12.17,2.1,2.05,1970,498,10.5,19.8,130.5,90.5,43.9,20.3,7,0.3,0.044,7.83,86.6
Han,진위천3,2015,3,24,first,normal,1.6,13,13.5,8,1273,99,1,0.1,29.8,2.43,0.58,0.87,880,716,10.3,21.9,90.4,17.1,40.2,13.4,3,0.21,0.027,6.13,26.7
Nakdong,창원천,2015,3,26,first,slightlybad,1,15,9.8,8.7,24000,94.9,5.1,0,19.2,0.85,0.07,0.11,643,89,4.8,28.1,127.2,17.8,57.2,7.6,4.7,0.18,0.67,7.27,15.3
Geum,초강2,2015,3,26,first,slightlybad,1.4,11,13.9,7.7,123,96.6,3.4,0,18,0.69,0.05,0.29,534,265,0,38.3,166.6,31.8,75.6,31.9,9.3,0.34,0.111,8.59,34.3
Nakdong,태화,2015,3,17,first,slightlybad,1.2,12,10.3,8,12600,83.9,15.1,1,21.6,2.1,0.29,0.29,1057,214,7.3,14.9,63.2,15.8,63.5,25.9,6.4,0.06,0.192,7.74,37
Nakdong,황강2,2015,3,30,first,normal,1.6,15,8.1,7.7,100,99.8,0.2,0,16.4,0.52,0.07,0.08,434,84,0,24,105.4,12.2,31,5.3,2.2,0.15,0.012,10.76,22.6
Nakdong,회야강3,2015,3,16,first,normal,1.5,14,10.1,7.3,289,100,0,0,22.1,1.43,0.12,0.15,536,110,0,17.9,94.8,25,57.5,13.9,7.2,0.17,0.03,6.97,22.7
Nakdong,감천2-1,2015,4,16,first,normal,1,16,8.2,7.6,203,100,0,0,20.8,0.41,0.03,0.05,512,129,0,21.6,52.9,5.3,27.7,6.2,1.8,0.08,0.021,9.6,13.2
Yeongsan,강진천,2015,4,21,first,normal,0.8,15,8.2,8.1,199,99.4,0.6,0,15.6,0.57,0.06,0.09,250,108,0,19.3,112.1,21.1,36.8,14.4,6.4,0.33,0.043,4.87,54.1
Yeongsan,고막원천4,2015,4,15,first,normal,1.5,14,11.8,8.3,208,27.1,62.2,10.7,33.5,5.1,1.45,0.81,930,183,0,19.6,72.6,12.9,51.6,19.5,5.2,0.1,0.017,10.23,72.8
Geum,고부천2,2015,4,9,first,normal,3.4,13,11.3,7.9,204,22.7,75.3,2,42.9,5.01,0.99,0.71,1213,524,0,20.4,81.7,14.9,58.7,20.6,7.7,0.1,0.024,7.82,37.9
Yeongsan,광산,2015,4,9,first,slightlybad,5.2,15,7.9,7.5,315,83.4,16.7,0,33,3.64,0.82,0.6,960,617,5.3,35,198.6,41.2,34.9,15.5,4.9,0.37,0.072,7.83,50.8
Yeongsan,광산D,2015,4,9,first,slightlybad,5.8,15,5.8,7.6,320,99.4,0.6,0,20,1.35,0.1,0.08,440,395,0,37.5,223.1,38.3,35.2,18,6.4,0.38,0.077,9.09,61.9
Yeongsan,광산U,2015,4,9,first,slightlybad,5.6,15,9.2,7.8,366,91.2,8.8,0,27.7,1.98,0.35,0.3,670,409,4.7,38.5,253.5,54.8,38.1,18.1,7.1,0.45,0.088,7.53,51.6
Yeongsan,광주2-1,2015,4,22,first,slightlybad,3.2,17,10.1,7.8,372,100,0,0,8.6,1.18,0.07,0.16,650,522,0,29.6,147.8,35.1,40,15.4,5.6,0.28,0.19,6.91,49.1
Nakdong,구포,2015,4,10,first,normal,9.8,14,9.1,7.8,296,99.3,0.7,0,21,0.98,0.09,0.11,842,159,4.5,14.3,40.4,6,46.6,8.8,3.8,0.08,0.008,7.78,15.9
Yeongsan,군외천,2015,4,28,first,slightlybad,0.5,18,8.4,8.2,75,94.9,5.1,0,23.7,1.95,0.13,0.24,380,222,5.9,29.4,135,74.7,32.1,13,7,0.39,0.059,9.28,53
Yeongsan,금산천,2015,4,27,first,slightlybad,0.6,20,12.7,9.2,1272,86.7,13.3,0,24.9,2.07,0.29,0.52,580,273,7.8,23.6,90.6,57,32.7,14.7,3.7,0.21,0.032,10.49,54.5
Geum,김제,2015,4,13,first,normal,2.6,14,8.1,7.3,612,87.9,11.7,0.3,19.8,0.96,0.18,0.51,854,698,23.8,22.3,172.3,29.6,55.2,20.3,7.1,0.23,0.046,7.83,36
Nakdong,낙단,2015,4,28,first,slightlybad,10,19,8.9,8.9,198,70.2,27,2.8,31.1,3.19,0.57,0.57,1330,240,0,30.3,141,17.7,67.5,22.7,9.2,0.43,0.057,10.27,40.8
Nakdong,낙단D,2015,4,20,first,normal,4.2,14,9,7.7,209,100,0,0,10.4,0.41,0.01,0.05,472,85,0,24.6,67.5,7.6,59.2,10.7,6.8,0.21,0.025,8.15,19.2
Nakdong,낙단U,2015,4,28,first,slightlybad,9.5,17,9,8.7,185,48.1,47.1,4.8,45.8,6.6,0.91,0.98,1860,376,0,33.2,188.7,21.3,65.8,23.1,10.5,0.53,0.074,12.58,45.6
Nakdong,남강4-1,2015,4,9,first,slightlybad,3.5,13,9,7.1,149,100,0,0,22.2,0.87,0.12,0.11,723,153,0,27.5,184.1,29.9,139.3,35.9,8.4,0.31,0.058,10.54,50.6
Nakdong,내성천3-1,2015,4,1,first,normal,0.7,13,8.1,8.1,261,100,0,0,8.9,0.45,0.01,0.05,311,86,0,30,98.6,14.4,40.7,8.3,3.7,0.12,0.009,9.29,16.4
Geum,논산천4,2015,4,15,first,slightlybad,5.4,13,11.5,7.7,208,88.9,11.1,0,22.1,1.3,0.16,0.3,825,489,5.7,26.2,123.4,21.6,56.8,21.9,12.7,0.42,0.041,8.89,38.5
Nakdong,다사D,2015,4,23,first,normal,5.8,16,9.9,7.4,247,100,0,0,16.6,0.65,0.07,0.06,397,124,0,21.3,78.2,14.2,93,12.8,7.6,0.2,0.013,7.59,17.4
Han,달천5,2015,4,28,first,normal,4.8,19,11.2,8.3,201,46.3,51.9,1.9,39.4,5.81,1.47,1.27,1120,747,4.7,16,133.5,17.6,48,19.4,7.9,0.38,0.031,8.03,44.8
Nakdong,도남,2015,4,27,first,slightlybad,9,21,8.1,8.7,182,36.1,59.1,4.8,28.2,4.94,1.38,1.71,3191,576,0,32.6,166.5,19.8,60.5,20.9,9.5,0.53,0.061,11.45,45.7
Nakdong,도남U,2015,4,27,first,slightlybad,9,20,8.3,8.5,185,100,0,0,13.4,0.78,0.1,0.1,1162,133,0,30.3,97.4,11.8,47.5,11.8,8.2,0.43,0.03,9.06,23.9
Yeongsan,돌산천,2015,4,20,first,normal,0.6,13,10.4,8,152,88,12,0,24,2.14,0.25,0.46,480,390,19,28,101.5,24.5,24.7,9.4,3.7,0.29,0.027,6.41,36.8
Geum,동진강3,2015,4,8,first,normal,3.4,12,9.7,7.6,234,93.6,6.5,0,20.9,0.72,0.08,0.24,632,360,0,18.4,81.2,12.2,44.4,14.8,5.1,0.13,0.027,10.52,30.7
Yeongsan,무안1,2015,4,15,first,slightlybad,3.4,17,12.2,7.9,336,31.8,59.9,8.3,38.5,5.62,0.83,0.65,830,313,5.1,22,87.7,35.3,41.6,21.9,15.5,0.3,0.038,6.24,79
Geum,무한천2,2015,4,1,first,slightlybad,1.2,14,17.2,9.5,418,82.4,16.6,1,19.7,0.78,0.12,0.26,635,274,4.5,25.7,101.4,56.2,64.9,21.9,7,0.16,0.024,8.13,27.4
Nakdong,반변천2-1,2015,4,22,first,normal,3.5,15,9.9,7.4,135,99.9,0.1,0,20.9,1.13,0.09,0.11,1228,300,0,19.1,92.3,8.9,29.3,6.6,3.7,0.34,0.013,10.94,14.4
Han,반월천,2015,4,3,first,normal,1.5,13,8,7.5,362,38.6,52.9,8.5,40.3,5.08,0.61,0.61,600,551,0,24.4,97.6,19.6,72.4,29.4,10.2,0.17,0.018,7.41,85.5
Nakdong,병성천-1,2015,4,16,first,normal,0.8,18,9.1,7.9,179,100,0,0,18.8,0.53,0.05,0.06,380,96,0,20.7,50.2,5.3,42.1,8.1,2.4,0.12,0.006,8.86,11.4
Yeongsan,보성강4,2015,4,8,first,normal,1,13,10.7,8,124,97,3,0,11.9,1.22,0.1,0.17,280,191,5.5,23.8,96.6,29.3,74.3,36.8,14.9,0.32,0.032,10.46,65.3
Nakdong,삼랑진2,2015,4,8,first,normal,10,14,9.5,7.5,251,100,0,0,15.6,0.51,0.06,0.05,217,128,0,21.3,99.8,16.6,111,17.6,8,0.19,0.038,8.2,26.9
Geum,삽교천3,2015,4,1,first,normal,2.1,12,11.8,8.2,383,89.6,10.3,0.1,20.7,0.78,0.07,0.22,611,499,10.2,26.6,127.4,28,71.2,30.7,8.8,0.21,0.032,9.36,42
Nakdong,서낙동강3,2015,4,10,first,slightlybad,3,16,6.1,6.7,469,90.7,9.3,0,17.8,1.43,0.22,0.29,981,259,13.5,33.4,215.2,29.7,47.2,18.6,7.3,0.51,0.061,9.81,31.6
Yeongsan,석교천,2015,4,29,first,normal,1.5,18,10.6,8.8,992,3.2,52.8,44,35.4,2.57,0.31,0.42,590,228,6.6,21.5,98.3,22.8,66.5,26.6,6,0.15,0.014,9.36,87.4
Nakdong,선산,2015,4,21,first,slightlybad,9.5,15,9.9,7.7,207,17.4,77.4,5.2,33.9,5.73,1.52,1.9,3398,744,0,33,177.4,22,73.3,25.4,11.4,0.49,0.072,10.8,47.7
Nakdong,선산D,2015,4,22,first,normal,4.3,15,10.2,7.6,200,100,0,0,18.2,0.58,0.11,0.06,358,91,0,30.1,87.4,8.6,95.1,9.7,7.6,0.38,0.017,8.05,17.6
Nakdong,선산U,2015,4,21,first,normal,10,15,10.2,7.9,204,100,0,0,17.5,3.12,0.04,0.07,236,106,0,23.7,80.3,8.4,48,14.3,4.6,0.3,0.028,9.55,23.9
Han,선행천,2015,4,3,first,normal,0.4,13,10.7,7.4,795,90,9.5,0.5,27.7,2.5,0.34,0.51,640,459,0,20.8,103.3,25.9,38.4,9.5,3.8,0.24,0.02,7.8,20.1
Geum,성동,2015,4,15,first,slightlybad,7,13,14.2,8.6,280,82.9,17,0,27.4,2.04,0.27,0.53,899,522,4,35,140.5,29.2,74.8,32.3,11.7,0.5,0.066,9.49,40.3
Nakdong,수영강5,2015,4,24,first,bad,4,17,7,7,24400,6.5,83.6,9.9,39.1,11.41,2.09,3.64,4438,871,41,68.3,387.8,78.2,63.1,20.6,11.6,0.97,0.284,8.96,47.2
Yeongsan,순천동천3,2015,4,2,first,normal,2,13,8.5,7.3,2584,7.6,79.2,13.2,44.1,6.16,1.06,1.32,1920,223,32.3,37.9,94.1,18.5,59.8,25.1,6.1,0.16,0.033,8.3,45.5
Nakdong,안동1,2015,4,2,first,slightlybad,2.5,8,11.7,7.9,165,94.7,5.3,0,13.8,0.89,0.18,0.23,1107,327,0,17.2,140.8,6.8,17.8,5.6,11.4,0.88,0.013,10.32,12.1
Geum,양화,2015,4,16,first,normal,10.2,14,11.8,7.9,322,95,5,0,21.3,1.29,0.13,0.34,663,515,0,29.4,105.4,22.6,66.9,25.9,11.7,0.28,0.058,11.01,36.8
Nakdong,영강2-1,2015,4,2,first,normal,1.5,13,8.9,8,246,100,0,0,16.6,0.43,0.04,0.06,317,83,0,20.3,53.8,5.2,37.2,9.3,4.4,0.14,0.007,8.39,19.7
Yeongsan,영산포-1,2015,4,10,first,normal,7.5,15,8.2,7.6,367,2.6,81.6,15.8,40.9,6.22,1.35,0.83,1210,377,5.8,29.2,94.1,15.8,55.2,23,6.8,0.13,0.021,11.3,89.4
Yeongsan,영암천1,2015,4,3,first,normal,1,16,7,7.6,424,59.7,38.3,2,32.2,4.86,0.69,1.1,1260,517,6.7,22.1,113.5,29.2,41,15.1,6.2,0.23,0.038,9.23,61.9
Nakdong,예천2,2015,4,2,first,normal,2,11,11,8,188,100,0,0,19.8,0.91,0.07,0.08,357,152,0,21.3,67,7.1,48.2,10.6,8.6,0.24,0.013,8.72,15.5
Geum,와룡천,2015,4,10,first,normal,0.9,11,11.4,7.4,274,88.8,10.6,0.6,22.1,0.8,0.1,0.31,727,582,0,32.7,176.2,35.1,60.1,31.5,7.4,0.26,0.032,7.4,34.9
Yeongsan,와탄천,2015,4,16,first,normal,0.8,15,10.2,7.8,322,68.2,27.3,4.5,17.2,0.52,0.06,0.26,450,224,4.4,13.8,40.4,7.4,30.9,9.8,3.1,0.11,0.012,4.64,34.3
Geum,웅천천2,2015,4,2,first,normal,4.5,11,7.7,6.7,2927,11.9,78.7,9.4,53.7,7.03,2.43,2.05,2573,890,0,33.9,182.9,35,67.4,32.6,8.3,0.3,0.048,8.36,37.1
Han,원주,2015,4,28,first,slightlybad,2.3,15,11.7,8.1,231,94.3,5.2,0.6,22.9,1.43,0.21,0.49,400,173,0,26.5,99,14.1,43.6,17,14.3,0.4,0.104,7.05,44.2
Geum,원평천2,2015,4,8,first,normal,4.4,14,8.5,7.6,339,73.1,26.2,0.7,21.8,1.39,0.17,0.32,628,431,6.1,17,52.1,9.2,48.7,14.1,5.1,0.07,0.015,7.57,27.1
Yeongsan,이사천3,2015,4,2,first,slightlybad,0.9,10,10.7,7.8,83,94.6,5.4,0,27.9,2.49,0.33,0.33,400,159,0,22.3,95.8,31.3,61.3,25.9,12,0.83,0.034,5.34,84.9
Geum,전주천6,2015,4,14,first,slightlybad,3.2,15,8.7,7.2,921,96.5,3.5,0,25.9,1.65,0.51,1.05,1779,1031,13.5,38.6,299.5,72.4,44.6,19.1,4.7,0.95,0.235,10.12,28.6
Yeongsan,주진천2,2015,4,9,first,normal,0.6,14,9.3,7.6,369,58.7,41.2,0.1,15.5,0.83,0.07,0.17,403,236,5.3,15.1,38.4,6.7,44.4,14,4.5,0.05,0.011,6.43,25.9
Yeongsan,죽산,2015,4,10,first,normal,8.4,15,8.9,7.7,355,77,22.2,0.8,21,1.46,0.32,0.27,450,223,6.6,25.3,125.1,23.1,42,18.7,5.6,0.26,0.055,7.29,63.7
Yeongsan,죽산D,2015,4,10,first,normal,7.2,15,7.8,7.6,362,98.3,1.7,0,21.3,0.65,0.12,0.12,250,179,7.4,25.9,146.2,47,42.3,18.1,7.1,0.23,0.043,9.23,67.2
Yeongsan,죽산U,2015,4,24,first,slightlybad,6.3,18,12,8.1,298,99.2,0.8,0,13.9,1.45,0.05,0.12,350,185,6.7,29.2,178.3,29.7,32.3,15.9,6.7,0.35,0.078,7.6,60.2
Yeongsan,지석천4,2015,4,24,first,normal,1.2,20,10.2,8.3,195,100,0,0,19.4,0.72,0.15,0.14,300,181,7,24.7,142.6,22.4,30.2,14.6,7.7,0.3,0.051,7.12,53.7
Han,춘천3,2015,4,15,first,normal,4.3,13,11.5,7.9,118,92.7,6.6,0.7,30.5,3.02,0.46,1.09,1060,345,0,24.5,89.2,22.9,58,24.6,14,0.37,0.039,7.29,47.7
Yeongsan,탐진강3,2015,4,21,first,normal,1.2,17,9.3,8,127,100,0,0,19.3,0.78,0.16,0.16,340,158,4.2,23.2,75.6,14.7,32,13.5,6.4,0.31,0.032,5.35,41.6
Yeongsan,함평,2015,4,14,first,slightlybad,1.8,15,8,7.7,348,87.9,12.1,0,27.8,2.55,0.47,0.13,330,430,0,34,103.1,59.6,51.6,19.7,11.7,0.23,0.036,10.3,49.5
Han,행주,2015,4,21,first,normal,4.5,14,7,7.2,422,56.8,42.5,0.7,28,1.38,0.49,0.72,450,420,0,9.9,52,6.9,47.8,14.4,4.1,0.12,0.02,5.56,35.2
Nakdong,황강5,2015,4,3,first,normal,1.7,18,8.9,7.6,114,100,0,0,19.9,0.59,0.01,0.05,288,61,0,17,75.1,7.8,103.4,8.4,3.6,0.22,0.003,8.55,10.5
Yeongsan,황룡강5,2015,4,22,first,normal,0.7,17,11.1,8,203,91.2,8.8,0,16.7,1.52,0.05,0.07,90,310,0,16.8,109.8,11.1,28.8,12.8,3.6,0.11,0.014,11.64,72.1
Han,가평천3,2015,5,26,first,slightlybad,0.4,21,11.3,8.4,143,99,1,0.1,21.1,1.09,0.11,0.18,370,288,0,27.4,155.4,32.6,57.2,26.7,9.3,0.55,0.038,5.21,45.6
Geum,갑천5-1,2015,5,11,first,slightlybad,2.1,21,9.1,7.7,517,97.6,2.4,0,27.6,1.66,0.4,0.8,1245,572,0,47.7,403.2,60.6,60.3,26.6,8.8,0.46,0.461,8.22,34.4
Han,강상,2015,5,12,first,slightlybad,6,18,10.3,8.3,259,84.9,13,2.1,23.4,2.42,0.38,0.82,860,485,0,30.8,130.8,22.4,71.6,26.5,14.1,0.42,0.043,8.29,65.4
Han,강천,2015,5,19,first,normal,4.8,18,11,8.1,252,74,23.7,2.4,27.1,3.46,0.94,1.19,1020,363,0,29.3,116.2,14.9,39.2,15.6,6.3,0.24,0.044,8.69,52.4
Han,강천D,2015,5,20,first,normal,2.1,16,9.8,7.8,255,98,1.8,0.2,24.3,1.04,0.13,0.21,270,91,0,29.9,99,8.9,24.2,9.9,5.4,0.19,0.023,8.57,34.7
Han,강천U,2015,5,19,first,normal,3.4,15,9.5,8,255,37.2,54.4,8.5,41.7,8.64,1.89,2.4,1930,545,0,30.4,120.8,14.9,38.1,14.8,6.3,0.26,0.048,8.73,57.1
Han,경안천11,2015,5,12,first,normal,3.7,19,7.3,8,404,65.8,31.5,2.6,44.9,5.37,1.69,1.64,1370,591,0,31.9,130.6,32.1,85.1,35.3,11.3,0.35,0.044,8.22,66.9
Nakdong,경호강2,2015,5,27,first,normal,0.5,28,6.9,8.3,148,100,0,0,13.4,0.75,0.06,0.11,640,142,0,16.4,102.8,11.1,104.2,22.1,2.9,0.22,0.014,10.27,18.9
Geum,금강,2015,5,29,first,slightlybad,7.1,19,13.7,8.7,264,34.9,57.3,7.8,26.2,2.15,0.54,0.89,1319,657,6.5,41.1,244.7,52.3,77,38.3,8,0.37,0.094,11.35,46.7
Geum,금강U,2015,5,26,first,slightlybad,4,19,13.1,8.4,303,88.4,11,0.6,20.3,0.98,0.13,0.37,635,429,0,40,280.5,58.6,77.1,40.1,9.8,0.51,0.115,11.03,48.5
Nakdong,논공,2015,5,28,first,slightlybad,9.2,26,8.5,8.6,437,100,0,0,15.6,0.7,0.1,0.09,811,134,0,34.6,267.3,55,94.7,42.7,11.3,0.36,0.157,10.34,38.2
Nakdong,논공U,2015,5,28,first,normal,8.8,26,11.1,8.5,440,73.3,25.7,1,26.4,2.23,0.58,0.65,1414,375,0,25.7,143.4,24.8,75.3,24.1,7.2,0.25,0.067,8.93,28.3
Han,대성리,2015,5,12,first,normal,4.1,17,10.2,8,118,96.4,3.2,0.4,24.1,1.64,0.14,0.54,280,320,0,32.7,84.4,14.9,82.2,25.1,8.7,0.25,0.025,6.88,40.7
Han,대신,2015,5,20,first,normal,3.7,17,9.6,8.1,251,90.6,7.9,1.5,22.5,1.92,0.32,0.38,460,178,0,28.9,102,12.9,35.6,14.7,8.1,0.26,0.04,8.51,48.6
Han,대신D,2015,5,21,first,normal,2.8,19,10.2,7.8,253,83.9,14.5,1.6,17.4,2.88,0.21,0.55,640,292,0,25.7,91.6,8.5,24.2,8.4,5.1,0.2,0.039,8.75,46
Han,대신U,2015,5,20,first,normal,2.3,17,9.6,8.1,247,96,3.5,0.5,19.6,1.19,0.24,0.34,400,247,0,26.9,104.4,12.1,32.2,11.7,9.2,0.29,0.044,7.96,41.9
Nakdong,덕곡,2015,5,8,first,normal,15,22,10.3,8.1,189,100,0,0,17.1,0.72,0.03,0.08,538,109,0,27.7,109.1,20.1,73.4,20.7,6.5,0.17,0.041,8.43,24.7
Nakdong,덕곡U,2015,5,7,first,normal,10,23,9.8,8.5,338,100,0,0,17.8,0.59,0.02,0.06,341,123,0,23.7,74.6,12.2,109.3,11.9,7.5,0.17,0.033,7.96,16.7
Nakdong,도남D,2015,5,26,first,slightlybad,6.2,24,9.8,8,243,78.8,21.2,0,28.4,2.77,0.77,0.6,1467,333,0,21.3,77.6,8.7,55.9,14.4,3.8,0.26,0.08,9.9,16.1
Yeongsan,동홍천,2015,5,14,first,bad,0.5,16,10,7.2,123,100,0,0,23.8,1.5,0.14,0.46,320,1046,8.5,38.1,395.5,88,89.4,41.8,4.9,0.55,0.502,10.45,21.5
Geum,미호천6-1,2015,5,19,first,slightlybad,1.4,21,6.3,7.8,501,96.6,3.4,0,19.3,0.75,0.09,0.29,519,492,0,34.9,261.3,61.8,78.2,39.1,6,0.41,0.063,10.13,44.3
Han,삼봉리,2015,5,12,first,normal,7.3,18,10.4,8.1,135,78.6,19.1,2.2,37.8,4.28,1.07,1.4,970,515,0,24.4,103.4,24.3,74.1,29.2,8,0.29,0.034,7,45.4
Han,신천3,2015,5,14,first,bad,0.2,24,8.3,7.8,2274,95.9,2.8,1.3,21.5,2.1,0.24,2.07,350,353,0,36,8889.6,35.8,118,31.4,9.1,1.72,0.044,1.55,9.5
Geum,연기D,2015,5,18,first,slightlybad,7.2,16,12.1,8,283,88.1,11.8,0.1,26.3,1.99,0.4,0.72,1004,629,4.5,36.8,245,46.2,69.4,33.7,9,0.43,0.077,10.14,40.8
Geum,연기U,2015,5,14,first,slightlybad,2.3,14,10.9,8,257,97.9,2.1,0,23.1,1.02,0.21,0.45,793,419,0,42.1,339.3,74.1,76.5,38.9,8.4,0.45,0.195,10.18,47.7
Nakdong,영덕,2015,5,21,first,normal,1.5,24,8.7,7.6,177,98.5,1.5,0,16.8,1.46,0.15,0.2,564,120,0,50.5,118.8,10.4,44,11.8,10.9,0.29,0.045,7.98,25.1
Yeongsan,옹포천,2015,5,13,first,bad,0.9,18,9.7,7.6,311,78.9,19.3,1.9,20.2,2.84,0.34,0.45,340,929,27.5,30.4,215,280.4,104.5,46,6.9,0.46,0.041,9.75,50.5
Nakdong,왕피천,2015,5,21,first,slightlybad,1.1,22,10.1,6.5,116,100,0,0,18.7,0.7,0.03,0.07,226,102,0,15.1,75.4,13.3,57.9,17.7,15.7,0.1,0.015,7.62,27.2
