d15N,d18O,site,round
8.7,4.07,JS-09,round04
10.93,1.68,JS-10,round04
8.42,4.56,JS-11,round04
5.75,1.47,JS-12,round04
8.01,4,JS-13,round04
8.84,2.7,JS-14,round04
8.58,6.7,JS-15,round04
7.21,4.17,JS-16,round04
9.04,6.43,JS-17,round04
8.87,1.45,JS-18,round04
10.48,6.58,JS-19,round04
8.19,3.22,JS-20,round04
9.77,3.74,JS-21,round04
20.17,-2.1,JS-22,round04
8.17,6.16,JS-23,round04
7.7,4.89,JS-24,round04
8.69,5.16,JS-25,round04
8.49,2.58,JS-26,round04
9.24,6.7,JS-27,round04
9.46,3.75,JS-28,round04
10.51,9.89,JS-29,round04
15.24,5.65,JS-30,round04
12.19,9.81,JS-31,round04
10.33,3.47,JS-32,round04
10.06,1.24,JS-33,round04
12.27,6.77,JS-34,round04
7.56,1.72,JS-35,round04
11.08,3.28,JS-36,round04
3.98,-0.49,JS-01,round05
7.05,2.16,JS-02,round05
7.81,2.87,JS-03,round05
7.62,0.31,JS-04,round05
7.23,4.27,JS-05,round05
5.52,-1.41,JS-06,round05
7.76,2.1,JS-07,round05
9.16,13.54,JS-08,round05
9.05,7.58,JS-09,round05
11.99,4.31,JS-10,round05
5.98,9.96,JS-11,round05
5.91,4.4,JS-12,round05
7.97,6.34,JS-13,round05
8.32,3.18,JS-14,round05
8.88,7.56,JS-15,round05
6.38,1.42,JS-16,round05
9.25,5.33,JS-17,round05
8.56,2.98,JS-18,round05
10.05,6.47,JS-19,round05
5.16,10.28,JS-20,round05
9.02,2.76,JS-21,round05
19.38,3.14,JS-22,round05
8.26,5.61,JS-23,round05
7.89,0.1,JS-24,round05
8.49,5.03,JS-25,round05
8.32,2.76,JS-26,round05
7.37,8.71,JS-27,round05
4.73,1.03,JS-28,round05
11.11,8.88,JS-29,round05
9.15,5.78,JS-30,round05
11.59,8.86,JS-31,round05
12.06,4.85,JS-32,round05
9.63,2.5,JS-33,round05
11.8,8.14,JS-34,round05
8.84,3.22,JS-35,round05
10.72,4.22,JS-36,round05
6.12,1.97,JS-01,round06
6.55,1.17,JS-02,round06
7.43,2.73,JS-03,round06
6.53,0.43,JS-04,round06
7.01,3.91,JS-05,round06
6.21,-0.51,JS-06,round06
7.7,2.04,JS-07,round06
10.48,12.49,JS-08,round06
8.81,4.87,JS-09,round06
10.86,1.1,JS-10,round06
7.56,5.75,JS-11,round06
8.78,2.46,JS-12,round06
9.63,3.12,JS-13,round06
5.39,-2.71,JS-14,round06
9.68,3.41,JS-15,round06
4.48,-3.74,JS-16,round06
9.07,1.86,JS-17,round06
8.57,2.31,JS-18,round06
8.5,4.31,JS-19,round06
7.82,2.5,JS-20,round06
8.67,2.59,JS-21,round06
17.45,3.43,JS-22,round06
8.4,4.21,JS-23,round06
6.67,-0.71,JS-24,round06
8.73,3.22,JS-25,round06
8.03,2.42,JS-26,round06
8.59,5.72,JS-27,round06
9.61,3.81,JS-28,round06
7.91,4.46,JS-29,round06
12.22,6.25,JS-30,round06
8.25,3.45,JS-31,round06
8.81,2.65,JS-32,round06
7.21,-0.72,JS-33,round06
7.76,2.06,JS-34,round06
10.16,1.11,JS-35,round06
9.77,3.2,JS-36,round06
6.11,2.89,JS-01,round07
3.81,2.95,JS-02,round07
4.62,2.84,JS-03,round07
6.03,1.99,JS-04,round07
4.99,2.78,JS-05,round07
6.02,1.75,JS-06,round07
5.99,2.52,JS-07,round07
11.9,5.72,JS-08,round07
8.87,4.33,JS-09,round07
7,0.8,JS-10,round07
9.21,4.83,JS-11,round07
6.29,2.6,JS-12,round07
8.46,3.28,JS-13,round07
9.51,-0.05,JS-14,round07
8.83,2.51,JS-15,round07
8.56,0.56,JS-16,round07
8.73,2.43,JS-17,round07
8.97,0.02,JS-18,round07
8.94,2.55,JS-19,round07
7.36,1.4,JS-20,round07
8.72,1.45,JS-21,round07
10.63,-0.49,JS-22,round07
8.49,0.88,JS-23,round07
8.81,2.57,JS-24,round07
8.29,1.21,JS-25,round07
9.08,1.4,JS-26,round07
8.57,2.86,JS-27,round07
9.38,3.81,JS-28,round07
9.07,2.54,JS-29,round07
13.35,3.66,JS-30,round07
9.42,2.26,JS-31,round07
9.68,2.73,JS-32,round07
5.7,4.75,JS-33,round07
9.36,2.82,JS-34,round07
10.91,6.07,JS-35,round07
9.63,2.47,JS-36,round07
4.04,3.23,JS-01,round08
4.16,3.24,JS-02,round08
4.56,3.31,JS-03,round08
3.74,3.08,JS-04,round08
4.84,3.06,JS-05,round08
5.85,3.45,JS-06,round08
5.44,3.11,JS-07,round08
6.88,4.84,JS-08,round08
6.38,4.01,JS-09,round08
5.6,3.19,JS-10,round08
7.77,4.05,JS-11,round08
5.33,2.58,JS-12,round08
6.31,3.55,JS-13,round08
6.58,3.86,JS-14,round08
6.33,4.24,JS-15,round08
7.76,3.75,JS-16,round08
6.59,4.16,JS-17,round08
5.72,3.28,JS-18,round08
6.53,3.1,JS-19,round08
7.25,2.84,JS-20,round08
7.18,3.1,JS-21,round08
7.13,2.15,JS-22,round08
7.25,3.07,JS-23,round08
6.62,3.69,JS-24,round08
6.96,2.81,JS-25,round08
7.96,2.08,JS-26,round08
7.24,3.14,JS-27,round08
7.14,3.58,JS-28,round08
6.6,2.85,JS-29,round08
8.79,2.52,JS-30,round08
6.78,3,JS-31,round08
9.19,3.3,JS-32,round08
8.93,2.5,JS-33,round08
6.89,2.83,JS-34,round08
8.34,3.67,JS-35,round08
7.51,2.96,JS-36,round08
6.48,4.31,JS-01,round09
7.12,2.07,JS-02,round09
7.98,3.39,JS-03,round09
7.23,2.39,JS-04,round09
7.29,5.72,JS-05,round09
6.94,4.21,JS-06,round09
8.08,4.28,JS-07,round09
11.84,8.41,JS-08,round09
9.56,7.55,JS-09,round09
9.84,3.75,JS-10,round09
9.8,5.49,JS-11,round09
7.64,3.6,JS-12,round09
8.89,4.53,JS-13,round09
8.78,3.66,JS-14,round09
8.91,3.92,JS-15,round09
8.86,3.47,JS-16,round09
9.4,3.55,JS-17,round09
10.18,2.07,JS-18,round09
9.58,3.37,JS-19,round09
9.19,3.42,JS-20,round09
10.18,2.82,JS-21,round09
18.36,-1.54,JS-22,round09
9.26,2.59,JS-23,round09
7.7,2.22,JS-24,round09
8.88,3.25,JS-25,round09
7.78,2.31,JS-26,round09
10.16,5.48,JS-27,round09
6.4,4.04,JS-28,round09
8.77,4.63,JS-29,round09
13.99,6.17,JS-30,round09
9.02,4.45,JS-31,round09
9.96,4.86,JS-32,round09
10.63,2.47,JS-33,round09
9.52,4.3,JS-34,round09
9.29,4,JS-35,round09
10.68,3.97,JS-36,round09
7.02,1.72,JS-01,round10
10.19,4.17,JS-02,round10
9.24,4.72,JS-03,round10
6.89,0.98,JS-04,round10
9.21,2.58,JS-05,round10
8.05,1.92,JS-06,round10
9.14,2.24,JS-07,round10
