Source,d15N,d18O
precipitation,-0.28,47.37
fertilizer,-17.75,13.45
fertilizer,0.54,20.49
fertilizer,7.14,16.78
soil,8.01,10.42
soil,8.61,1.57
soil,8.19,-0.4
soil,4.79,2.92
soil,7.38,7.32
soil,3.35,6.93
soil,2.53,10.61
soil,0.91,10.36
soil,8.6,7.99
soil,0.98,4.29
soil,8.37,2.18
soil,6.83,3.8
soil,5.11,4.53
manure or sewage,9.77,-1.17
manure or sewage,11.48,0.36
manure or sewage,9.83,-1.54
manure or sewage,8.12,-0.73
manure or sewage,8.98,-0.69
manure or sewage,11.7,0.36
manure or sewage,12.29,2.32
manure or sewage,12.98,2.63
manure or sewage,20.5,5.45
manure or sewage,10.89,0.19
manure or sewage,10.95,-2.96
manure or sewage,21.7,4.57
manure or sewage,20.47,1.22
manure or sewage,13.38,4.66
manure or sewage,20.62,0.06
manure or sewage,12.28,-1.7
manure or sewage,18.02,0.77
manure or sewage,23.7,6.6
manure or sewage,15.97,2.65
manure or sewage,19.62,7.36
manure or sewage,21.09,4.13
manure or sewage,24.48,1.67
manure or sewage,17.72,8.82
