 spot,Temperature,pH,DO,BOD,COD,SS,EC,TN,NO3N,NH3N,TP,PO4P,Chla,TOC
고막원천1,14.3,7.4,11.1,1.7,4.1,9.5,207,2.940,0,0,0.082,0,0,3.2
고막원천2,15.7,7.5,10.7,2.6,5.5,13.9,189,2.985,2.083,0.126,0.122,0.081,8.2,2.6
고막원천3,16.4,7.9,10.7,3.5,6.3,17.5,196,3.120,1.988,0.048,0.104,0.051,19.0,3.0
고막원천4,15.8,7.8,10.7,3.3,7.1,40.3,236,2.480,1.665,0.117,0.117,0.032,27.1,5.2
광주천1,16.3,7.5,8.6,3.8,6.1,4.4,315,7.546,4.145,1.980,0.065,0.008,9.6,3.7
광주천2,15.5,7.7,10.1,4.1,7.0,16.6,307,4.215,2.539,0.720,0.129,0.046,23.2,4.7
만봉천,15.4,7.6,11.0,2.3,6.3,13.8,218,2.157,1.372,0.130,0.111,0.048,11.7,4.7
문평천,15.3,7.3,10.8,2.4,5.0,12.2,227,2.898,2.145,0.090,0.065,0.017,16.8,3.5
삼포천1,15.1,7.3,8.5,5.6,9.0,45.4,414,4.602,0,0,0.269,0,0,6.8
삼포천2,16.0,7.6,9.6,4.4,9.9,96.8,438,2.791,1.599,0.189,0.195,0.030,34.9,6.7
영산천,15.3,7.8,11.1,5.8,12.2,26.7,338,8.164,4.150,1.687,0.424,0.277,11.5,8.0
영암천1,14.9,7.9,10.7,1.9,6.5,32.1,402,2.687,1.732,0.230,0.079,0.038,7.9,3.4
영암천2,16.2,7.6,9.7,2.9,6.9,31.7,597,2.663,1.628,0.202,0.097,0.019,15.3,5.1
장성천1,14.3,7.4,9.8,2.1,5.2,12.3,209,2.901,0,0,0.088,0,0,4.0
장성천2,15.4,7.5,10.1,4.1,8.1,22.3,256,3.642,2.009,0.654,0.262,0.159,12.3,5.8
지석천1,16.6,7.7,10.5,1.6,3.5,5.0,140,1.454,0.773,0.015,0.036,0.014,3.5,1.9
지석천2,15.5,7.6,10.2,2.8,5.2,7.9,251,3.430,0,0,0.126,0,0,3.9
지석천3,16.7,7.9,11.7,3.0,5.2,9.2,201,2.824,1.732,0.078,0.097,0.055,12.6,2.2
지석천4,15.4,7.9,11.1,3.1,6.3,14.7,250,3.154,2.215,0.110,0.135,0.064,22.8,4.4
평동천,14.9,7.5,10.3,3.2,7.0,18.4,278,4.554,3.194,0.468,0.191,0.110,9.0,5.2
풍영정천1,14.3,7.4,10.4,2.9,5.9,14.1,221,2.237,0,0,0.133,0,0,4.3
풍영정천2,15.6,7.9,11.6,3.6,6.5,15.1,248,2.181,1.270,0.245,0.117,0.042,16.9,4.7
함평천1,15.6,7.3,10.4,1.7,4.6,8.5,176,2.929,1.931,0.027,0.050,0.021,6.3,2.4
함평천2,15.9,7.6,11.0,3.9,6.8,19.1,242,2.721,1.715,0.114,0.110,0.058,21.1,3.2
함평천3,15.7,7.3,9.0,4.7,8.8,41.3,399,5.847,2.907,1.726,0.180,0.057,19.5,6.3
황룡강1,16.1,7.4,10.9,1.4,3.4,3.2,221,1.606,0.812,0.005,0.033,0.013,2.1,1.9
황룡강2,16.3,7.6,10.7,1.3,3.7,5.9,185,2.104,1.228,0.012,0.040,0.017,3.2,1.8
황룡강3,15.5,7.8,11.5,2.9,5.3,9.7,265,1.967,0,0,0.080,0,0,3.9
황룡강4,16.9,7.9,9.6,2.7,6.3,6.4,191,1.421,1.105,0.124,0.054,0.003,31.9,3.3
황룡강5,15.9,7.9,10.7,3.1,6.1,12.0,232,1.723,1.008,0.142,0.165,0.086,17.3,4.3
