 spot,Temperature,pH,DO,BOD,COD,SS,EC,TN,NO3N,NH3N,TP,PO4P,Chla,TOC
고막원천1,15.1,7.4,11.0,2.5,6.0,10.5,215,3.231,0,0,0.139,0,0,3.8
고막원천2,15.7,7.5,10.0,2.9,7.5,18.1,242,3.452,2.594,0.308,0.262,0.149,15.8,4.5
고막원천3,16.7,8.1,11.1,3.7,8.7,31.3,221,2.680,2.041,0.085,0.243,0.090,55.6,4.9
고막원천4,16.9,7.9,10.4,4.1,9.2,45.4,226,2.972,2.100,0.110,0.181,0.063,81.4,5.9
광주천1,17.5,7.4,9.6,4.2,6.9,4.5,371,7.647,3.819,1.309,0.086,0.055,4.4,3.0
광주천2,17.4,7.3,10.0,4.5,7.5,14.5,348,4.203,2.584,0.792,0.170,0.068,38.1,5.5
만봉천,17.6,7.7,12.6,2.3,6.2,14.6,246,2.092,1.552,0.073,0.155,0.093,13.5,4.3
문평천,16.8,7.2,11.7,1.7,4.3,6.7,227,2.871,2.474,0.048,0.051,0.018,10.5,2.8
삼포천1,16.6,7.0,7.7,4.8,10.2,44.9,368,7.256,0,0,0.284,0,0,6.6
삼포천2,18.4,7.4,9.4,3.5,9.1,64.7,572,3.803,2.585,0.449,0.177,0.050,25.5,6.7
영산천,19.2,7.4,10.7,2.0,6.2,22.2,315,4.769,3.959,0.233,0.174,0.097,7.3,4.5
영암천1,17.4,7.4,9.1,2.0,7.6,30.4,358,3.236,1.946,0.502,0.178,0.084,5.4,3.9
영암천2,18.6,7.5,10.1,3.1,7.5,35.9,908,2.693,1.782,0.252,0.114,0.025,24.4,5.4
장성천1,15.9,7.2,10.9,2.4,6.1,13.2,246,3.087,0,0,0.145,0,0,3.9
장성천2,16.4,7.3,10.4,3.2,8.4,16.2,297,4.288,2.362,0.798,0.339,0.238,11.8,5.8
지석천1,18.0,8.0,10.8,1.6,4.5,5.1,184,1.723,1.459,0.058,0.113,0.059,8.1,2.7
지석천2,17.7,7.6,10.1,2.1,5.0,5.8,249,2.601,0,0,0.136,0,0,3.5
지석천3,18.1,8.2,11.0,3.1,6.7,13.4,244,2.256,1.868,0.067,0.157,0.083,32.1,3.9
지석천4,16.8,7.7,11.3,2.8,6.5,12.8,266,3.180,2.495,0.083,0.150,0.082,34.6,4.5
평동천,16.9,7.4,10.1,3.0,7.6,17.4,320,4.722,3.490,0.390,0.245,0.155,11.1,5.5
풍영정천1,15.9,6.8,9.8,2.9,6.8,17.5,239,2.759,0,0,0.187,0,0,4.3
풍영정천2,17.2,7.1,10.8,3.5,7.1,15.5,274,2.516,1.644,0.249,0.154,0.069,20.8,5.3
함평천1,15.6,7.3,10.1,1.9,6.3,12.4,210,2.308,1.795,0.130,0.135,0.041,12.8,3.9
함평천2,16.3,7.4,9.9,2.8,7.0,21.4,251,1.648,1.066,0.100,0.148,0.035,24.2,4.2
함평천3,17.0,7.2,9.2,3.2,8.2,37.5,361,3.599,2.600,0.296,0.170,0.065,21.9,5.6
황룡강1,16.2,7.5,10.4,1.6,4.1,6.6,225,1.054,0.841,0.048,0.070,0.020,8.4,2.4
황룡강2,16.6,7.8,11.6,1.6,4.7,12.8,218,1.372,1.102,0.061,0.074,0.026,14.7,2.7
황룡강3,17.0,7.6,10.0,2.7,5.3,10.1,229,1.945,0,0,0.073,0,0,3.5
황룡강4,18.2,7.9,10.7,2.9,8.4,15.7,222,1.636,1.108,0.037,0.067,0.033,46.8,3.0
황룡강5,17.2,7.8,11.4,3.8,7.3,17.2,234,1.840,1.035,0.196,0.103,0.016,48.2,4.8
