 spot,Temperature,pH,DO,BOD,COD,SS,EC,TN,NO3N,NH3N,TP,PO4P,Chla,TOC
고막원천1,14.4,7.1,11.1,2.5,6.2,11.8,235,3.063,0,0,0.143,0,0,3.9
고막원천2,15.4,7.8,11.4,2.2,6.2,12.1,259,2.574,2.191,0.059,0.126,0.077,18.1,3.9
고막원천3,15.5,7.9,11.0,4.6,9.3,20.7,267,2.179,1.598,0.033,0.153,0.047,54.6,6.0
고막원천4,16.2,8.0,10.6,4.8,10.0,39.5,261,2.288,1.411,0.071,0.166,0.037,63.3,6.1
광주천1,17.9,7.4,8.9,4.3,7.1,4.5,440,9.054,3.051,3.717,0.143,0.085,4.7,4.2
광주천2,16.9,7.1,10.7,5.5,9.6,15.5,381,4.155,2.542,0.613,0.181,0.047,50.3,6.2
만봉천,16.4,7.6,12.5,3.2,7.5,8.5,284,1.932,1.295,0.060,0.159,0.087,16.2,5.1
문평천,16.3,7.4,11.6,2.1,4.7,6.1,262,2.657,2.113,0.117,0.057,0.019,9.2,3.0
삼포천1,15.6,7.1,7.2,6.1,12.2,32.7,542,14.367,0,0,0.545,0,0,8.0
삼포천2,17.1,7.4,10.2,4.5,10.7,59.5,940,3.534,2.199,0.367,0.176,0.039,30.3,7.7
영산천,19.0,7.5,10.5,2.9,7.1,16.0,337,5.513,4.210,0.528,0.200,0.123,4.9,5.1
영암천1,16.1,7.5,9.3,2.7,8.0,30.1,624,3.013,1.803,0.566,0.152,0.044,16.3,4.8
영암천2,17.6,7.5,10.6,3.4,9.0,27.4,1488,2.315,1.328,0.233,0.097,0.011,21.8,6.4
장성천1,15.3,7.3,9.4,3.0,7.2,9.0,276,5.050,0,0,0.224,0,0,4.4
장성천2,15.2,7.4,10.1,4.0,9.7,13.4,336,4.473,2.539,0.763,0.417,0.306,11.7,6.7
지석천1,17.6,8.3,11.6,2.8,5.3,4.9,222,1.370,0.931,0.041,0.101,0.059,16.7,3.7
지석천2,16.3,7.8,10.1,3.5,7.2,6.3,311,3.284,0,0,0.163,0,0,4.9
지석천3,17.2,8.3,11.9,3.4,6.7,6.2,279,2.172,1.707,0.053,0.113,0.055,24.3,5.0
지석천4,16.3,7.4,10.9,4.3,8.3,12.6,306,3.185,2.296,0.107,0.148,0.062,27.5,5.6
평동천,15.9,7.3,10.3,3.3,8.5,11.5,415,5.563,4.150,0.429,0.287,0.194,9.3,6.1
풍영정천1,14.8,6.9,9.6,3.4,8.4,11.5,277,2.609,0,0,0.196,0,0,5.0
풍영정천2,16.2,7.3,10.6,5.0,9.5,12.8,309,2.288,1.351,0.172,0.166,0.049,41.2,6.2
함평천1,14.5,7.5,10.6,1.4,4.7,4.8,256,1.867,1.640,0.048,0.038,0.022,5.3,3.2
함평천2,14.9,7.6,9.4,1.9,6.6,12.9,275,0.864,0.441,0.058,0.061,0.024,17.7,4.2
함평천3,15.9,7.2,8.7,4.2,10.0,35.2,466,3.857,2.375,0.587,0.166,0.041,21.2,7.3
황룡강1,15.3,7.5,11.0,1.3,3.8,3.9,257,0.496,0.308,0.023,0.033,0.011,7.7,2.3
황룡강2,15.5,7.8,11.7,1.3,4.5,3.6,237,0.917,0.678,0.034,0.039,0.017,5.7,2.8
황룡강3,16.5,7.0,10.6,3.9,6.7,9.4,273,1.598,0,0,0.077,0,0,4.3
황룡강4,17.6,7.7,10.2,3.1,6.9,12.5,256,0.974,0.616,0.176,0.057,0.014,36.3,3.5
황룡강5,17.0,7.4,10.2,5.2,8.4,13.8,272,1.806,0.643,0.479,0.131,0.022,25.8,5.8
