 spot,Temperature,pH,DO,BOD,COD,SS,EC,TN,NO3N,NH3N,TP,PO4P,Chla,TOC
고막원천1,13.1,7.3,11.6,1.8,5.0,7.4,234,3.112,0,0,0.116,0,0,3.8
고막원천2,15.7,7.8,10.5,2.2,6.1,9.2,232,2.736,1.999,0.133,0.123,0.063,14.4,3.1
고막원천3,17.2,7.9,11.1,3.5,8.4,19.4,231,2.332,1.748,0.084,0.115,0.045,21.7,3.6
고막원천4,15.9,7.7,10.5,3.3,7.9,35.7,224,2.342,1.624,0.082,0.113,0.036,35.7,6.3
광주천1,14.8,7.0,9.9,2.0,5.5,4.3,276,4.159,3.553,0.173,0.063,0.048,24.4,3.1
광주천2,15.0,7.6,10.1,4.5,9.8,15.5,329,3.827,2.127,0.939,0.166,0.052,49.6,7.6
만봉천,15.0,7.5,12.6,2.3,6.8,10.9,279,2.100,1.509,0.093,0.129,0.065,14.6,5.3
문평천,14.7,7.2,12.4,2.1,5.6,7.6,230,2.952,2.385,0.055,0.062,0.021,11.9,4.3
삼포천1,14.5,7.2,9.6,5.1,10.6,47.9,404,8.877,0,0,0.427,0,0,7.9
삼포천2,15.4,7.3,9.5,4.0,10.2,79.3,478,3.589,2.285,0.370,0.173,0.035,29.8,7.7
영산천,16.3,7.5,11.2,2.7,7.1,24.2,352,5.750,4.451,0.530,0.218,0.145,8.3,5.7
영암천1,15.7,7.5,10.3,1.8,6.9,24.6,364,2.866,1.794,0.250,0.100,0.048,6.2,3.9
영암천2,16.0,7.5,11.0,3.0,7.7,25.0,635,2.533,1.704,0.209,0.097,0.023,21.5,6.0
장성천1,14.7,7.4,11.8,1.8,5.5,14.3,241,2.663,0,0,0.117,0,0,4.2
장성천2,15.8,7.5,12.2,4.2,9.5,20.2,303,3.966,2.289,0.840,0.291,0.197,14.9,7.3
지석천1,16.7,8.0,11.4,1.5,4.5,3.3,163,1.251,0.979,0.077,0.039,0.020,7.1,2.3
지석천2,15.9,7.7,10.6,2.1,5.2,4.9,238,2.802,0,0,0.103,0,0,4.2
지석천3,17.3,7.9,11.3,2.6,5.6,5.5,229,2.334,1.830,0.119,0.076,0.036,23.4,2.8
지석천4,14.9,7.7,11.3,2.4,6.3,9.9,290,3.478,2.793,0.110,0.131,0.070,21.8,5.0
평동천,14.8,7.4,10.4,3.2,7.8,17.2,320,4.891,3.697,0.502,0.260,0.168,9.6,6.3
풍영정천1,13.8,7.3,10.4,3.0,6.5,17.3,253,2.522,0,0,0.156,0,0,5.1
풍영정천2,14.8,7.5,11.2,3.3,7.3,13.9,260,2.188,1.490,0.208,0.132,0.041,26.1,6.0
함평천1,15.3,7.5,10.4,1.4,5.1,5.1,218,2.185,1.799,0.085,0.046,0.020,9.3,2.7
함평천2,16.3,7.8,10.6,3.0,7.1,15.2,242,1.662,1.067,0.171,0.133,0.072,16.9,3.5
함평천3,14.4,7.3,9.2,3.5,8.3,29.7,380,3.549,2.415,0.360,0.165,0.065,22.0,6.5
황룡강1,16.1,7.7,10.4,1.3,4.5,2.3,213,0.777,0.518,0.061,0.028,0.013,5.0,2.3
황룡강2,16.6,8.0,11.7,1.4,4.9,5.5,218,0.992,0.669,0.045,0.036,0.021,6.0,2.6
황룡강3,14.6,7.9,10.8,2.7,6.2,8.9,341,1.663,0,0,0.080,0,0,5.0
황룡강4,17.4,7.6,10.0,2.9,7.6,18.0,282,1.491,1.000,0.043,0.074,0.032,44.6,3.8
황룡강5,15.6,7.8,10.9,3.2,7.3,13.0,299,1.588,0.957,0.152,0.096,0.026,29.4,5.7
