 spot,Temperature,pH,DO,BOD,COD,SS,EC,TN,NO3N,NH3N,TP,PO4P,Chla,TOC
고막원천1,14.4,7.3,11.1,1.6,4.6,13.5,196,2.903,0,0,0.101,0,0,3.3
고막원천2,16.1,7.3,9.6,2.0,5.3,11.7,195,2.213,1.764,0.048,0.080,0.049,5.8,2.8
고막원천3,16.2,7.6,10.7,3.3,6.9,15.6,209,2.469,1.672,0.120,0.091,0.041,27.4,3.2
고막원천4,16.1,7.4,10.2,3.0,6.6,30.4,228,2.628,1.668,0.165,0.139,0.048,30.0,4.8
광주천1,13.9,8.0,12.0,1.1,4.1,4.3,145,2.313,1.839,0.102,0.030,0.008,4.6,1.9
광주천2,16.5,7.4,9.5,3.8,6.6,11.6,335,4.723,2.727,0.864,0.140,0.046,18.6,4.6
만봉천,15.8,7.3,10.8,2.0,5.9,11.9,230,2.145,1.292,0.134,0.117,0.052,7.1,4.7
문평천,15.3,7.2,9.7,1.7,4.1,9.9,214,2.802,2.064,0.094,0.068,0.022,6.4,2.9
삼포천1,15.5,7.2,8.4,4.8,9.1,35.6,377,3.996,0,0,0.202,0,0,6.4
삼포천2,16.8,7.5,9.5,5.0,9.7,63.9,387,2.937,1.527,0.204,0.167,0.017,40.1,6.5
영산천,15.9,7.5,11.1,3.7,8.2,17.7,306,5.563,3.720,0.639,0.299,0.191,10.3,6.3
영암천1,16.0,7.5,9.2,2.6,6.6,40.5,393,2.906,2.208,0.323,0.114,0.061,9.6,3.6
영암천2,17.0,7.6,9.9,3.2,7.2,40.4,484,2.698,1.528,0.179,0.117,0.014,24.8,5.3
장성천1,13.7,7.1,9.3,2.2,5.2,8.8,207,2.927,0,0,0.079,0,0,3.7
장성천2,15.1,7.2,9.9,4.2,7.5,27.6,253,3.550,2.003,0.522,0.253,0.138,12.1,5.9
지석천1,16.0,7.4,10.2,1.6,4.0,4.0,148,1.150,0.705,0.038,0.033,0.014,4.8,2.3
지석천2,16.2,7.4,10.7,2.6,4.8,7.4,224,2.740,0,0,0.143,0,0,3.5
지석천3,16.1,7.6,10.5,2.1,5.1,5.9,205,2.165,1.583,0.103,0.094,0.063,14.3,2.6
지석천4,16.0,7.5,10.7,2.4,5.6,11.3,236,2.954,2.030,0.127,0.173,0.105,16.1,4.2
평동천,15.4,7.3,9.6,3.5,7.1,14.8,271,3.934,2.582,0.382,0.190,0.101,8.3,5.7
풍영정천1,14.8,7.2,10.3,2.7,5.9,16.2,212,2.243,0,0,0.119,0,0,4.0
풍영정천2,16.1,7.7,11.5,3.1,6.2,11.4,236,2.179,1.252,0.208,0.130,0.050,11.0,4.6
함평천1,15.8,7.2,10.1,1.8,4.5,4.9,213,2.147,1.837,0.034,0.028,0.011,5.6,2.5
함평천2,15.7,7.4,8.7,2.3,6.0,12.6,244,1.811,1.343,0.062,0.055,0.020,11.3,3.2
함평천3,15.7,7.1,8.5,3.6,7.1,30.8,372,4.312,2.757,0.445,0.154,0.045,17.1,5.7
황룡강1,16.5,7.2,10.4,1.5,4.1,2.2,227,1.034,0.743,0.039,0.021,0.009,3.2,2.1
황룡강2,16.5,7.4,10.7,1.7,4.2,6.4,211,1.454,1.098,0.046,0.041,0.022,5.2,2.3
황룡강3,16.0,7.3,10.3,1.9,4.5,6.1,258,1.823,0,0,0.074,0,0,3.4
황룡강4,16.7,7.8,10.5,1.7,6.3,6.2,188,1.427,0.956,0.147,0.036,0.006,17.7,2.9
황룡강5,16.3,7.5,10.6,2.3,5.3,8.3,230,1.677,0.958,0.090,0.115,0.053,19.8,3.8
