spot,Temperature,pH,DO,BOD,COD,SS,EC,TN,NO3N,NH3N,TP,PO4P,Chla,TOC
고막원천1,14.6,7.3,11.2,2.1,4.7,12.3,201,3.288,0,0,0.111,0,0,3.6
고막원천2,12.8,7.6,10.0,2.1,6.0,24.5,215,2.839,2.232,0.043,0.115,0.053,5.8,2.8
고막원천3,14.9,7.9,11.1,2.5,6.2,19.1,211,2.606,2.012,0.040,0.109,0.049,24.2,2.9
고막원천4,16.0,7.4,10.7,2.5,6.4,36.8,222,2.584,1.868,0.098,0.131,0.042,21.6,5.1
광주천1,13.6,7.6,11.4,1.1,3.9,7.6,227,2.472,2.127,0.046,0.033,0.020,3.9,2.0
광주천2,17.2,7.5,10.6,3.5,6.5,10.5,297,4.097,2.877,0.481,0.129,0.051,22.2,5.1
만봉천,15.7,7.3,10.8,2.3,7.1,28.2,223,2.321,1.475,0.126,0.151,0.060,9.3,5.5
문평천,15.1,7.3,10.8,1.8,5.0,13.8,202,2.926,2.232,0.114,0.085,0.035,9.2,3.8
삼포천1,15.7,7.2,9.2,5.1,9.4,45.6,329,3.902,0,0,0.223,0,0,6.7
삼포천2,17.0,7.3,10.1,4.3,10.3,81.6,351,2.724,1.604,0.165,0.170,0.024,38.9,7.5
영산천,16.7,7.6,11.4,2.9,7.6,42.4,277,4.801,3.784,0.199,0.275,0.158,13.4,5.8
영암천1,16.4,7.6,10.2,2.4,6.7,36.7,347,2.950,2.012,0.212,0.118,0.050,6.1,3.7
영암천2,17.1,7.5,10.8,3.3,8.5,47.1,377,2.513,1.534,0.135,0.130,0.020,34.3,6.2
장성천1,14.5,7.2,10.1,2.2,5.0,17.5,199,2.758,0,0,0.105,0,0,3.9
장성천2,16.1,7.5,10.8,4.3,8.3,32.5,244,3.708,2.079,0.617,0.269,0.142,12.3,6.2
지석천1,16.9,7.9,11.0,1.5,4.0,2.8,142,1.132,0.882,0.041,0.034,0.014,5.6,2.2
지석천2,16.3,7.4,10.8,2.1,4.8,7.7,214,2.487,0,0,0.105,0,0,4.1
지석천3,14.0,8.0,11.3,1.8,5.0,3.6,198,2.081,1.670,0.042,0.077,0.050,15.3,2.5
지석천4,16.4,7.5,11.0,1.9,5.3,12.8,225,2.876,2.294,0.079,0.122,0.067,11.9,4.3
평동천,15.4,7.3,10.4,3.6,7.6,20.1,268,3.803,2.669,0.302,0.196,0.090,11.7,5.6
풍영정천1,14.9,7.3,11.1,2.6,5.7,15.9,224,2.311,0,0,0.119,0,0,4.2
풍영정천2,15.7,7.4,11.4,2.6,6.0,13.3,235,2.257,1.481,0.130,0.113,0.034,12.6,4.4
함평천1,12.8,7.4,9.9,1.4,5.0,5.8,196,2.510,2.024,0.030,0.042,0.014,5.9,2.4
함평천2,12.6,7.7,9.3,1.9,6.5,11.2,221,2.191,1.625,0.062,0.067,0.022,10.9,3.1
함평천3,15.9,7.1,9.1,3.0,7.3,35.2,332,3.878,2.748,0.315,0.168,0.062,12.0,5.7
황룡강1,14.5,7.6,10.4,1.5,4.3,2.6,238,1.332,1.023,0.033,0.031,0.012,2.3,2.0
황룡강2,15.1,7.8,11.3,1.5,4.8,12.4,219,1.439,1.059,0.028,0.041,0.009,4.8,2.0
황룡강3,16.0,7.4,10.5,2.0,4.7,10.2,257,1.995,0,0,0.077,0,0,3.9
황룡강4,17.2,7.5,10.1,1.7,6.1,11.1,239,1.770,1.242,0.065,0.054,0.017,21.1,3.1
황룡강5,16.3,7.4,10.9,2.3,5.3,11.8,227,1.767,1.204,0.079,0.092,0.033,18.7,4.3
