spot,Temperature,pH,DO,BOD,COD,SS,EC,TN,NO3N,NH3N,TP,PO4P,Chla,TOC
고막원천1,14.8,7.2,11.6,1.6,5.2,9.1,210,3.378,0,0,0.121,0,0,3.2
고막원천2,15.4,7.6,10.0,2.1,5.6,12.1,222,3.094,2.614,0.169,0.145,0.098,8.9,3.5
고막원천3,16.6,8.0,10.8,3.4,8.0,20.7,207,2.939,2.334,0.150,0.169,0.098,36.4,4.6
고막원천4,16.0,8.0,10.8,3.4,8.9,40.5,214,2.625,1.926,0.080,0.141,0.054,43.2,5.8
광주천1,16.9,6.5,8.5,4.1,6.0,5.6,306,7.108,4.500,1.116,0.069,0.055,6.8,3.2
광주천2,16.9,7.1,10.7,4.5,8.3,10.7,305,4.095,2.646,0.710,0.146,0.063,27.3,5.3
만봉천,16.5,7.7,12.2,2.0,6.5,10.3,256,2.206,1.706,0.063,0.119,0.071,10.4,4.5
문평천,16.1,7.1,11.5,1.3,4.7,7.2,189,2.908,2.559,0.034,0.043,0.018,7.1,3.1
삼포천1,15.6,7.0,8.5,4.9,10.1,49.0,375,7.012,0,0,0.200,0,0,6.7
삼포천2,17.5,7.3,9.1,3.4,10.6,96.1,484,3.791,2.604,0.357,0.191,0.058,21.4,7.1
영산천,18.2,7.5,11.3,2.5,7.4,23.4,304,5.705,4.557,0.491,0.197,0.135,9.9,5.0
영암천1,16.0,7.5,10.4,2.3,6.6,23.1,359,3.324,2.091,0.366,0.134,0.070,7.0,3.7
영암천2,17.7,7.5,10.4,2.7,8.0,44.8,733,2.692,1.900,0.179,0.113,0.032,17.0,5.6
장성천1,15.8,7.2,11.5,1.6,5.2,13.4,215,2.732,0,0,0.113,0,0,3.4
장성천2,16.9,7.5,11.1,4.1,9.0,16.9,280,3.938,2.371,0.624,0.308,0.233,11.0,6.0
지석천1,15.9,7.9,10.9,1.4,3.8,4.9,156,1.459,1.190,0.062,0.059,0.035,9.5,2.4
지석천2,16.3,7.4,10.2,2.3,5.6,6.7,235,3.196,0,0,0.127,0,0,3.8
지석천3,16.3,8.0,10.9,2.3,5.4,8.6,210,2.427,2.082,0.089,0.094,0.057,30.0,3.4
지석천4,16.1,7.5,11.8,2.6,6.8,11.3,252,3.164,2.554,0.083,0.109,0.054,28.6,4.4
평동천,15.9,7.2,10.4,3.4,8.5,21.1,312,4.920,3.719,0.440,0.259,0.172,8.3,5.9
풍영정천1,14.8,6.9,10.1,2.6,6.5,17.5,234,2.695,0,0,0.150,0,0,4.2
풍영정천2,16.2,7.1,10.9,3.7,7.7,13.8,274,2.606,1.749,0.245,0.138,0.059,20.3,5.5
함평천1,14.8,7.3,10.3,1.7,5.0,7.1,178,1.959,1.639,0.095,0.059,0.024,10.0,2.9
함평천2,16.1,7.6,10.3,2.6,6.4,21.7,200,1.722,1.297,0.087,0.116,0.050,24.5,3.4
함평천3,15.6,7.0,9.1,2.8,8.5,35.9,310,3.415,2.404,0.359,0.161,0.076,14.0,5.6
황룡강1,15.6,7.4,10.2,1.2,4.0,3.6,154,1.247,1.025,0.058,0.041,0.022,4.8,2.4
황룡강2,15.7,7.8,11.0,1.4,4.7,11.5,168,1.333,1.088,0.054,0.052,0.024,8.8,2.5
황룡강3,16.2,7.6,10.0,2.3,6.0,7.9,260,1.871,0,0,0.063,0,0,3.9
황룡강4,17.0,7.0,10.5,2.6,6.4,12.0,224,1.685,1.313,0.073,0.055,0.036,26.3,3.0
황룡강5,16.2,7.5,11.1,3.1,7.2,13.5,240,1.785,1.109,0.172,0.082,0.024,27.1,4.5
