 spot,Temperature,pH,DO,BOD,COD,SS,EC,TN,NO3N,NH3N,TP,PO4P,Chla,TOC
고막원천1,14.6,7.4,11.4,2.4,5.9,13.3,219,3.383,0,0,0.140,0,0,4.5
고막원천2,16.9,7.7,10.6,3.1,6.7,14.0,244,3.386,2.555,0.201,0.151,0.089,12.1,3.5
고막원천3,17.7,8.2,11.0,3.4,8.1,20.5,242,2.795,2.070,0.069,0.119,0.027,34.7,3.7
고막원천4,16.3,7.7,9.9,3.1,8.4,41.8,242,2.806,1.932,0.108,0.122,0.039,34.0,6.3
광주천1,15.6,7.5,10.4,1.1,3.6,3.0,257,2.364,2.054,0.070,0.062,0.055,6.0,3.3
광주천2,15.6,7.7,10.0,4.6,9.3,12.5,319,3.348,1.731,0.733,0.160,0.063,41.4,7.1
만봉천,16.4,7.4,11.4,2.3,7.5,12.3,273,2.551,1.674,0.182,0.196,0.123,9.5,6.0
문평천,15.3,7.3,10.5,1.5,5.2,7.0,211,2.918,2.151,0.050,0.051,0.021,6.9,4.0
삼포천1,15.8,7.2,8.6,6.2,11.9,46.6,403,7.507,0,0,0.366,0,0,8.7
삼포천2,16.9,7.3,9.3,4.3,11.6,62.3,439,3.377,2.059,0.312,0.174,0.031,34.1,8.6
영산천,16.9,7.3,10.5,3.9,9.5,24.3,318,6.332,4.065,1.317,0.294,0.190,10.5,7.5
영암천1,16.2,7.5,10.8,1.8,6.9,25.5,386,3.379,2.146,0.320,0.112,0.065,12.8,3.9
영암천2,17.2,7.4,10.5,3.3,8.9,25.8,530,2.590,1.553,0.229,0.098,0.023,30.5,6.7
장성천1,14.8,7.4,11.4,2.3,6.4,17.0,224,2.816,0,0,0.116,0,0,4.7
장성천2,16.0,7.3,10.7,3.9,8.9,19.9,273,3.552,2.054,0.551,0.254,0.153,19.2,6.8
지석천1,16.3,8.1,10.4,1.8,4.7,3.2,186,1.336,1.009,0.061,0.044,0.017,7.2,2.5
지석천2,16.1,7.6,10.1,2.2,6.0,6.0,262,2.972,0,0,0.124,0,0,4.9
지석천3,16.6,8.4,11.3,3.3,6.7,7.4,262,2.616,1.967,0.096,0.097,0.039,38.9,3.3
지석천4,15.2,7.5,10.7,2.2,6.9,11.2,288,3.591,2.782,0.069,0.151,0.091,21.1,5.5
평동천,15.5,7.5,10.4,3.1,8.4,30.4,280,4.122,2.882,0.366,0.233,0.122,8.7,6.6
풍영정천1,14.7,7.5,10.2,3.0,7.1,25.7,237,2.667,0,0,0.163,0,0,5.4
풍영정천2,15.3,7.5,10.6,3.0,7.6,20.7,260,2.294,1.460,0.147,0.134,0.047,17.9,5.9
함평천1,15.9,7.7,10.0,1.5,5.7,10.7,234,2.879,2.387,0.083,0.054,0.014,5.6,2.8
함평천2,16.6,7.9,9.5,2.5,7.6,18.1,283,2.015,1.429,0.091,0.102,0.044,13.7,3.6
함평천3,16.4,7.5,8.9,3.2,9.0,35.9,376,3.883,2.738,0.258,0.152,0.056,18.4,6.8
황룡강1,16.4,7.9,10.0,1.6,4.7,4.0,260,1.277,0.862,0.073,0.037,0.010,4.8,2.4
황룡강2,17.2,7.9,11.1,1.4,4.7,5.2,240,1.584,1.218,0.073,0.036,0.013,4.4,2.3
황룡강3,16.2,7.7,10.5,2.6,5.8,7.3,325,1.817,0,0,0.076,0,0,4.8
황룡강4,16.6,7.4,9.8,1.6,6.0,14.2,287,1.626,1.150,0.083,0.056,0.026,30.1,3.8
황룡강5,16.0,7.6,10.8,2.8,6.9,22.7,277,1.739,1.045,0.079,0.091,0.024,28.1,5.4
