 spot,Temperature,pH,DO,BOD,COD,SS,EC,TN,NO3N,NH3N,TP,PO4P,Chla,TOC
고막원천1,14.3,7.3,11.2,2.1,5.2,13.7,188,3.060,0,0,0.087,0,0,3.3
고막원천2,15.9,7.3,10.2,2.1,4.4,15.7,191,2.932,2.471,0.178,0.101,0.071,7.4,2.5
고막원천3,15.8,7.4,10.3,3.0,5.2,18.2,192,2.688,2.225,0.093,0.085,0.045,26.1,2.5
고막원천4,15.9,7.5,10.7,3.0,7.1,42.2,221,2.610,1.884,0.117,0.092,0.028,34.1,4.7
광주천1,17.5,7.3,10.1,5.1,5.7,5.3,372,7.728,4.028,2.577,0.089,0.026,5.8,3.2
광주천2,16.2,7.3,9.6,5.1,8.2,25.8,297,4.479,2.487,1.251,0.156,0.073,21.3,5.2
만봉천,15.3,7.3,10.7,2.7,7.1,19.0,208,2.446,1.713,0.136,0.101,0.048,11.1,4.6
문평천,15.1,7.1,10.7,2.1,4.8,16.1,235,3.837,3.224,0.140,0.068,0.031,11.6,3.1
삼포천1,15.3,7.3,8.6,4.9,9.8,47.0,348,4.255,0,0,0.235,0,0,6.6
삼포천2,16.2,7.4,9.6,4.1,11.3,108.2,362,2.963,1.778,0.262,0.167,0.040,35.1,6.7
영산천,15.4,7.5,11.0,7.0,13.2,37.5,313,7.916,4.134,2.228,0.378,0.235,17.1,8.3
영암천1,16.2,7.5,9.8,2.6,6.1,35.2,391,2.997,1.990,0.338,0.101,0.052,14.8,3.1
영암천2,16.3,7.6,9.9,2.7,7.8,40.2,424,2.883,1.877,0.219,0.109,0.030,24.5,5.1
장성천1,14.8,7.3,10.5,2.2,5.6,17.4,193,2.797,0,0,0.082,0,0,3.9
장성천2,15.5,7.4,10.1,4.3,8.4,20.2,241,3.782,2.206,0.702,0.181,0.126,13.2,5.5
지석천1,16.4,7.4,9.4,1.5,2.9,5.0,139,1.367,0.970,0.068,0.048,0.028,5.4,1.8
지석천2,16.5,7.6,11.1,2.8,5.5,15.3,219,2.571,0,0,0.103,0,42.8,3.6
지석천3,16.9,7.6,10.2,2.1,3.5,6.1,190,2.028,1.623,0.068,0.066,0.044,20.6,2.1
지석천4,16.0,7.6,10.7,2.5,5.6,12.4,219,2.793,2.013,0.087,0.074,0.038,15.7,3.7
평동천,15.2,7.4,10.3,3.5,7.8,46.0,241,3.813,2.710,0.384,0.166,0.090,10.8,5.2
풍영정천1,14.6,7.2,10.6,2.8,6.4,27.0,194,2.484,0,0,0.128,0,0,4.2
풍영정천2,15.8,7.5,11.3,3.5,6.8,30.8,232,2.452,1.412,0.444,0.111,0.050,10.4,4.4
함평천1,15.1,7.0,9.8,1.8,3.8,8.6,160,2.507,2.032,0.069,0.063,0.037,8.3,2.1
함평천2,15.6,7.2,8.5,4.4,6.3,23.2,219,3.401,1.693,1.193,0.167,0.134,14.7,2.7
함평천3,15.6,7.2,9.0,4.9,9.1,49.5,328,5.278,2.929,1.357,0.161,0.055,22.4,5.6
황룡강1,16.3,7.2,10.4,1.3,2.8,3.5,207,1.504,1.175,0.052,0.035,0.012,4.4,1.6
황룡강2,16.2,7.3,10.5,1.3,3.0,5.4,180,1.580,1.337,0.036,0.041,0.017,5.1,1.7
황룡강3,15.6,7.5,10.9,2.4,5.0,8.7,218,1.923,0,0,0.076,0,21.5,3.3
황룡강4,16.5,7.6,10.4,2.3,3.7,4.6,161,1.541,1.043,0.069,0.057,0.000,15.0,2.5
황룡강5,16.1,7.6,10.6,2.6,5.6,10.9,204,1.721,1.196,0.103,0.093,0.050,13.3,3.7
