site,yyyymm,pH,DO,BOD,COD,SS,T.N,T.P,TOC,Temp,EC,TC,DTN,NH3.N,NO3.N,DTP,PO4.P,Chl.a,FC,Rain
광주2-1,Mar-18,7,9.5,7,11.5,26.9,8.196,0.257,6.1,13.3,329,265250,7.764,5.222,1.448,0.121,0.107,41.1,52210,7.8
광주2-1,Apr-18,7.3,10.3,7.1,10.7,41.7,7.347,0.162,4.8,16.4,336,184000,7.112,4.216,1.451,0.077,0.051,47.5,54200,8.9
광주2-1,May-18,7.4,11.6,6.2,9.2,33.8,5.893,0.132,4.8,21.4,334,107000,5.383,3.525,1.125,0.062,0.043,61.8,39025,28.1
광주2-1,Mar-19,7.4,10,7.6,12,16.6,12.329,0.345,6.6,12.8,398,200550,10.789,7.752,1.453,0.194,0.164,60,35595,115.8
광주2-1,Apr-19,7.3,9.1,7,11.5,15.1,11.365,0.301,6.1,15.4,434,185920,10.666,7.563,1.439,0.192,0.132,16.7,66676,127.4
광주2-1,May-19,7.4,8.9,6.3,10.3,11.9,8.55,0.208,5.8,19.7,387,53350,8.113,5.852,1.049,0.137,0.115,12.6,19285,85.4
광산,Mar-17,7.5,14.8,6.8,12.4,16,8.267,0.121,8.8,11.1,428,5275,7.898,4.164,2.628,0.039,0.018,101.4,70,55.2
광산,Apr-17,6.8,10.5,7.3,11.7,9.9,6.152,0.159,8.7,16.6,369,2800,5.469,3.048,1.865,0.084,0.044,34.2,163,185
광산,May-17,7.2,8.6,5.9,12.6,11,7.44,0.133,9,21.6,445,220,7.196,3.606,2.267,0.069,0.038,35.2,81,104.5
광산,Mar-18,7.3,7.8,6,11.1,25.3,7.031,0.199,8.7,11.7,386,13450,6.549,4.46,1.53,0.074,0.034,41.9,3100,7.8
광산,Apr-18,7.4,8.2,5.7,10.9,47.7,6.849,0.203,8.2,16.6,364,59600,6.608,3.832,1.667,0.061,0.043,41.4,13833,8.9
광산,May-18,7.5,8.3,6.2,10.7,36.6,4.675,0.183,8.1,21.5,306,78500,4.447,2.27,1.205,0.079,0.048,47.7,20125,28.1
광산,Mar-19,7.8,10.4,6,12.5,12.2,8.271,0.194,9,12,454,22600,8.2,5.145,2.648,0.079,0.027,66.7,1783,115.8
광산,Apr-19,8.3,9,6,12.9,29.8,6.569,0.358,9.1,15.3,374,78900,6.214,3.919,1.851,0.159,0.098,44.2,14434,127.4
광산,May-19,7.6,8.1,4.8,10.3,13.3,5.09,0.197,7.7,20.6,349,63025,4.959,2.642,1.92,0.078,0.045,49.6,19518,85.4
나주,Mar-17,8.2,10.4,7.1,10,12.7,6.833,0.122,7.4,10.2,401,715,6.404,2.948,2.548,0.03,0.01,99.1,190,63.29
나주,Apr-17,7.9,11.7,7.1,10.2,9.4,5.17,0.149,7.5,18.3,293,225,4.748,1.971,1.983,0.069,0.034,92.7,27,194.09
나주,May-17,7.8,12,7.1,13.5,11.9,6.118,0.137,8.6,23.2,417,146,5.724,2.333,2.262,0.076,0.053,57.5,34,111.87
나주,Mar-18,7.4,12,5.9,10.7,25.5,5.919,0.193,7.7,11.2,342,8200,5.709,2.933,1.896,0.087,0.05,59.4,1060,6.95
