site,yyyymm,pH,DO,BOD,COD,SS,T.N,T.P,TOC,Temp,EC,TC,DTN,NH3.N,NO3.N,DTP,PO4.P,Chl.a,FC,Rain
우치,Apr-17,8.5,11.4,5.9,11,18.1,1.422,0.109,7.8,15.9,329,8188,0.963,0.024,0.642,0.024,0.006,110.6,150,185.56
우치,May-17,7.8,10.9,5.8,13.4,21.2,1.626,0.138,9.1,20.6,364,610,1.282,0.124,0.471,0.034,0.01,71.4,56,105.54
우치,Jun-17,6.9,7.3,3.9,12.7,12.9,2.142,0.121,9.5,23.7,332,1158,2.047,0.286,0.919,0.058,0.026,32,285,106.73
우치,Jul-17,7.3,6.6,2.3,8.4,10.3,1.971,0.118,6.2,26.9,225,7050,1.907,0.162,1.289,0.072,0.047,14.1,1378,287.76
우치,Aug-17,7.3,7.5,2.5,7.1,21.5,1.404,0.112,5.3,26.5,183,15600,1.365,0.091,0.953,0.076,0.064,20.4,2218,86.27
우치,Sep-17,7.2,8.4,1.7,5.8,6.7,1.412,0.08,4.5,22.4,221,5300,1.384,0.038,0.977,0.054,0.041,10.7,1438,243.14
우치,Oct-17,7.8,11.6,1.6,5.5,3.7,1.813,0.071,4.2,17.2,346,2500,1.802,0.092,1.277,0.045,0.03,17.9,275,207.29
우치,Nov-17,7.9,11.9,4.1,7.3,9.9,1.917,0.07,6,8.8,493,895,1.722,0.192,1.106,0.02,0.006,77.5,73,32.43
우치,Dec-17,7.4,12.7,3.3,5.9,7.5,2.72,0.067,5,4.2,363,2075,2.606,0.269,2.049,0.018,0.005,49.1,558,45.34
우치,Jan-18,8,12.1,2.9,5.6,6.7,2.627,0.072,4.5,3.3,328,7000,2.487,0.246,1.844,0.027,0.012,34.1,574,13.64
우치,Feb-18,8.2,9.5,3.2,5.8,7.7,2.659,0.095,4.5,4,440,1068,2.564,0.075,1.887,0.033,0.012,46.8,361,43.76
우치,Mar-18,7.2,10.7,3.5,7.4,15.6,2.59,0.108,5.5,11,261,11450,2.482,0.202,1.681,0.051,0.028,34.2,1195,7.99
우치,Apr-18,7.6,9.8,2.5,6.6,9.2,2.231,0.094,5,15.6,272,4640,1.849,0.064,1.265,0.04,0.023,35.7,380,9.05
우치,May-18,7.4,9.2,2.7,7.2,11.6,2.233,0.131,5.9,20.2,253,6525,2.166,0.252,1.316,0.086,0.058,15.9,433,37.53
우치,Jun-18,7.1,6.9,2.9,10.8,8.7,1.858,0.115,8.5,24.7,255,2650,1.825,0.12,0.81,0.079,0.05,13.9,278,38.62
우치,Jul-18,7.5,8,3.6,9.6,13.8,1.626,0.125,6.8,27.3,276,5040,1.557,0.039,0.85,0.089,0.074,29.7,1000,217.9
우치,Aug-18,7.2,7.4,2.5,8.4,9.4,1.399,0.112,6.4,26.9,305,7125,1.358,0.028,0.83,0.077,0.05,17.8,1138,261.09
우치,Sep-18,7.5,9.7,2.1,5.3,7.4,1.922,0.082,4.5,23.1,182,8875,1.893,0.031,1.032,0.05,0.036,18.5,1570,109.23
우치,Oct-18,8,11.3,2,5.8,5.6,1.969,0.078,5.3,16.2,272,8820,1.926,0.032,1.503,0.045,0.03,13.8,1136,79.99
우치,Nov-18,7.5,10.4,1.8,5.8,5.5,2.035,0.088,5.8,11.2,305,5075,1.99,0.013,1.539,0.047,0.038,18.1,310,3.01
우치,Dec-18,7.7,13,1.8,4.3,4.5,2.509,0.071,4.9,5.9,319,4400,2.463,0.078,2.044,0.044,0.034,18.5,1098,30.54
우치,Jan-19,7.9,12.5,1.7,4.3,4.6,2.71,0.073,4.3,3.4,383,523,2.642,0.092,2.166,0.036,0.014,16.6,178,39.2
우치,Feb-19,7.9,13.1,2.8,6.6,8.5,2.502,0.1,5.6,4.7,333,1225,2.414,0.13,1.879,0.037,0.028,41.1,190,24.71
우치,Mar-19,8.4,12.5,4.4,9,17,1.753,0.17,7.3,9.5,337,2550,1.542,0.036,0.971,0.039,0.014,77,346,113.55
우치,Apr-19,8.2,10.6,4.3,9.5,13.5,1.404,0.161,7,15.1,315,2908,1.23,0.165,0.635,0.052,0.02,52.8,743,126.33
우치,May-19,8,8.2,3.7,8.9,16.3,1.501,0.156,6.9,19.7,278,7875,1.406,0.272,0.624,0.066,0.041,40.6,722,85.52
우치,Jun-19,6.9,8.6,3.5,9.8,10.5,1.82,0.144,7.9,23.2,252,2900,1.762,0.177,0.834,0.073,0.053,17,941,212.38
우치,Jul-19,7.2,7.7,2.6,7.5,10.5,1.856,0.102,6.5,25.5,216,17900,1.807,0.103,1.14,0.07,0.064,9.2,3196,93.1
우치,Aug-19,7,7.8,2.6,7.9,6.7,1.13,0.089,7,27.1,219,11975,1.016,0.039,0.648,0.051,0.04,20.6,1813,382.73
우치,Sep-19,7.2,8.2,1.6,5.7,4.2,1.729,0.077,4.4,23.2,236,9880,1.666,0.037,1.271,0.06,0.057,6.5,3226,125.67
우치,Oct-19,7.6,10.3,1.3,4.6,4.1,1.968,0.048,3.3,16.8,252,8325,1.944,0.031,1.658,0.033,0.024,10.1,2930,128.67
우치,Nov-19,7.8,9.6,3.4,7,11.4,1.974,0.077,6.5,12.6,318,6865,1.847,0.05,1.442,0.037,0.026,50.2,2230,46.06
우치,Dec-19,7.9,11.9,2.9,5.1,6,2.557,0.055,4.9,5.9,344,4600,2.49,0.077,2.116,0.034,0.025,28,1008,32.72
광주1,Jan-17,8,14.2,2.8,4.9,7.8,2.876,0.078,2.8,4.7,336,9450,2.706,0.255,1.754,0.05,0.039,9.2,2525,51.16
광주1,Feb-17,7.9,13.3,3.6,5.9,13.3,2.727,0.077,3.7,5.7,321,8640,2.56,0.168,1.592,0.035,0.018,22.8,2456,43.52
광주1,Mar-17,8.2,12.8,5.7,9.4,20.9,1.926,0.106,5.5,9.8,282,17300,1.713,0.087,0.845,0.05,0.036,120.6,1200,58.43
광주1,Apr-17,8.3,10.1,8.1,12.4,28.3,1.799,0.152,6.7,16.7,276,33500,1.366,0.172,0.425,0.071,0.046,117.7,8610,185.56
광주1,May-17,8,11.5,4.8,11.3,20.1,1.591,0.123,6.9,20.9,311,16725,1.494,0.283,0.315,0.073,0.038,32.8,748,105.54
광주1,Jun-17,8.1,10.4,5,12.3,19.1,2.192,0.102,6.9,24.3,245,30750,1.991,0.266,0.685,0.057,0.029,53.7,5750,106.73
광주1,Jul-17,7.9,6.9,3.1,9.1,13.7,2.301,0.156,5.1,27.3,217,70750,2.113,0.378,0.881,0.119,0.095,14.2,29465,287.76
광주1,Aug-17,7.7,7.9,2.9,8.4,30.7,1.697,0.138,4.4,27.3,161,266500,1.54,0.237,0.738,0.098,0.081,24.1,208250,86.27
광주1,Sep-17,8,9.3,1.9,6.7,15.3,1.082,0.079,3.8,24.4,188,25550,0.978,0.043,0.508,0.053,0.04,37.4,8435,243.14
광주1,Oct-17,8.3,10.5,3,6.2,7.8,1.412,0.067,3.3,19,281,8000,1.253,0.049,0.685,0.035,0.022,46.3,3725,207.29
광주1,Nov-17,8.2,13.5,4.6,7.5,9.3,2.115,0.103,4.1,11.2,339,36650,1.947,0.402,0.878,0.04,0.018,58.2,19525,32.43
광주1,Dec-17,7.9,13.4,4.1,7.4,8.4,2.832,0.11,4.4,5.2,376,62750,2.555,0.227,1.711,0.039,0.018,43.1,12425,45.34
광주1,Jan-18,7.9,14.8,4.6,7.3,10.7,2.902,0.092,3.8,4.7,355,71250,2.627,0.174,1.587,0.033,0.012,53.8,8600,13.64
광주1,Feb-18,8.2,11.2,3.6,7.4,9.3,2.453,0.073,3.6,4.3,354,16450,2.294,0.129,1.429,0.036,0.013,40.2,988,43.76
광주1,Mar-18,7.4,11.6,3.6,8.5,19.8,2.838,0.122,4.8,12,263,65250,2.684,0.329,1.589,0.052,0.03,49.9,5203,7.99
광주1,Apr-18,7.9,10.9,3.5,8.1,21.7,2.285,0.115,4.2,15.9,229,40500,2.063,0.126,1.145,0.057,0.032,55.6,9900,9.05
광주1,May-18,7.9,10.4,3.5,8.8,31.6,2.297,0.124,5.1,21.2,215,90000,2.218,0.191,1.017,0.078,0.059,51,1898,37.53
광주1,Jun-18,7.8,9.3,3.2,10.2,22.2,1.731,0.105,5.8,25.6,251,14400,1.602,0.118,0.563,0.05,0.027,66,1313,38.62
광주1,Jul-18,7.7,10.3,2.7,9.1,31,1.676,0.139,4.5,26.8,182,13850,1.547,0.067,0.807,0.09,0.073,55.9,3132,217.9
광주1,Aug-18,8,8.8,2.6,7.9,17,1.054,0.14,4.4,28.7,176,7000,0.928,0.047,0.425,0.103,0.078,47.4,6125,261.09
광주1,Sep-18,7.8,8.9,0.8,4.8,7.3,1.855,0.101,2.9,24.7,175,7800,1.816,0.061,1.185,0.071,0.05,35.9,2417,109.23
광주1,Oct-18,8,12.4,2.8,6,9.6,1.893,0.1,3.6,17.7,283,11720,1.783,0.082,1.048,0.064,0.032,42.7,3380,79.99
광주1,Nov-18,7.9,15,3.3,6.1,9.4,1.993,0.104,3.8,11.3,289,22875,1.87,0.078,1.134,0.05,0.02,47.5,3020,3.01
광주1,Dec-18,7.8,9.7,2.9,5.3,6.8,2.922,0.102,3,6.6,294,33175,2.673,0.191,1.659,0.059,0.038,29.1,3538,30.54
광주1,Jan-19,7.6,14.4,3,5.6,5.5,2.539,0.086,3.2,4.6,304,7800,2.334,0.1,1.646,0.04,0.021,28,1485,39.2
광주1,Feb-19,7.5,12.8,4.1,8.8,12.3,2.396,0.116,3.6,5.9,288,7800,2.283,0.087,1.46,0.04,0.012,57.7,550,24.71
광주1,Mar-19,8,12.6,6.1,10,20.7,2.158,0.145,5.4,8.8,256,30200,1.782,0.247,0.832,0.044,0.024,95.3,2410,113.55
광주1,Apr-19,8.1,10.8,6.1,10.6,17,2.63,0.153,5.5,15.2,275,83732,2.289,0.606,0.812,0.077,0.022,52.9,3567,126.33
광주1,May-19,8.3,10.8,4.7,10.5,23.7,1.827,0.144,5.5,19.6,240,8775,1.577,0.285,0.503,0.071,0.031,32,2975,85.52
광주1,Jun-19,7.8,8.4,3.3,10.3,13.3,2.04,0.095,6,23.6,207,13495,1.957,0.169,0.792,0.068,0.04,31.3,2265,212.38
광주1,Jul-19,7.9,9.6,2.6,9.2,16.5,2.075,0.12,5.2,24.4,196,23525,1.964,0.187,0.955,0.083,0.062,23.7,3400,93.1
광주1,Aug-19,8.3,9,2.9,8.8,31.2,1.685,0.144,5.5,27.5,188,106875,1.6,0.115,0.784,0.104,0.082,26.3,76490,382.73
광주1,Sep-19,7.8,9.4,1.2,6.7,5.9,1.805,0.117,3.6,23.8,202,13000,1.707,0.077,1.126,0.094,0.071,12,3120,125.67
광주1,Oct-19,8,12.7,1.6,5.6,7.2,2.095,0.078,3.3,18.8,209,12550,1.921,0.065,1.594,0.049,0.037,18.9,3005,128.67
광주1,Nov-19,7.9,11.2,2.9,8.5,18.3,2.508,0.118,4.3,13.3,256,170175,2.33,0.414,1.405,0.058,0.046,17.3,23885,46.06
광주1,Dec-19,8.5,17.7,5.9,9.5,22.5,2.439,0.133,4.3,6.5,305,17120,2.17,0.113,1.417,0.045,0.022,100.1,3041,32.72
광주2,Jan-17,7.6,12.4,4,7.1,5.1,9.673,0.14,4,8.1,468,40200,9.112,4.036,3.298,0.084,0.068,10.8,6250,49.9
광주2,Feb-17,7.5,11.9,4.5,7.8,7.9,11.091,0.164,5.2,9,443,109800,10.433,6.001,2.5,0.079,0.06,18,23280,45.2
광주2,Mar-17,7.6,11.5,6.9,10.9,14.4,9.863,0.197,6.3,12.6,458,30750,9.535,6.093,1.845,0.078,0.032,71.4,4595,55.2
광주2,Apr-17,7.6,10.3,7.1,11.6,17.2,7.39,0.115,6.4,17.8,379,82250,7.052,3.024,2.528,0.059,0.027,71.2,7925,185
광주2,May-17,7.6,9.6,4.9,11.1,11.7,10.628,0.153,6.9,22.2,494,38750,9.161,5.755,2.289,0.079,0.047,22.3,3825,104.5
광주2,Jun-17,7.9,11.5,7.6,13.6,17.7,7.221,0.113,7.4,24.7,352,42325,6.485,3.318,1.735,0.054,0.022,67.4,8450,116.1
광주2,Jul-17,7.6,7.1,5.3,9.6,14.1,4.371,0.175,5.2,27.1,269,78000,4.249,1.908,1.375,0.119,0.099,15.1,40250,301.4
광주2,Aug-17,7.5,8.1,4.5,9.6,30.3,5.23,0.223,4.9,27,210,263500,4.98,2.715,1.265,0.168,0.149,21.8,221750,81
광주2,Sep-17,7.3,7.5,3.7,7.5,13.6,5.886,0.128,4.1,24.3,361,144000,5.5,2.389,2.166,0.089,0.067,23.4,80350,251.3
광주2,Oct-17,7.4,9,4.7,7.5,7.2,6.957,0.094,3.8,20.5,414,31350,6.662,3.205,2.39,0.049,0.034,33.9,21775,216.7
광주2,Nov-17,7.5,10.9,5.4,8.7,8.3,8.074,0.089,5.3,13.8,479,4875,7.708,3.185,3.202,0.029,0.006,53.9,2440,31.5
광주2,Dec-17,7.7,12.3,8,10.2,16.9,7.947,0.119,5.7,8.2,512,56575,7.499,4.105,2.064,0.032,0.007,68.1,26600,44.9
광주2,Jan-18,7.5,13,7.3,10.5,18.3,10.486,0.136,5.5,8.4,485,95750,9.683,5.766,1.937,0.056,0.034,64,44950,11.7
광주2,Feb-18,7.8,13.7,5.9,10,11.2,11.501,0.106,5.6,9,448,69500,11.153,8.594,1.646,0.043,0.021,50.6,27585,41.9
광주2,Mar-18,7.2,11.3,8,12,25.7,8.14,0.191,6.1,13.3,337,290750,7.526,5.037,1.478,0.099,0.079,50.3,104635,7.8
광주2,Apr-18,7.5,10.8,7.4,9.9,22.1,7.026,0.166,4.8,16.5,326,230500,6.602,3.789,1.369,0.097,0.09,45.3,61650,8.9
광주2,May-18,7.7,11.1,9.1,9.8,22.7,5.548,0.236,5.4,21.2,309,64750,5.24,3.31,0.997,0.159,0.136,66.6,3225,28.1
광주2,Jun-18,7.3,9.8,5,9.7,14.7,5.33,0.114,5.6,25.8,303,11800,5.135,3.187,0.799,0.062,0.038,47.1,3300,42.1
광주2,Jul-18,7.3,8.2,8,10.2,21,6.915,0.208,4.8,26.8,321,243000,6.645,4.75,0.872,0.148,0.133,31.3,83251,211.7
광주2,Aug-18,7.6,8.8,6.6,10.2,18.3,7.542,0.187,5.3,29.3,357,146300,7.281,5.504,0.948,0.144,0.11,38.7,53150,273.8
광주2,Sep-18,7.3,7.8,4.1,6.2,10.4,5.072,0.166,3.6,24.7,262,54000,5.029,2.862,1.188,0.118,0.095,28.1,18267,108.8
광주2,Oct-18,7.4,11.4,5.1,7.1,9.8,7.143,0.192,4.2,18.9,393,26920,7.038,3.638,1.813,0.144,0.11,35.2,12300,85.4
