site,yyyymm,pH,DO,BOD,COD,SS,T.N,T.P,TOC,Temp,EC,TC,DTN,NH3.N,NO3.N,DTP,PO4.P,Chl.a,FC,Rain
광주2-1,2017/08,7.6,7.4,5.3,8,25.8,4.591,0.216,4.8,28.1,211,392500,4.24,2.064,1.127,0.156,0.134,45.9,294500,81.00 
광주2-1,2018/06,7.3,11.5,4.5,10,26.2,7.381,0.153,5.7,25.7,342,17700,7.129,4.754,0.989,0.074,0.053,52.7,4300,42.10 
광주2-1,2018/07,7.1,9,5.6,9.3,24.9,7.084,0.172,5.2,26.5,320,53250,6.919,4.855,0.977,0.106,0.091,41.7,26506,211.70 
광주2-1,2018/08,7.6,9.9,5.6,10.2,23.1,7.556,0.181,5.2,29.1,351,102000,7.201,5.148,1.004,0.133,0.094,59.4,54650,273.80 
광주2-1,2019/06,7.5,8.4,7,11.7,11.7,9.042,0.243,6.4,23.6,377,62650,8.266,5.68,0.662,0.159,0.112,22.6,29350,222.40 
광주2-1,2019/07,7.1,7,5.8,9.7,16.6,6.302,0.175,5.1,25.1,264,154600,5.895,3.53,0.976,0.13,0.111,17.6,40450,84.50 
광주2-1,2019/08,7.2,7.4,5.3,8.7,13.7,6.871,0.137,5.5,27.4,321,82190,6.629,3.824,1.059,0.091,0.066,32.6,58160,397.10 
광산,2017/06,7.1,8,6.9,14.1,13.7,4.55,0.106,10.3,24.1,351,100,4.304,1.528,1.832,0.039,0.006,55.3,52,116.10 
광산,2017/07,6.4,4.6,3.9,9.1,10.3,3.847,0.176,7.4,27.2,274,9775,3.699,1.711,1.475,0.123,0.101,20.5,2865,301.40 
광산,2017/08,6.6,3.3,3.8,8.8,13.7,4.244,0.181,6.8,27.5,262,23500,4.157,2.362,1.256,0.121,0.104,13.9,11600,81.00 
광산,2018/06,7.6,7.7,6.6,11.6,24.4,5.959,0.128,8.9,26,382,7450,5.763,3.329,1.406,0.054,0.026,50,1975,42.10 
광산,2018/07,8,9.2,7,12.5,43.6,5.545,0.214,9,28.7,323,67760,5.254,2.853,1.805,0.111,0.096,70.5,14806,211.70 
광산,2018/08,8,9.7,6.7,12.9,23.2,5.043,0.227,8.9,29.5,343,32800,4.826,2.788,1.369,0.125,0.09,80.1,10315,273.80 
광산,2019/06,7.9,6.5,6.4,13.5,14.3,4.433,0.2,9.2,24.4,325,19025,4.37,2.53,1.713,0.069,0.037,63.8,2370,222.40 
광산,2019/07,7.7,5.7,4.1,10.2,14.9,4.12,0.163,9.3,26.1,257,54880,4.002,1.928,1.657,0.093,0.079,29.9,25288,84.50 
광산,2019/08,7.6,7.6,4,10,19.7,3.918,0.181,8.6,28.1,273,54900,3.744,1.575,1.959,0.09,0.063,52.4,23030,397.10 
나주,2017/06,7.9,11.3,7.6,15.1,14.1,4.408,0.105,10.9,25.5,368,77,4.09,1.263,1.849,0.041,0.018,67.3,14,122.81 
나주,2017/07,7.5,6.8,3.9,9.1,12.2,2.964,0.165,6.7,27,194,10805,2.944,0.959,1.476,0.115,0.098,21.8,1182,277.39 
나주,2017/08,7.4,8.2,3.3,8.4,12.7,3.362,0.147,6.2,28.5,250,22956,3.265,1.427,1.351,0.099,0.084,40.5,6676,70.98 
나주,2018/06,8,10.9,8.1,15.3,16.8,4.245,0.125,10,26.6,357,311,3.871,1.3,1.556,0.046,0.024,124.8,162,91.80 
나주,2018/07,7.7,8.8,7.3,12.4,16,4.454,0.156,8.2,29.9,341,2553,4.182,1.672,1.241,0.081,0.056,94.2,900,181.31 
나주,2018/08,7.9,10.7,6.4,13.2,33.8,3.563,0.181,8.9,29.2,283,17527,3.432,1.264,1.175,0.103,0.063,61.4,4203,269.74 
나주,2019/06,7.5,8.1,5.9,12.5,14.6,3.317,0.15,8.1,23.3,307,4570,3.193,1.516,1.608,0.051,0.025,70.8,640,218.99 
나주,2019/07,7.4,8.2,3.5,8.3,12.8,2.78,0.124,6.4,25.5,202,18558,2.628,0.751,1.53,0.071,0.067,24.7,4980,84.34 
나주,2019/08,7.6,8.4,3.8,13.1,31,3.215,0.16,9.5,26.6,284,33395,3.036,1.074,1.687,0.075,0.056,63.6,5800,368.08 
영산포,2017/06,8.3,12.4,5.8,15.8,31.9,4.768,0.125,7,26,336,1560,4.265,1.293,1.568,0.059,0.025,60.7,380,122.81 
영산포,2017/07,7.9,7.7,4.1,10.6,12.6,3.857,0.186,5.7,28.4,228,3470,3.554,1.285,1.25,0.13,0.106,64.2,1170,277.39 
영산포,2017/08,8.2,9.5,5.2,9.8,23.5,3.293,0.172,4.9,29,232,12600,2.904,1.142,0.979,0.101,0.083,77.1,9458,70.98 
영산포,2018/06,7.7,12.4,5.7,11.9,21,4.233,0.153,5,26.7,288,1259,3.935,1.245,1.28,0.071,0.042,68.5,38,91.80 
영산포,2018/07,7.8,10.2,6.4,11.6,38.7,3.507,0.231,5.7,28.5,237,5804,3.236,0.677,1.352,0.092,0.071,134.5,1958,181.31 
영산포,2018/08,7.6,7.6,3.3,10.6,30.9,3.16,0.191,5.1,29.2,238,3915,3.069,1.167,1.043,0.138,0.106,63.7,2243,269.74 
영산포,2019/06,8.6,12.1,5.2,13.2,15,3.695,0.122,6.7,25.5,233,197,3.375,1.014,1.09,0.063,0.029,40.7,32,218.99 
영산포,2019/07,7.7,9.2,4.7,11.5,21,3.051,0.226,7.1,25.7,190,5566,2.612,0.541,1.171,0.119,0.091,27.4,2098,84.34 
영산포,2019/08,8.1,9.7,4.6,9.7,19.3,3.027,0.15,6.4,29.3,198,344,2.913,0.53,1.233,0.103,0.075,27.9,133,368.08 
죽산,2017/06,7.4,8.3,5.9,14.8,12.9,3.992,0.079,10.4,24.2,374,6,3.686,1.02,1.777,0.035,0.007,34,1,122.81 
죽산,2017/07,6.7,5.5,3.1,8.9,11.6,3.294,0.145,7,27.1,251,386,3.188,1.163,1.576,0.1,0.079,14.4,143,277.39 
죽산,2017/08,7,7.3,4.3,10.2,16.3,2.368,0.134,7.6,27.8,203,23002,2.212,0.517,1.203,0.082,0.065,21,1197,70.98 
죽산,2018/06,7.9,5.1,4,11.8,10.4,3.897,0.085,8.6,25.4,339,9,3.78,1.318,1.337,0.053,0.023,26.2,4,91.80 
죽산,2018/07,8.3,7,5.3,10.9,22.9,2.975,0.125,7.7,28.4,264,5810,2.847,0.515,1.35,0.085,0.066,41.9,1262,181.31 
죽산,2018/08,7.7,6.1,3.9,12,29.9,2.8,0.188,8.3,28.9,275,15050,2.754,0.991,1.147,0.121,0.082,30.3,1983,269.74 
죽산,2019/06,8,8,6.3,13.3,19.9,2.811,0.132,9.1,23.8,271,188,2.732,1.181,1.333,0.046,0.017,59,24,218.99 
죽산,2019/07,7.8,6.2,3.8,9.4,21.1,2.46,0.118,8.5,24.9,178,6486,2.353,0.421,1.456,0.058,0.053,25.5,1867,84.34 
죽산,2019/08,7.9,7.9,3.7,9.7,23.7,2.128,0.142,8.7,28.8,206,7725,2.001,0.347,1.355,0.076,0.065,53.7,2165,368.08 
영산포-1,2017/06,7.4,6.8,5.2,14.2,20.1,3.892,0.092,10.2,24,386,300,3.677,1.182,1.702,0.032,0.005,56.1,100,122.55
영산포-1,2017/07,7,5.2,4.3,8.8,17.1,3.168,0.135,7.3,27.3,252,600,3.073,1.111,1.556,0.088,0.064,20.8,100,282.17
영산포-1,2017/08,7.3,6.7,4.4,8.6,22.8,3.01,0.159,6.3,27.5,220,1000,2.787,0.914,1.358,0.081,0.07,32.5,50,58.68
영산포-1,2018/06,7.8,5,4.6,12.2,14.4,3.717,0.097,9.1,25.7,338,300,3.555,1.135,1.37,0.055,0.032,44.2,2,37.09
영산포-1,2018/07,8,5.9,4.9,9.4,19,3.009,0.116,6.7,27.5,233,4000,2.907,0.459,1.796,0.076,0.043,41.3,1900,184.63
영산포-1,2018/08,7.9,6.1,4.5,12.4,16.4,2.745,0.154,8.9,30.5,304,400,2.631,0.804,1.176,0.114,0.07,48.2,5,246.91
영산포-1,2019/06,8.2,7.8,4.6,11.1,20.7,2.939,0.112,8.8,24.2,268,65,2.778,0.995,1.607,0.044,0.018,51.7,12,200.15
영산포-1,2019/07,7.9,9.5,3.7,8.9,16.8,2.494,0.116,8.1,26,181,3400,2.354,0.38,1.354,0.061,0.05,30.8,1200,78.28
영산포-1,2019/08,7.8,7.5,3.4,8.5,15.7,2.069,0.113,8.1,28.8,205,540,1.942,0.499,1.234,0.068,0.061,45.8,2,341.52
함평,2017/06,7.2,7.7,3.9,12.5,26.7,3.847,0.096,8.9,23.9,373,300,3.534,0.97,1.729,0.041,0.011,32.3,4,122.55 
함평,2017/07,6.8,5.1,4,9.5,29.6,3.315,0.13,7.3,27.4,273,400,3.231,1.039,1.788,0.077,0.057,15.7,200,282.17 
함평,2017/08,7,5.6,3.8,7.9,22.2,3.117,0.148,6.2,27.6,234,100,3.057,0.99,1.415,0.081,0.072,20.8,50,58.68 
함평,2018/06,7.9,6.2,4.3,11.9,15.9,3.163,0.085,9,25.4,323,100,3.025,0.776,1.199,0.043,0.021,32.5,1,37.09 
함평,2018/07,8.4,8.2,4.7,10.5,27.2,2.531,0.118,7.1,28,214,20000,2.087,0.235,1.232,0.064,0.035,37.8,1100,184.63 
함평,2018/08,8.4,7.7,5.2,14.5,26.7,2.4,0.168,9.7,30.8,344,100,2.148,0.503,0.883,0.09,0.056,40.4,30,246.91 
함평,2019/06,8.2,6.1,4.7,11.2,19.1,2.979,0.117,8.1,23.8,275,55,2.827,1.019,1.594,0.045,0.023,40.9,20,200.15 
