NH3_N
0.151
0.145
0.077
0.158
0.306
0.323
0.074
0.063
0.062
0.126
0.304
0.183
0.236
0.248
0.181
0.14
0.121
0.249
0.089
0.071
0.162
0.076
0.06
0.077
0.224
0.222
0.062
0.024
0.124
0.286
0.162
0.091
0.038
0.092
0.192
0.269
0.246
0.075
0.202
0.064
0.252
0.12
0.039
0.028
0.031
0.032
0.013
0.078
0.092
0.13
0.036
0.165
0.272
0.177
0.103
0.039
0.037
0.031
0.05
0.077
0.275
0.299
0.296
0.392
0.198
0.427
0.191
0.269
0.045
0.047
0.17
0.185
0.198
0.246
0.223
0.102
0.061
0.188
0.127
0.074
0.078
0.128
0.057
0.312
0.255
0.168
0.087
0.172
0.283
0.266
0.378
0.237
0.043
0.049
0.402
0.227
0.174
0.129
0.329
0.126
0.191
0.118
0.067
0.047
0.061
0.082
0.078
0.191
0.1
0.087
0.247
0.606
0.285
0.169
0.187
0.115
0.077
0.065
0.414
0.113
4.182
5.869
6.915
4.006
3.373
2.969
1.219
2.118
1.372
1.86
1.743
1.505
2.403
3.088
3.339
2.19
1.77
2.91
1.588
2.185
1.672
1.158
2.517
2.823
4.036
6.001
6.093
3.024
5.755
3.318
1.908
2.715
2.389
3.205
3.185
4.105
5.766
8.594
5.037
3.789
3.31
3.187
4.75
5.504
2.862
3.638
6.539
5.954
6.281
8.402
7.551
6.071
5.367
3.942
2.642
3.341
2.948
2.249
5.656
3.474
4.415
6.85
6.249
5.049
3.186
3.493
2.853
1.874
1.573
1.882
2.275
1.961
3.414
2.485
3.352
1.887
2.084
2.346
1.774
1.473
1.563
2.383
3.849
3.439
3.477
6.22
7.117
4.256
4.971
3.81
2.923
2.064
1.734
2.235
3.908
5.974
5.629
9.924
5.222
4.216
3.525
4.754
4.855
5.148
1.887
3.738
5.302
5.465
5.488
7.307
7.752
7.563
5.852
5.68
3.53
3.824
3.518
2.819
4.589
4.343
3.178
4.068
4.521
2.966
2.582
1.874
0.953
1.283
1.428
1.064
1.801
1.234
1.672
1.762
1.311
0.889
1.309
1.365
1.072
1.669
1.076
0.807
1.577
1.738
1.892
3.512
4.164
3.048
3.606
1.528
1.711
2.362
0.858
1.926
2.229
3.507
5.352
8.907
4.46
3.832
2.27
3.329
2.853
2.788
2.516
2.397
2.488
2.556
3.972
3.777
5.145
3.919
2.642
2.53
1.928
1.575
1.138
1.075
2.714
2.998
2.11
2.936
2.744
2.464
1.226
1.602
0.712
0.842
0.54
0.561
1.242
1.055
0.824
1.267
0.852
0.594
0.414
1.05
0.501
0.63
0.586
0.525
1.033
1.319
1.166
2.049
2.948
1.971
2.333
1.263
0.959
1.427
0.46
1.08
1.439
3.026
3.091
6.366
2.933
2.179
1.383
1.3
1.672
1.264
0.576
0.755
1.756
1.513
2.345
2.569
2.738
2.896
1.938
1.516
0.751
1.074
0.811
0.551
1.583
2.046
1.901
2.553
2.783
2.15
1.013
1.412
0.764
0.536
0.491
0.509
1.233
0.869
0.672
1.315
0.899
1.091
0.326
0.913
0.185
0.451
0.555
0.562
0.778
1.172
0.819
1.707
2.112
2.079
1.613
1.293
1.285
1.142
0.312
0.582
1.108
2.014
2.905
5.143
3.393
1.958
1.492
1.245
0.677
1.167
0.412
0.413
0.726
0.972
1.972
1.705
2.693
1.977
1.961
1.014
0.541
0.53
0.363
0.39
1.118
2.181
1.648
2.221
2.593
2.079
1.062
1.412
0.57
0.647
0.459
0.52
0.956
0.84
0.418
0.946
0.887
0.885
0.445
1.157
0.475
0.785
0.672
0.622
0.622
0.974
0.777
1.212
1.932
2.329
1.515
1.02
1.163
0.517
0.12
0.677
1.147
1.854
2.66
4.539
3.478
1.629
1.546
1.318
0.515
0.991
0.256
0.206
0.88
1.429
1.775
2.299
2.755
2.08
2.154
1.181
0.421
0.347
0.339
0.181
0.597
1.843
1.457
1.809
2.214
1.872
0.854
1.261
0.497
0.729
0.347
0.409
0.673
0.861
0.3
1.062
0.678
0.735
0.259
0.985
0.323
0.576
0.444
0.502
0.538
0.843
0.724
0.809
1.943
2.073
1.112
1.182
1.111
0.914
0.176
0.545
0.998
1.297
2.274
4.195
4.24
1.529
1.658
1.135
0.459
0.804
0.251
0.219
0.95
1.212
1.624
2.434
2.785
1.758
2.031
0.995
0.38
0.499
0.176
0.206
0.362
1.965
1.085
1.292
1.868
1.609
0.795
1.104
0.451
0.514
0.261
0.498
0.587
0.838
0.154
0.937
0.566
0.499
0.248
0.745
0.239
0.243
0.331
0.355
0.404
0.573
0.746
0.457
1.773
1.643
0.79
0.97
1.039
0.99
0.152
0.491
0.689
1.067
2.313
2.794
3.458
1.593
1.051
0.776
0.235
0.503
0.21
0.187
1.02
1.18
1.333
1.965
2.536
1.938
1.632
1.019
0.297
0.305
0.243
0.173
0.259
1.75
