,1 ,2,3,4,5,6,7,8,9,10,11,12
2016,875 ,5561,3675,5775,8700,11250,27275,10192,12250,36000,6800,5880
2017,1576 ,3070,5275,2800,220,100,9775,23500,10475,2075,1311,12125
2018,3820 ,1115,13450,59600,78500,7450,67760,32800,100750,29620,41175,16975
2019,730 ,8225,22600,78900,63025,19025,54880,54900,51880,3250,2155,14225
