측정소명,Rain ,WT,pH,DO ,BOD ,COD ,SS ,EC ,TN ,TP ,TOC 
고막원천2-1,98.60 ,15.8 ,7.5 ,10.6 ,2.9 ,6.9 ,34.6 ,228 ,2.690 ,0.113 ,4.9 
삼포천2,97.07 ,16.3 ,7.4 ,9.7 ,4.4 ,10.4 ,83.7 ,402 ,2.953 ,0.170 ,6.8 
영산포-1,100.85 ,16.5 ,7.6 ,10.1 ,4.4 ,7.8 ,22.7 ,301 ,4.142 ,0.132 ,5.5 
영산호2,97.10 ,15.9 ,7.7 ,9.1 ,2.3 ,6.5 ,20.2 ,545 ,3.242 ,0.073 ,3.7 
영산호3,97.10 ,17.1 ,7.9 ,10.8 ,2.8 ,7.3 ,28.0 ,329 ,3.399 ,0.089 ,3.9 
영암천,97.10 ,16.5 ,7.5 ,10.1 ,2.9 ,7.7 ,39.4 ,499 ,2.673 ,0.111 ,5.3 
