BOD,COD,SS,TOC,Chl-a
5.4,9.2,17.3,7.6,40.7
6.4,11.6,13,8.6,56.5
6.1,11.8,14.1,8.9,70
6,11.1,25.3,8.7,41.9
5.7,10.9,47.7,8.2,41.4
6.2,10.7,36.6,8.1,47.7
6.6,11.6,24.4,8.9,50
7,12.5,43.6,9,70.5
6.7,12.9,23.2,8.9,80.1
4.8,8.7,10.3,6.7,28.5
4.9,7.9,9.5,7.4,33.8
5.1,9.7,10.6,8.6,56.9
4,8.4,9.5,8.1,62.2
4.7,9,10.1,8,42
6.6,14.1,19.1,10.5,115.2
6,12.5,12.2,9,66.7
6,12.9,29.8,9.1,44.2
4.8,10.3,13.3,7.7,49.6
6.4,13.5,14.3,9.2,63.8
4.1,10.2,14.9,9.3,29.9
4,10,19.7,8.6,52.4
3.8,7.1,8.8,4.9,28.4
3.9,6.5,10.3,5.2,46.8
5,8.5,8.7,7.7,52
6.1,10.5,14,8.5,70.3
4,5.7,15.9,4.3,51.4
4.6,6.6,14.3,4.8,73.4
5.6,8.3,20.5,5.8,87.5
5.5,7.5,16.6,5.6,42.1
3.6,6.5,21.2,5,24.9
5.5,8.2,25.6,6.7,44.6
3.9,7.5,21.9,5.4,31.4
4.2,8.2,21.6,5.8,28.5
3.5,6.7,16.7,4.9,25.3
4,6.5,17.6,5.1,38.9
4.3,6.5,13.1,5.2,32.3
2.9,5.5,9.5,2.8,18.1
4.7,8.1,15.9,7.5,133
4.1,6.5,15,5.6,51.6
5,7.7,19.6,5.8,53.1
4.5,6.3,12.8,5.4,27.8
4.1,6.5,22,5.5,41.9
4.9,8.6,22.8,7.3,49.2
3,6.9,20.9,5.6,28.7
5.1,11.3,23.2,7.9,46.5
3.2,7.3,11.6,5.5,20.7
3.3,6.4,27.5,4.8,15.8
3.4,5.8,11.6,4.7,23.9
3.4,6.1,7.7,5,38
3.4,6.7,6.9,5,42.5
6.5,11.5,23.6,7.6,132.1
5,8.9,12,6.6,35.6
6,9.8,11,7.9,80.9
4.3,10.1,12.1,7.5,24
5.2,14.2,20.1,10.2,56.1
4.3,8.8,17.1,7.3,20.8
4.4,8.6,22.8,6.3,32.5
3.6,7.7,12.8,5.8,40.4
3.5,7.1,11.8,5.4,32
3.3,7.5,12.5,5.9,26.1
2.6,7.2,7.8,5.7,17.7
7.2,13,20.3,9.7,155.4
5.7,10.4,13.6,8.2,68.2
4,7.9,8.6,6.6,24.3
4.4,8.2,19.2,6.1,56.5
4.9,8.9,15.7,6.9,61.8
4.6,12.2,14.4,9.1,44.2
4.9,9.4,19,6.7,41.3
4.5,12.4,16.4,8.9,48.2
4.2,7.4,18.7,5.8,35.8
3.7,7.6,16.7,6.9,54.6
5.1,9.7,18,8.1,112.2
5.1,10.6,23.1,9.1,111.1
5.2,10.9,20.9,9.6,117.5
6.2,13.4,18.6,10.4,136.5
5.3,10.6,15.5,8.2,58.1
4.4,9.3,17.9,8.3,66.4
3.7,8.5,13.9,6.5,31.2
4.6,11.1,20.7,8.8,51.7
3.7,8.9,16.8,8.1,30.8
3.4,8.5,15.7,8.1,45.8
3.2,7.1,11.4,5,23.3
2.6,5.2,11.9,4,28.8
4.7,7.9,16.5,7.1,49.3
3.6,7.3,5.7,5.8,21.1
3.9,5.6,15.1,4.2,55
4.5,6.9,17,4.5,80.5
5.5,8.4,19.5,5.8,76.4
5.3,7.6,17.8,5.6,54.6
4.2,6.5,20,5.1,22.2
4.5,7.9,19.6,6.7,35.9
4,7.3,19.2,5.5,31.1
5,7.8,19.4,6,36
3.6,6.7,18.3,4.9,24.9
4.4,6.2,19.9,5.1,18
4.1,6.2,14.6,5.2,26
3.4,5.3,9.8,2.8,15.6
4.9,7.6,15.2,7,118.9
4.1,7,19.2,6,58.6
5.1,7.5,19.2,5.9,45.7
3.9,6.4,14,5.4,23.7
4,6.7,23.7,5.5,39.7
4.6,8.1,22.4,7.3,41.4
2.9,7.2,27.9,5.8,26.4
3.7,8.9,21.3,7.2,29.1
3.5,7.4,13.5,5.7,24.7
3.4,8.1,34.1,5.5,15.8
3,5.5,14.5,4.4,20.1
3.5,6,9.6,5.1,37.2
2.9,6.8,9,5,45.8
6.5,11,22.4,7.4,128.5
3.9,7.9,12,6.2,18.4
5.6,9.4,10.2,7.3,54.7
3.3,8.9,10.8,7,16.1
3.9,12.5,26.7,8.9,32.3
4,9.5,29.6,7.3,15.7
3.8,7.9,22.2,6.2,20.8
2.9,6.9,14.8,5.2,28.4
3.5,6.4,15.1,5.1,23.8
3.3,7.2,13.7,5.7,33.1
2.6,6.7,9.5,5.5,17.5
5.7,11.1,15.3,8.4,105.6
5.2,10,12.9,7.7,57.6
3,7.9,9.7,6.2,17.5
3.9,7.9,17.9,5.9,32.8
3.6,8.2,14.9,6.3,31.4
4.3,11.9,15.9,9,32.5
4.7,10.5,27.2,7.1,37.8
5.2,14.5,26.7,9.7,40.4
3.6,7.4,20.4,5.2,27.6
3,7.3,17.7,6.3,22.1
3.6,7.5,11.5,6.9,30.5
4.2,10.1,13.1,8.1,67.6
4.7,10.1,17.4,8.6,100.7
6.1,13.1,18.2,9.7,104.4
3.9,8.3,11,6.9,35.8
4.4,9.2,11.8,8.1,59.4
4,8.6,13.5,6.5,32.2
4.7,11.2,19.1,8.1,40.9
3.8,9.6,18.4,8.8,27.7
3.8,8.6,16,8,36.1
2.8,6.9,17.7,5.1,14.1
2.4,5.3,11.2,3.8,12
3.5,7,12.3,6.3,34.8
3.6,7.1,7.4,6,23.8
