BOD,COD,SS,TOC,Chl-a
1.6,3.8,4.6,3,4.9
2,3.6,4.6,3,6.5
4.4,7.8,12.2,5.8,47
4.3,7.5,20.2,4.9,54.3
3.4,7,12.1,5.5,22.6
3.6,9.1,13,6.8,10
2,6.4,8,5,17.6
2,5.4,7.6,4.3,7.9
1.3,5.1,4.2,4.3,4.9
1.7,5.7,5.7,5.8,5.4
2.3,6.2,5.2,5.1,10.1
1.5,4.2,2.3,2,3.1
1.5,3.5,4.1,3.8,5.1
2.1,4.5,8.6,4.3,6.7
2.7,5.6,15.1,4.8,14.9
3,6.6,16.9,5.1,31.6
1.9,5.6,11.3,4.6,13.1
2.6,8,12.6,7,7.7
2.4,5.7,11.8,5.4,20.7
2.4,7.1,8.2,5.7,19.4
1.8,6.4,8.7,4.8,7.9
1.2,5.2,8.6,3.9,3.8
1.4,4.4,3.9,3.9,9.6
1.3,3.9,3.3,3.5,8.6
1.5,4.3,4.2,3.3,7.3
1.8,4.5,5.6,3.5,8.5
4,6.6,13.4,5.8,42.5
5.9,11,18.1,7.8,110.6
5.8,13.4,21.2,9.1,71.4
3.9,12.7,12.9,9.5,32
2.3,8.4,10.3,6.2,14.1
2.5,7.1,21.5,5.3,20.4
1.7,5.8,6.7,4.5,10.7
1.6,5.5,3.7,4.2,17.9
4.1,7.3,9.9,6,77.5
3.3,5.9,7.5,5,49.1
2.9,5.6,6.7,4.5,34.1
3.2,5.8,7.7,4.5,46.8
3.5,7.4,15.6,5.5,34.2
2.5,6.6,9.2,5,35.7
2.7,7.2,11.6,5.9,15.9
2.9,10.8,8.7,8.5,13.9
3.6,9.6,13.8,6.8,29.7
2.5,8.4,9.4,6.4,17.8
2.1,5.3,7.4,4.5,18.5
2,5.8,5.6,5.3,13.8
1.8,5.8,5.5,5.8,18.1
1.8,4.3,4.5,4.9,18.5
1.7,4.3,4.6,4.3,16.6
2.8,6.6,8.5,5.6,41.1
4.4,9,17,7.3,77
4.3,9.5,13.5,7,52.8
3.7,8.9,16.3,6.9,40.6
3.5,9.8,10.5,7.9,17
2.6,7.5,10.5,6.5,9.2
2.6,7.9,6.7,7,20.6
1.6,5.7,4.2,4.4,6.5
1.3,4.6,4.1,3.3,10.1
3.4,7,11.4,6.5,50.2
2.9,5.1,6,4.9,28
2.5,5,6.4,4.5,7.1
4.3,6.5,6.7,5.3,27.9
6.9,10,13.4,7,99.8
5.6,8.9,12.5,6.5,56
6.3,8.4,11.5,6.2,56.3
5.3,8.3,13.2,6.3,44.6
4.2,8.3,9.6,5.9,57
4.3,7.6,10.6,5.8,60
4.4,7.1,8.7,5.2,38.1
4.3,7.1,9.4,5.9,38.8
4.2,6.6,5.9,5.3,23
2.3,5.2,3.3,2.6,7.5
2.6,5.4,5.1,5.3,28.5
3.5,5.8,8.6,5.5,20.3
4.8,7.4,19.5,6.1,46.4
5.4,7.9,12.8,5.9,64.3
4.5,7.6,10.1,6,65.8
4,7.8,7,7,42.4
3.9,6.9,10.7,6.2,36.7
4.5,8.6,9.7,7.3,61
4.1,7,9.1,5.7,49.5
3,5.9,11.8,4.6,8.4
3.8,6.6,8.7,5.4,48.2
4.1,7.3,10,6.1,46.5
4,7.2,9,5.7,42.9
5.5,9.1,14.7,7.8,69.3
6.8,12.4,16,8.8,101.4
7.3,11.7,9.9,8.7,34.2
5.9,12.6,11,9,35.2
6.9,14.1,13.7,10.3,55.3
3.9,9.1,10.3,7.4,20.5
3.8,8.8,13.7,6.8,13.9
3.7,7.9,10.5,5.9,38.9
4.9,8.3,10.1,6.6,48.9
5.3,9.8,13.7,7.4,48.1
