,1 ,2,3,4,5,6,7,8,9,10,11,12
2016,2500 ,8075,6940,3475,4475,4700,11300,2052,10875,20000,10980,15875
2017,2800 ,1240,1150,8188,610,1158,7050,15600,5300,2500,895,2075
2018,7000 ,1068,11450,4640,6525,2650,5040,7125,8875,8820,5075,4400
2019,523 ,1225,2550,2908,7875,2900,17900,11975,9880,8325,6865,4600
