BOD,COD,SS,T-N,T-P,TOC,NH3-N,PO4-P,Chl-a,Rain,Flow
1.6,3.8,4.6,2.619,0.044,3,0.151,0.019,4.9,47.5,4.897
2,3.6,4.6,2.589,0.051,3,0.145,0.02,6.5,22.3,4.571
4.4,7.8,12.2,2.085,0.075,5.8,0.077,0.009,47,36.4,2.509
4.3,7.5,20.2,1.819,0.119,4.9,0.158,0.02,54.3,141,5.934
3.4,7,12.1,1.724,0.119,5.5,0.306,0.046,22.6,46.8,5.461
3.6,9.1,13,2.624,0.134,6.8,0.323,0.067,10,101.7,4.959
2,6.4,8,2.241,0.125,5,0.074,0.04,17.6,167,9.366
2,5.4,7.6,1.403,0.11,4.3,0.063,0.045,7.9,139.8,6.264
1.3,5.1,4.2,1.276,0.086,4.3,0.062,0.034,4.9,59.8,4.607
1.7,5.7,5.7,1.596,0.09,5.8,0.126,0.046,5.4,95.2,4.505
2.3,6.2,5.2,2.306,0.113,5.1,0.304,0.064,10.1,120.2,5.923
1.5,4.2,2.3,2.745,0.066,2,0.183,0.029,3.1,61.4,6.722
1.5,3.5,4.1,3.025,0.059,3.8,0.236,0.018,5.1,51.2,3.479
2.1,4.5,8.6,2.744,0.073,4.3,0.248,0.031,6.7,43.5,7.489
2.7,5.6,15.1,2.506,0.096,4.8,0.181,0.024,14.9,58.4,6.155
3,6.6,16.9,1.907,0.108,5.1,0.14,0.022,31.6,185.6,9.168
1.9,5.6,11.3,1.773,0.092,4.6,0.121,0.039,13.1,105.5,7.687
2.6,8,12.6,2.377,0.119,7,0.249,0.063,7.7,106.7,7.129
2.4,5.7,11.8,1.852,0.119,5.4,0.089,0.058,20.7,287.8,8.753
2.4,7.1,8.2,1.152,0.109,5.7,0.071,0.035,19.4,86.3,6.257
1.8,6.4,8.7,1.725,0.098,4.8,0.162,0.048,7.9,243.1,16.274
1.2,5.2,8.6,2.114,0.097,3.9,0.076,0.057,3.8,207.3,14.034
