BOD,COD,SS,T-N,TOC,NH3-N,Chl-a
1.6,3.8,4.6,2.619,3,0.151,4.9
2,3.6,4.6,2.589,3,0.145,6.5
4.4,7.8,12.2,2.085,5.8,0.077,47
4.3,7.5,20.2,1.819,4.9,0.158,54.3
3.4,7,12.1,1.724,5.5,0.306,22.6
3.6,9.1,13,2.624,6.8,0.323,10
2,6.4,8,2.241,5,0.074,17.6
2,5.4,7.6,1.403,4.3,0.063,7.9
1.3,5.1,4.2,1.276,4.3,0.062,4.9
1.7,5.7,5.7,1.596,5.8,0.126,5.4
2.3,6.2,5.2,2.306,5.1,0.304,10.1
1.5,4.2,2.3,2.745,2,0.183,3.1
1.5,3.5,4.1,3.025,3.8,0.236,5.1
2.1,4.5,8.6,2.744,4.3,0.248,6.7
2.7,5.6,15.1,2.506,4.8,0.181,14.9
3,6.6,16.9,1.907,5.1,0.14,31.6
1.9,5.6,11.3,1.773,4.6,0.121,13.1
2.6,8,12.6,2.377,7,0.249,7.7
2.4,5.7,11.8,1.852,5.4,0.089,20.7
2.4,7.1,8.2,1.152,5.7,0.071,19.4
1.8,6.4,8.7,1.725,4.8,0.162,7.9
1.2,5.2,8.6,2.114,3.9,0.076,3.8
1.4,4.4,3.9,2.209,3.9,0.06,9.6
1.3,3.9,3.3,2.573,3.5,0.077,8.6
1.5,4.3,4.2,2.898,3.3,0.224,7.3
1.8,4.5,5.6,2.929,3.5,0.222,8.5
4,6.6,13.4,2.255,5.8,0.062,42.5
5.9,11,18.1,1.422,7.8,0.024,110.6
5.8,13.4,21.2,1.626,9.1,0.124,71.4
3.9,12.7,12.9,2.142,9.5,0.286,32
2.3,8.4,10.3,1.971,6.2,0.162,14.1
2.5,7.1,21.5,1.404,5.3,0.091,20.4
1.7,5.8,6.7,1.412,4.5,0.038,10.7
1.6,5.5,3.7,1.813,4.2,0.092,17.9
4.1,7.3,9.9,1.917,6,0.192,77.5
3.3,5.9,7.5,2.72,5,0.269,49.1
2.9,5.6,6.7,2.627,4.5,0.246,34.1
3.2,5.8,7.7,2.659,4.5,0.075,46.8
3.5,7.4,15.6,2.59,5.5,0.202,34.2
2.5,6.6,9.2,2.231,5,0.064,35.7
2.7,7.2,11.6,2.233,5.9,0.252,15.9
2.9,10.8,8.7,1.858,8.5,0.12,13.9
3.6,9.6,13.8,1.626,6.8,0.039,29.7
2.5,8.4,9.4,1.399,6.4,0.028,17.8
2.1,5.3,7.4,1.922,4.5,0.031,18.5
2,5.8,5.6,1.969,5.3,0.032,13.8
1.8,5.8,5.5,2.035,5.8,0.013,18.1
1.8,4.3,4.5,2.509,4.9,0.078,18.5
1.7,4.3,4.6,2.71,4.3,0.092,16.6
2.8,6.6,8.5,2.502,5.6,0.13,41.1
4.4,9,17,1.753,7.3,0.036,77
4.3,9.5,13.5,1.404,7,0.165,52.8
3.7,8.9,16.3,1.501,6.9,0.272,40.6
3.5,9.8,10.5,1.82,7.9,0.177,17
2.6,7.5,10.5,1.856,6.5,0.103,9.2
2.6,7.9,6.7,1.13,7,0.039,20.6
1.6,5.7,4.2,1.729,4.4,0.037,6.5
1.3,4.6,4.1,1.968,3.3,0.031,10.1
3.4,7,11.4,1.974,6.5,0.05,50.2
2.9,5.1,6,2.557,4.9,0.077,28
1.9,4.5,4.5,2.814,2.4,0.275,7.3
3.1,5.6,5.7,2.557,2.7,0.299,13.2
5.1,8.8,14.3,2.151,3.8,0.296,62.1
5.1,10.2,15.6,2.059,4.6,0.392,51.9
4.8,10.1,26.4,1.753,4.5,0.198,38.8
3.5,9.8,14.7,2.493,5.6,0.427,25.7
3.3,8.1,18.6,2.106,5,0.191,17.2
3.2,7.6,15.8,1.428,3.8,0.269,24.6
1.7,6,7.5,0.879,3.4,0.045,16.7
3.6,7.5,9.7,1.069,3.6,0.047,34.4
2.6,7.8,8.3,1.864,3.7,0.17,19.8
1.8,5.3,6.7,2.634,2.9,0.185,4.8
1.9,4.5,4.4,2.642,2.3,0.198,7.5
2.6,6.1,7.8,2.932,2.8,0.246,10.5
3.6,7.6,21.2,2.471,3.5,0.223,27.6
4.6,10.2,16.5,2.104,4.2,0.102,54.7
3,7.5,10.7,1.65,4.1,0.061,25.7
2.8,9.2,11.8,2.234,5.2,0.188,25.1
2.2,7.3,9.3,2.145,3.6,0.127,17.5
2.9,7.6,9.4,1.111,4.1,0.074,35.1
2.1,7.1,6.9,1.548,3.8,0.078,14.6
2.4,6.3,9.4,2.05,3.7,0.128,5.7
3.6,5.1,7,2.234,4,0.057,45.3
3.5,4.9,9.5,2.767,3.1,0.312,26.8
2.8,4.9,7.8,2.876,2.8,0.255,9.2
3.6,5.9,13.3,2.727,3.7,0.168,22.8
5.7,9.4,20.9,1.926,5.5,0.087,120.6
8.1,12.4,28.3,1.799,6.7,0.172,117.7
4.8,11.3,20.1,1.591,6.9,0.283,32.8
5,12.3,19.1,2.192,6.9,0.266,53.7
3.1,9.1,13.7,2.301,5.1,0.378,14.2
2.9,8.4,30.7,1.697,4.4,0.237,24.1
1.9,6.7,15.3,1.082,3.8,0.043,37.4
3,6.2,7.8,1.412,3.3,0.049,46.3
4.6,7.5,9.3,2.115,4.1,0.402,58.2
4.1,7.4,8.4,2.832,4.4,0.227,43.1
4.6,7.3,10.7,2.902,3.8,0.174,53.8
3.6,7.4,9.3,2.453,3.6,0.129,40.2
3.6,8.5,19.8,2.838,4.8,0.329,49.9
3.5,8.1,21.7,2.285,4.2,0.126,55.6
3.5,8.8,31.6,2.297,5.1,0.191,51
3.2,10.2,22.2,1.731,5.8,0.118,66
2.7,9.1,31,1.676,4.5,0.067,55.9
2.6,7.9,17,1.054,4.4,0.047,47.4
0.8,4.8,7.3,1.855,2.9,0.061,35.9
2.8,6,9.6,1.893,3.6,0.082,42.7
3.3,6.1,9.4,1.993,3.8,0.078,47.5
