BOD,COD,SS,T-N,TOC,NH3-N,Chl-a
2.9,5.3,6.8,2.922,3,0.191,29.1
3,5.6,5.5,2.539,3.2,0.1,28
4.1,8.8,12.3,2.396,3.6,0.087,57.7
6.1,10,20.7,2.158,5.4,0.247,95.3
6.1,10.6,17,2.63,5.5,0.606,52.9
4.7,10.5,23.7,1.827,5.5,0.285,32
3.3,10.3,13.3,2.04,6,0.169,31.3
2.6,9.2,16.5,2.075,5.2,0.187,23.7
2.9,8.8,31.2,1.685,5.5,0.115,26.3
1.2,6.7,5.9,1.805,3.6,0.077,12
1.6,5.6,7.2,2.095,3.3,0.065,18.9
2.9,8.5,18.3,2.508,4.3,0.414,17.3
5.9,9.5,22.5,2.439,4.3,0.113,100.1
2.9,6.7,4.9,8.417,3.4,4.182,4.3
5.3,8.4,9.7,9.795,4.1,5.869,12.3
5.2,9.4,10,10.757,4.9,6.915,46.4
6.9,11.1,16.5,8.068,5.1,4.006,43.6
5.6,10.5,14.5,6.933,4.7,3.373,32.9
6,10.1,18.4,5.847,5.6,2.969,26.1
6.1,9,13.3,3.482,4.8,1.219,16.4
5.6,9.5,9.6,4.637,4.2,2.118,27
2.5,7,4.7,4.47,3.8,1.372,15.4
4.9,8.6,13.5,6.371,5.1,1.86,15.3
3.7,8,6.8,5.647,4,1.743,15.6
1.7,5.6,4.4,6.283,3.1,1.505,3.1
2.9,6.2,4.2,7.986,3.3,2.403,8.3
2.7,7.1,6.2,7.365,3.5,3.088,7.8
4.5,8.7,17.4,8.296,4.6,3.339,19.9
6.8,10.1,17.1,6.496,4.5,2.19,35.3
4.2,8,7.9,4.834,4,1.77,22.3
5.9,8.8,8.2,6.267,5,2.91,14.3
4.2,7.2,10.6,4.403,3.8,1.588,20.2
5.3,9.1,11.4,5.729,4.7,2.185,60.7
3,7.2,7.3,4.198,3.9,1.672,10.9
2.7,5.4,5.5,4.29,3.6,1.158,2.1
4,6.1,5.4,7.694,4.1,2.517,20.8
4.5,6.9,7.6,8.209,4.3,2.823,29.5
4,7.1,5.1,9.673,4,4.036,10.8
4.5,7.8,7.9,11.091,5.2,6.001,18
6.9,10.9,14.4,9.863,6.3,6.093,71.4
7.1,11.6,17.2,7.39,6.4,3.024,71.2
4.9,11.1,11.7,10.628,6.9,5.755,22.3
7.6,13.6,17.7,7.221,7.4,3.318,67.4
5.3,9.6,14.1,4.371,5.2,1.908,15.1
4.5,9.6,30.3,5.23,4.9,2.715,21.8
3.7,7.5,13.6,5.886,4.1,2.389,23.4
4.7,7.5,7.2,6.957,3.8,3.205,33.9
5.4,8.7,8.3,8.074,5.3,3.185,53.9
8,10.2,16.9,7.947,5.7,4.105,68.1
7.3,10.5,18.3,10.486,5.5,5.766,64
5.9,10,11.2,11.501,5.6,8.594,50.6
8,12,25.7,8.14,6.1,5.037,50.3
7.4,9.9,22.1,7.026,4.8,3.789,45.3
9.1,9.8,22.7,5.548,5.4,3.31,66.6
5,9.7,14.7,5.33,5.6,3.187,47.1
8,10.2,21,6.915,4.8,4.75,31.3
6.6,10.2,18.3,7.542,5.3,5.504,38.7
4.1,6.2,10.4,5.072,3.6,2.862,28.1
5.1,7.1,9.8,7.143,4.2,3.638,35.2
7.9,8.4,10.3,9.608,5.1,6.539,33.4
7.2,9.1,12.9,11.538,5,5.954,37.7
6,8.1,9.7,9.384,5,6.281,40.5
7.7,11.3,19.2,11.656,5.6,8.402,60.3
10,12.7,19.7,10.815,6.2,7.551,60.5
8.8,11.7,17.1,9.274,5.8,6.071,26.5
8.2,10.4,15,7.874,5.5,5.367,12.6
8.9,11.4,13.1,6.385,6.1,3.942,17.8
7.8,10.6,15.4,5.356,6.1,2.642,19.4
7.6,9.6,22.7,6.017,6.6,3.341,26.4
5.7,7.4,10.1,5.499,4.1,2.948,11.2
5,6.8,12.1,5.346,3.5,2.249,19.3
9.8,12,19.6,9.085,5.3,5.656,30.2
8.6,11.5,23.3,7.204,5.3,3.474,112.1
2.2,6.4,3.2,8.761,3.4,4.415,4.7
3.7,8.4,5.6,10.932,4.4,6.85,7.3
5.5,10.1,12.2,10.242,5.2,6.249,63.3
6.7,11.6,13.9,8.951,5.4,5.049,46.2
8.1,12.7,12.5,7.332,5.7,3.186,59.5
7.6,13,15.7,6.937,6.5,3.493,50.2
6.6,9.6,11.2,5.811,5.5,2.853,26.9
5.8,10.1,11.6,4.643,4.5,1.874,66.7
5.4,9.9,10.3,4.66,4.5,1.573,98
5.3,9.8,9.5,6.932,4.7,1.882,59.8
3.9,8.6,7.6,5.911,4.1,2.275,25
2,6.3,4.7,6.597,3.4,1.961,2.9
2.3,6.3,3.9,9.137,3.5,3.414,6.7
3.1,7.4,6.7,6.839,3.6,2.485,8.2
4.7,9.2,16.9,7.869,4.5,3.352,33.1
7.4,11.3,17,6.931,5,1.887,80
5.3,8.1,8.9,5.656,4.5,2.084,41.8
9.5,11.3,14.9,6.225,5.6,2.346,120.1
4.8,8.4,11.1,5.307,4.2,1.774,35.5
8.6,11.8,15.5,4.636,5.4,1.473,88.6
4.5,8,9.6,4.028,4.3,1.563,16.4
4,7.1,8.5,5.482,4,2.383,3
4.6,6.9,8.6,8.822,4.5,3.849,35.5
4.5,7.4,8.2,9.259,4.6,3.439,25.5
3.2,7.2,5.7,9.09,4,3.477,13.4
4.6,7.9,10.3,11.508,5.5,6.22,30.5
6.8,12,18.9,11.999,7.3,7.117,70.6
7.8,12.2,18.2,9.085,6.8,4.256,117.1
7.6,14.3,18.8,10.442,8.3,4.971,116.5
8.2,15.1,21,8.115,7.2,3.81,105.3
6.4,11,13.5,5.742,6.1,2.923,19
5.3,8,25.8,4.591,4.8,2.064,45.9
3.6,8.4,19.8,5.081,4.6,1.734,70.3
4.7,8.1,10.1,7.089,4.7,2.235,70.4
5.3,9.2,10.9,9.258,5.4,3.908,68.4
8.4,10.7,19.2,10.065,6.1,5.974,57.5
4.5,10.5,14.7,10.623,5.7,5.629,66.1
4.1,11.2,11.3,13.092,6,9.924,41
7,11.5,26.9,8.196,6.1,5.222,41.1
7.1,10.7,41.7,7.347,4.8,4.216,47.5
6.2,9.2,33.8,5.893,4.8,3.525,61.8
4.5,10,26.2,7.381,5.7,4.754,52.7
5.6,9.3,24.9,7.084,5.2,4.855,41.7
5.6,10.2,23.1,7.556,5.2,5.148,59.4
2.1,5.9,13.1,3.956,3.4,1.887,41.4
4.7,7.3,10.3,7.284,4.3,3.738,36.2
7.1,8,11.4,8.897,5.6,5.302,59.2
5.5,7.5,9.9,10.973,4.8,5.465,45
5.5,7.2,9,9.617,5.3,5.488,59.1
6.3,10.1,15.1,11.121,5.2,7.307,81.4
7.6,12,16.6,12.329,6.6,7.752,60
7,11.5,15.1,11.365,6.1,7.563,16.7
6.3,10.3,11.9,8.55,5.8,5.852,12.6
7,11.7,11.7,9.042,6.4,5.68,22.6
5.8,9.7,16.6,6.302,5.1,3.53,17.6
5.3,8.7,13.7,6.871,5.5,3.824,32.6
4.3,7.6,8.4,6.367,4.3,3.518,14
2.8,6.7,7.2,6.96,3.9,2.819,20.4
6.4,10.2,16.3,9.148,5,4.589,31
7.6,11,18.6,9.071,5,4.343,86.5
2.5,5,6.4,6.382,4.5,3.178,7.1
4.3,6.5,6.7,7.327,5.3,4.068,27.9
6.9,10,13.4,7.658,7,4.521,99.8
5.6,8.9,12.5,5.658,6.5,2.966,56
6.3,8.4,11.5,5.195,6.2,2.582,56.3
5.3,8.3,13.2,4.456,6.3,1.874,44.6
4.2,8.3,9.6,3.352,5.9,0.953,57
4.3,7.6,10.6,4.168,5.8,1.283,60
4.4,7.1,8.7,4.487,5.2,1.428,38.1
4.3,7.1,9.4,4.514,5.9,1.064,38.8
4.2,6.6,5.9,5.011,5.3,1.801,23
2.3,5.2,3.3,4.916,2.6,1.234,7.5
2.6,5.4,5.1,6.783,5.3,1.672,28.5
3.5,5.8,8.6,5.428,5.5,1.762,20.3
4.8,7.4,19.5,4.855,6.1,1.311,46.4
5.4,7.9,12.8,3.833,5.9,0.889,64.3
4.5,7.6,10.1,4.087,6,1.309,65.8
4,7.8,7,4.023,7,1.365,42.4
3.9,6.9,10.7,3.277,6.2,1.072,36.7
4.5,8.6,9.7,3.845,7.3,1.669,61
4.1,7,9.1,3.613,5.7,1.076,49.5
3,5.9,11.8,3.153,4.6,0.807,8.4
3.8,6.6,8.7,5.604,5.4,1.577,48.2
4.1,7.3,10,6.097,6.1,1.738,46.5
4,7.2,9,6.447,5.7,1.892,42.9
5.5,9.1,14.7,7.673,7.8,3.512,69.3
6.8,12.4,16,8.267,8.8,4.164,101.4
7.3,11.7,9.9,6.152,8.7,3.048,34.2
5.9,12.6,11,7.44,9,3.606,35.2
6.9,14.1,13.7,4.55,10.3,1.528,55.3
3.9,9.1,10.3,3.847,7.4,1.711,20.5
3.8,8.8,13.7,4.244,6.8,2.362,13.9
3.7,7.9,10.5,3.163,5.9,0.858,38.9
4.9,8.3,10.1,5.166,6.6,1.926,48.9
5.3,9.8,13.7,6.34,7.4,2.229,48.1
5.4,9.2,17.3,7.16,7.6,3.507,40.7
6.4,11.6,13,8.883,8.6,5.352,56.5
6.1,11.8,14.1,11.563,8.9,8.907,70
6,11.1,25.3,7.031,8.7,4.46,41.9
5.7,10.9,47.7,6.849,8.2,3.832,41.4
6.2,10.7,36.6,4.675,8.1,2.27,47.7
6.6,11.6,24.4,5.959,8.9,3.329,50
7,12.5,43.6,5.545,9,2.853,70.5
6.7,12.9,23.2,5.043,8.9,2.788,80.1
4.8,8.7,10.3,4.876,6.7,2.516,28.5
4.9,7.9,9.5,4.942,7.4,2.397,33.8
5.1,9.7,10.6,5.688,8.6,2.488,56.9
4,8.4,9.5,6.668,8.1,2.556,62.2
4.7,9,10.1,9.198,8,3.972,42
6.6,14.1,19.1,7.597,10.5,3.777,115.2
6,12.5,12.2,8.271,9,5.145,66.7
6,12.9,29.8,6.569,9.1,3.919,44.2
4.8,10.3,13.3,5.09,7.7,2.642,49.6
6.4,13.5,14.3,4.433,9.2,2.53,63.8
4.1,10.2,14.9,4.12,9.3,1.928,29.9
4,10,19.7,3.918,8.6,1.575,52.4
3.8,7.1,8.8,3.411,4.9,1.138,28.4
3.9,6.5,10.3,4.156,5.2,1.075,46.8
5,8.5,8.7,6.361,7.7,2.714,52
6.1,10.5,14,7.155,8.5,2.998,70.3
1.7,5.7,3.8,5.856,2.7,2.11,11.6
3.9,6.8,8.4,6.947,3.8,2.936,39
6.2,9.8,13.6,6.171,4.5,2.744,96.9
5.1,8.8,8.5,5.165,4.7,2.464,38.5
6.4,10.9,11.6,3.813,4.6,1.226,66.7
5.9,10.8,13.6,4.153,6,1.602,45.1
3.8,8.9,9.2,3.044,4.9,0.712,24.4
6,10.6,12.4,2.783,4.2,0.842,79.4
4.7,8.3,9.9,2.826,4.2,0.54,67.6
4.4,9,9.8,3.388,4.1,0.561,59.9
3.4,8.5,7.9,4.555,3.8,1.242,27.5
2.5,5.8,5,4.416,3.1,1.055,11.1
3.6,5.8,7.1,5.413,3,0.824,44.9
3.3,6.8,7.1,4.67,3.3,1.267,18.6
4.1,7.7,15.8,4.157,3.9,0.852,45.3
4.5,7.2,13.3,3.177,5.2,0.594,41.5
5.6,8,13.4,2.951,5.2,0.414,88.7
4.3,8.7,9.7,3.651,6.4,1.05,42.9
4.7,7.5,15.9,2.869,5.3,0.501,55.2
5.7,11.9,15.8,2.829,7.6,0.63,84.2
4,7.6,9.1,3.005,5.7,0.586,62
2.5,5.8,10.6,2.63,4,0.525,7
4,6.5,7.5,4.601,4.4,1.033,57.7
4.6,7.1,8.2,5.861,5.5,1.319,57.1
4.1,6.9,8.5,5.527,5.3,1.166,68.6
5.8,8.8,13.9,6.399,6.9,2.049,97
7.1,10,12.7,6.833,7.4,2.948,99.1
7.1,10.2,9.4,5.17,7.5,1.971,92.7
7.1,13.5,11.9,6.118,8.6,2.333,57.5
7.6,15.1,14.1,4.408,10.9,1.263,67.3
3.9,9.1,12.2,2.964,6.7,0.959,21.8
3.3,8.4,12.7,3.362,6.2,1.427,40.5
4.7,7.9,10.6,2.674,6.1,0.46,65.3
4.2,7.2,7.5,4.097,5.1,1.08,49.6
5,8.7,13.2,5.516,6.7,1.439,84.2
5.9,10.2,17.3,7.135,7.9,3.026,71.8
6.9,11.5,15,7.06,8.4,3.091,115.6
6.9,12.5,16.9,9.613,9.4,6.366,132.4
5.9,10.7,25.5,5.919,7.7,2.933,59.4
4.8,8.3,19,5.105,6.3,2.179,71.6
4.8,9.9,19.6,3.761,6.6,1.383,78.2
8.1,15.3,16.8,4.245,10,1.3,124.8
7.3,12.4,16,4.454,8.2,1.672,94.2
6.4,13.2,33.8,3.563,8.9,1.264,61.4
4.2,8,10.8,3.203,5.5,0.576,56.1
4,7.4,9.9,3.558,6.3,0.755,50.9
5.6,8.3,14.6,4.909,7.2,1.756,56.3
4.4,8.7,21.3,5.626,7.2,1.513,65.6
4.2,9.2,14.2,7.469,7.4,2.345,61.7
6.4,13.6,21.8,6.43,10.1,2.569,106.7
5.6,12.3,25.8,5.814,8.7,2.738,76.2
4.4,9.4,14.1,5.298,7.1,2.896,46.9
5.8,13.2,12.9,3.962,8.9,1.938,56.3
5.9,12.5,14.6,3.317,8.1,1.516,70.8
3.5,8.3,12.8,2.78,6.4,0.751,24.7
3.8,13.1,31,3.215,9.5,1.074,63.6
4.2,6.9,9.2,3.222,5.3,0.811,42.4
4,6.9,10.6,3.441,4.9,0.551,49.4
4.8,7.6,7.8,5.353,6.5,1.583,41.4
6.2,10.2,16,6.336,7.7,2.046,70.7
2.4,5.2,5,5.869,2.9,1.901,21.6
4.6,7.5,8.2,6.715,3.7,2.553,77.5
6.5,10.6,13.9,6.56,4.8,2.783,116.3
5.3,9.6,9.6,4.981,4.8,2.15,63.8
4.3,9.2,8.7,3.524,4.3,1.013,29.9
4.5,11.1,12,3.908,5.5,1.412,31.6
4.3,10.1,10.2,3.17,5.1,0.764,30.8
8.5,16.4,23.6,2.623,4.3,0.536,149.6
3,8.3,10,2.418,4.1,0.491,41.6
2.9,7.8,10.4,2.828,3.8,0.509,28.5
3.2,7.6,10,4.368,3.7,1.233,24
2.4,6.3,6.5,4.31,3.2,0.869,18.5
4.3,7.7,11.1,5.387,3.6,0.672,85.2
3,7,8,4.871,3.4,1.315,27.3
3.6,7.9,12.1,4.154,3.8,0.899,41.2
3.6,8.7,6.3,4.586,4.1,1.091,17.8
6,8.5,12.3,2.929,4,0.326,77.5
6.2,12.3,17.2,3.651,5.1,0.913,55.4
5.5,10.5,17.9,2.492,4.1,0.185,86.9
10.9,19,38.1,2.581,6.7,0.451,152.3
3.8,10.4,9.5,2.955,4.9,0.555,31.6
2.3,6.2,7.7,2.941,3.6,0.562,13.9
3.1,5.8,7.8,4.892,3.6,0.778,42.3
2.7,5.8,5.1,6.227,3.5,1.172,25.9
4.5,7.4,12.9,5.143,4.2,0.819,64
4.9,8.6,15.7,7.245,5.3,1.707,128.3
5,8.5,11.4,6.284,5.2,2.112,65.2
5.5,8.4,8.4,5.551,5.8,2.079,62
4.1,11.5,10.5,5.377,7.1,1.613,38.9
5.8,15.8,31.9,4.768,7,1.293,60.7
4.1,10.6,12.6,3.857,5.7,1.285,64.2
5.2,9.8,23.5,3.293,4.9,1.142,77.1
2.1,7.3,19,2.645,4.3,0.312,43.8
3.4,6.8,12.2,3.789,3.7,0.582,45.3
3,7.7,10.7,5.276,4.2,1.108,51.9
5.4,9.3,16.8,7.247,5.2,2.014,103
5.8,11,18.8,7.636,5.6,2.905,129.5
4.6,9.7,13.7,9.432,5.1,5.143,64.8
5.4,10.4,24.8,6.634,5.2,3.393,60.9
5.1,8.9,28.1,5.022,4.5,1.958,52.1
5.2,9.1,20.1,3.941,5.3,1.492,97.8
5.7,11.9,21,4.233,5,1.245,68.5
6.4,11.6,38.7,3.507,5.7,0.677,134.5
3.3,10.6,30.9,3.16,5.1,1.167,63.7
3,8.1,13.9,2.85,3.5,0.412,88.1
3.7,7.2,18.8,3.803,4.5,0.413,98.4
3.6,7,15.8,3.104,4.3,0.726,56.1
4,6.9,18,4.143,3.9,0.972,78.9
4.9,8.1,18.2,6.652,4.7,1.972,63.6
5.9,11.1,20.9,6.452,6.1,1.705,157.7
6.1,9.5,34.7,6.849,5.6,2.693,93.2
4.9,9.7,9.8,5.548,5.3,1.977,36.9
5.8,10.6,11.1,4.361,5.6,1.961,24.3
5.2,13.2,15,3.695,6.7,1.014,40.7
4.7,11.5,21,3.051,7.1,0.541,27.4
4.6,9.7,19.3,3.027,6.4,0.53,27.9
3.2,8.1,13.6,2.776,4,0.363,49.2
1.7,6.3,9.2,3.313,3.3,0.39,24.4
3.5,8.5,11.5,5.21,4.1,1.118,36.9
2.8,7.1,7.3,6.414,4.1,2.181,21.3
3.3,5.5,10.1,5.335,4.1,1.648,37.2
5,7.2,13.5,6.035,5.2,2.221,84
5.2,8.2,16.2,6.218,6,2.593,83.8
4.7,7.4,9.9,5.008,5.6,2.079,47.2
2.9,7.1,10.2,3.289,5.1,1.062,28.7
3.8,8.8,11.3,3.855,6.7,1.412,45
3.1,7.7,11,2.966,5.7,0.57,32.5
3.6,7.7,8.9,3.023,6.1,0.647,37.5
2.9,6.9,9.9,2.776,5.2,0.459,42.2
3.2,6.2,10.4,2.916,4.9,0.52,28.1
3.4,6.1,6.1,4.355,5.1,0.956,30.9
2.7,5.5,6.7,4.391,2.9,0.84,22.9
4.2,7,12.1,4.95,6.3,0.418,107.8
3.8,6.2,12.7,4.708,5.6,0.946,51.2
4.1,6.6,15.5,4.281,5.5,0.887,44.5
3.8,6.7,7.7,4.03,5.2,0.885,31.1
3.7,7.2,10.8,2.901,5.5,0.445,45.9
3.3,8.2,11.1,3.753,6.8,1.157,35.1
2.5,6.1,12.5,2.488,5.3,0.475,16.6
2.8,8.2,7.4,2.528,6.8,0.785,14.9
3.1,7.4,9.1,2.82,6,0.672,31.9
2.9,6,12.9,2.841,4.3,0.622,11.2
3.5,6.1,8.9,4.171,4.4,0.622,31.8
3,5.9,6.4,5.176,4.9,0.974,27.5
3.9,7.8,12.6,4.934,5.7,0.777,70.6
6.3,10.9,21.5,6.062,7.6,1.212,98.2
4.9,9.2,11.2,5.89,6.6,1.932,31
5.2,9.2,8.7,5.514,7,2.329,61.1
3.5,10.4,7.1,4.829,7.5,1.515,20.2
5.9,14.8,12.9,3.992,10.4,1.02,34
3.1,8.9,11.6,3.294,7,1.163,14.4
4.3,10.2,16.3,2.368,7.6,0.517,21
4.9,10.1,19.9,2.228,6.4,0.12,50
3.8,7.3,13.7,3.108,5.6,0.677,35.1
3.6,8.3,14.4,4.797,6.5,1.147,16.5
4.1,8.4,11.4,6.218,6.3,1.854,27.6
6.5,11.8,19.2,6.771,9,2.66,102.7
5.5,10.3,12.4,7.686,7.7,4.539,48.3
5,9.8,27.3,6.632,7.3,3.478,24.7
4.8,8.6,18.6,4.52,6.3,1.629,53.3
5.2,9.6,18,3.909,7,1.546,59.7
4,11.8,10.4,3.897,8.6,1.318,26.2
5.3,10.9,22.9,2.975,7.7,0.515,41.9
3.9,12,29.9,2.8,8.3,0.991,30.3
4.6,9.8,14,2.537,6.6,0.256,51.7
3.8,7.7,21,2.975,6.8,0.206,53.9
5.5,10.8,32.3,4.056,8.6,0.88,82.9
5,11.6,26,5.522,8.9,1.429,92
5.3,11.1,25.2,7.198,8.9,1.775,93.6
7.1,15.4,31.2,6.292,11.5,2.299,134.2
6.8,14.2,24,6.492,9.2,2.755,90.4
4.5,9.7,9,4.441,7.1,2.08,46.4
4.2,10,13.3,3.878,7.2,2.154,36
6.3,13.3,19.9,2.811,9.1,1.181,59
3.8,9.4,21.1,2.46,8.5,0.421,25.5
3.7,9.7,23.7,2.128,8.7,0.347,53.7
3.8,7.2,13.8,2.608,4.9,0.339,30.2
3.5,6.2,8.9,3.111,4.6,0.181,34.1
4.9,8.3,14.5,4.537,7.5,0.597,58.3
3.6,7.4,5.1,5.832,6.3,1.843,20.6
4,5.7,15.9,5.134,4.3,1.457,51.4
4.6,6.6,14.3,5.714,4.8,1.809,73.4
5.6,8.3,20.5,6.029,5.8,2.214,87.5
5.5,7.5,16.6,4.748,5.6,1.872,42.1
3.6,6.5,21.2,3.242,5,0.854,24.9
5.5,8.2,25.6,3.725,6.7,1.261,44.6
3.9,7.5,21.9,2.928,5.4,0.497,31.4
4.2,8.2,21.6,3.431,5.8,0.729,28.5
3.5,6.7,16.7,2.514,4.9,0.347,25.3
4,6.5,17.6,2.841,5.1,0.409,38.9
4.3,6.5,13.1,3.945,5.2,0.673,32.3
2.9,5.5,9.5,4.364,2.8,0.861,18.1
4.7,8.1,15.9,5.226,7.5,0.3,133
4.1,6.5,15,5.067,5.6,1.062,51.6
5,7.7,19.6,4.042,5.8,0.678,53.1
4.5,6.3,12.8,3.852,5.4,0.735,27.8
4.1,6.5,22,2.573,5.5,0.259,41.9
4.9,8.6,22.8,3.751,7.3,0.985,49.2
3,6.9,20.9,2.459,5.6,0.323,28.7
5.1,11.3,23.2,2.578,7.9,0.576,46.5
3.2,7.3,11.6,2.502,5.5,0.444,20.7
3.3,6.4,27.5,3.037,4.8,0.502,15.8
3.4,5.8,11.6,4.027,4.7,0.538,23.9
3.4,6.1,7.7,4.594,5,0.843,38
3.4,6.7,6.9,4.325,5,0.724,42.5
6.5,11.5,23.6,5.665,7.6,0.809,132.1
5,8.9,12,5.857,6.6,1.943,35.6
6,9.8,11,5.697,7.9,2.073,80.9
4.3,10.1,12.1,4.327,7.5,1.112,24
5.2,14.2,20.1,3.892,10.2,1.182,56.1
4.3,8.8,17.1,3.168,7.3,1.111,20.8
4.4,8.6,22.8,3.01,6.3,0.914,32.5
3.6,7.7,12.8,2.183,5.8,0.176,40.4
3.5,7.1,11.8,2.886,5.4,0.545,32
3.3,7.5,12.5,4.581,5.9,0.998,26.1
