yyyymm,date,spot,Cyanophytes,Diatoms,Chlorophytes,Others
201701,170102,J1,0,375,50,50
201701,170109,J1,0,375,0,50
201701,170116,J1,0,425,0,50
201701,170123,J1,0,400,50,100
201702,170201,J1,0,500,0,50
201702,170206,J1,0,600,25,50
201702,170213,J1,0,700,75,50
201702,170220,J1,0,1075,0,125
201702,170227,J1,0,1100,125,25
201703,170306,J1,0,1875,0,50
201703,170313,J1,0,1700,75,0
201703,170320,J1,0,1850,25,25
201703,170327,J1,0,2350,25,75
201704,170403,J1,0,3000,0,50
201704,170410,J1,0,2375,25,50
201704,170417,J1,0,2000,50,50
201704,170424,J1,0,1925,25,50
201705,170502,J1,0,1525,25,75
201705,170508,J1,0,1125,0,100
201705,170515,J1,0,950,0,125
201705,170523,J1,0,1300,0,100
201705,170529,J1,0,500,0,75
201706,170605,J1,0,750,225,75
201706,170612,J1,0,700,125,50
201706,170619,J1,0,475,0,75
201706,170626,J1,0,825,0,75
201707,170703,J1,0,675,0,175
201707,170710,J1,0,500,0,100
201707,170717,J1,0,475,100,50
201707,170725,J1,0,225,150,50
201707,170731,J1,100,50,200,100
201708,170807,J1,100,125,400,75
201708,170814,J1,0,375,350,75
201708,170821,J1,325,325,650,50
201708,170828,J1,100,175,500,75
201709,170905,J1,200,200,300,50
201709,170911,J1,0,225,725,50
201709,170918,J1,0,475,525,125
201709,170925,J1,325,225,275,125
201710,171010,J1,0,425,375,125
201710,171016,J1,0,600,75,100
201710,171023,J1,0,500,475,25
201710,171030,J1,0,600,350,100
201711,171106,J1,0,600,400,225
201711,171113,J1,0,725,225,125
201711,171120,J1,0,1100,325,125
201711,171127,J1,0,1375,100,50
201712,171204,J1,0,350,225,100
201712,171211,J1,0,475,250,100
201712,171219,J1,0,350,325,175
201712,171226,J1,0,550,50,150
201801,180102,J1,0,675,25,100
201801,180108,J1,0,650,25,75
201801,180115,J1,0,675,50,75
201801,180122,J1,0,775,0,75
201801,180129,J1,0,725,0,25
201802,180205,J1,0,950,0,25
201802,180212,J1,0,900,25,50
201802,180219,J1,0,1100,25,75
201802,180226,J1,0,1125,50,75
201803,180305,J1,0,1375,25,50
201803,180312,J1,0,1100,0,75
201803,180319,J1,0,1250,25,200
201803,180326,J1,0,1250,25,150
201804,180402,J1,0,1175,50,125
201804,180409,J1,0,1475,0,50
201804,180417,J1,0,2025,125,50
201804,180423,J1,0,1750,0,150
201804,180430,J1,0,700,0,175
