number,site,month,pH,DO,Temp,EC,BOD,COD,SS,T_N,T_P,TOC,TC,NH3_N,PO4_P,Chl_a,FC,Flow,Rain
34,영산포,Oct-17,7.8,10.4,20,301,3.4,6.8,12.2,3.789,0.083,3.7,1183,0.582,0.024,45.3,918,17.424,62.7
35,영산포,Nov-17,7.5,11,12.7,448,3,7.7,10.7,5.276,0.066,4.2,908,1.108,0.007,51.9,664,15.681,1.4
36,영산포,Dec-17,7.8,14.5,6,525,5.4,9.3,16.8,7.247,0.09,5.2,1375,2.014,0.003,103,486,25.078,45.3
37,영산포,Jan-18,8.2,14.9,5.6,437,5.8,11,18.8,7.636,0.122,5.6,1130,2.905,0.021,129.5,120,7.29,58
38,영산포,Feb-18,8.3,16.1,5.5,447,4.6,9.7,13.7,9.432,0.089,5.1,835,5.143,0.008,64.8,420,10.175,39.3
39,영산포,Mar-18,7.6,13.1,13.1,320,5.4,10.4,24.8,6.634,0.15,5.2,5850,3.393,0.044,60.9,1004,38.267,152.7
40,영산포,Apr-18,7.7,11.4,17.4,290,5.1,8.9,28.1,5.022,0.121,4.5,22550,1.958,0.032,52.1,4505,43.437,169
41,영산포,May-18,7.6,13.4,21.7,270,5.2,9.1,20.1,3.941,0.127,5.3,6450,1.492,0.039,97.8,1005,38.195,89.3
42,영산포,Jun-18,7.7,12.4,26.7,288,5.7,11.9,21,4.233,0.153,5,1259,1.245,0.042,68.5,38,33.815,162
43,영산포,Jul-18,7.8,10.2,28.5,237,6.4,11.6,38.7,3.507,0.231,5.7,5804,0.677,0.071,134.5,1958,68.392,67.6
44,영산포,Aug-18,7.6,7.6,29.2,238,3.3,10.6,30.9,3.16,0.191,5.1,3915,1.167,0.106,63.7,2243,60.961,246.2
45,영산포,Sep-18,7.5,9.9,25.1,186,3,8.1,13.9,2.85,0.157,3.5,5867,0.412,0.062,88.1,3767,17.677,151.4
46,영산포,Oct-18,7.9,13.8,18.6,296,3.7,7.2,18.8,3.803,0.103,4.5,5700,0.413,0.051,98.4,3020,12.864,138.4
47,영산포,Nov-18,7.8,12.7,14.5,319,3.6,7,15.8,3.104,0.097,4.3,2963,0.726,0.019,56.1,571,8.473,51.1
48,영산포,Dec-18,7.7,9.1,8.3,342,4,6.9,18,4.143,0.089,3.9,5450,0.972,0.01,78.9,524,12.747,38.3
49,영산포,Jan-19,7.6,14.3,6.6,439,4.9,8.1,18.2,6.652,0.102,4.7,198,1.972,0.015,63.6,39,6.433,13.3
50,영산포,Feb-19,7.9,13.4,6.6,374,5.9,11.1,20.9,6.452,0.141,6.1,1400,1.705,0.005,157.7,108,7.281,29.6
51,영산포,Mar-19,7.9,14,11,339,6.1,9.5,34.7,6.849,0.135,5.6,1225,2.693,0.014,93.2,236,8.799,38.5
52,영산포,Apr-19,8,12.2,15.7,345,4.9,9.7,9.8,5.548,0.117,5.3,378,1.977,0.021,36.9,57,18.457,86.3
53,영산포,May-19,8.2,10.3,21.4,316,5.8,10.6,11.1,4.361,0.142,5.6,272,1.961,0.057,24.3,290,16.081,122.9
54,영산포,Jun-19,8.6,12.1,25.5,233,5.2,13.2,15,3.695,0.122,6.7,197,1.014,0.029,40.7,32,14.614,172.3
55,영산포,Jul-19,7.7,9.2,25.7,190,4.7,11.5,21,3.051,0.226,7.1,5566,0.541,0.091,27.4,2098,34.56,167
56,영산포,Aug-19,8.1,9.7,29.3,198,4.6,9.7,19.3,3.027,0.15,6.4,344,0.53,0.075,27.9,133,51.418,144.9
57,영산포,Sep-19,7.7,10.6,24.4,188,3.2,8.1,13.6,2.776,0.152,4,1469,0.363,0.076,49.2,797,42.173,259.3
58,영산포,Oct-19,7.9,13.1,19.2,228,1.7,6.3,9.2,3.313,0.063,3.3,1688,0.39,0.027,24.4,870,24.889,159
59,영산포,Nov-19,8,12.9,14.9,365,3.5,8.5,11.5,5.21,0.068,4.1,788,1.118,0.011,36.9,445,19.908,14.6
60,영산포,Dec-19,7.5,13.5,7.8,433,2.8,7.1,7.3,6.414,0.102,4.1,3990,2.181,0.051,21.3,1870,12.57,40.7
