Code,WT,DO,pH,EC,BOD,COD,TOC,SS,TN,TP,PO4-P,Chl-a,NO3-N,NH3-N,TC,FC,HRT,Toxic CYA,Non-toxic CYA
St 1-29,30.4,4.2,8.1,268,1.7,6.8,4.1,3.6,2.332,0.037,0.007,13.8,1.498,0.118,74,19,13.8 ,790,3225
St 1-30,30.6,4.5,8.2,309,1.6,6.5,4.5,4,2.133,0.034,0.000,13.4,1.23,0.067,23,10,11.9 ,1070,5440
St 1-31,27.7,5.7,8,314,2.2,6,4.2,9.2,1.710,0.024,0.008,13.1,1.039,0.159,670,49,8.6 ,230,0
St 1-32,24.7,6.9,7.7,228,1.7,5.7,4.4,7.6,1.578,0.041,0.011,12.3,1.045,0.134,1560,218,5.0 ,401,0
St 1-33,24.9,6.2,7.4,227,1.2,5.2,3.7,3.6,1.594,0.018,0.005,11.1,1.153,0.128,280,43,6.7 ,1364,1800
St 1-34,21.9,8,7.4,191,1.7,10,6.9,22,2.584,0.093,0.066,6,1.943,0.123,5700,450,4.8 ,150,365
St 1-35,21.4,8.4,7.6,202,1.7,8.3,5.9,6.8,2.551,0.057,0.039,8,2.036,0.095,470,75,4.9 ,691,1100
St 1-36,21.4,6.3,7.2,229,1.3,8.9,6,5.2,2.727,0.047,0.026,12,2.021,0.082,810,153,7.4 ,339,1200
St 1-37,19.3,8.4,7.5,201,0.7,8.3,5.6,10.8,2.741,0.095,0.065,6.5,2.174,0.073,5050,490,2.8 ,111,275
St 1-38,18.9,9.4,7.7,234,1.4,6.6,4.5,8.4,2.647,0.029,0.012,23.3,2.232,0.093,450,68,5.6 ,280,0
St 1-39,18.3,9.9,7.8,246,1.6,7.5,5,10.4,2.689,0.041,0.000,39,2.188,0.083,160,10,9.8 ,143,220
St 1-40,16.5,9.4,8,267,1.5,7.4,5.4,13.6,2.710,0.025,0.003,49,2.185,0.06,168,15,8.9 ,0,0
St 1-41,14,12,8.6,259,1.3,6.7,5.2,11.6,2.567,0.018,0.000,48,2.02,0.021,59,7,10.2 ,0,210
St 1-42,13,12.8,8.9,290,1.1,5.7,4.4,3.6,2.838,0.017,0.000,10.5,2.181,0.059,76,3,11.4 ,115,1370
St 1-43,12.9,10.7,8.4,325,1.5,5.3,3.8,3.2,3.031,0.017,0.000,9.9,2.312,0.102,290,15,11.7 ,0,827
St 1-44,9.8,12.9,8.3,315,1.1,5,3.5,7.2,2.730,0.019,0.000,16.2,2.203,0.078,215,21,12.3 ,0,2700
St 1-45,8.2,13.3,8.1,338,1.3,5,3.6,5.2,2.986,0.018,0.000,13.3,2.374,0.088,70,9,12.3 ,0,5890
St 1-46,6.8,12.6,8.1,340,1.7,4.6,3.4,3.2,2.919,0.021,0.000,11.6,2.307,0.155,40,3,13.1 ,0,1130
St 1-47,5.8,13.1,7.7,364,1.7,5.3,3.3,3.2,3.131,0.017,0.003,10.6,2.47,0.1,49,1,14.0 ,0,360
St 1-48,5.7,11.5,7.8,345,2,5.5,3.5,3.6,2.935,0.022,0.000,16.4,2.44,0.107,2050,73,7.8 ,0,440
St 2-1,5.5,13.5,7.9,374,2.6,5.6,3.1,2,1.861,0.020,0.000,8.1,1.163,0.171,5,0,38.2 ,1890,0
St 2-2,4.8,13.9,8.1,401,1.7,5.5,3.8,3,1.990,0.019,0.003,10.7,1.245,0.167,4,0,57.4 ,1160,0
St 2-3,3,11.8,8.1,428,1.6,5.5,3.5,3.2,2.365,0.017,0.003,12,1.184,0.269,13,0,85.9 ,48,0
St 2-4,4,13.4,8,415,2,5.7,3.8,4.2,2.687,0.027,0.006,15.8,1.721,0.204,15,0,61.4 ,0,0
St 2-5,4.5,13.5,8,416,2.4,6,3.4,4.4,2.834,0.026,0.004,17.4,1.823,0.179,11,0,36.4 ,0,0
St 2-6,5,16.5,8,423,2.9,6,4,5.2,2.683,0.026,0.004,14.1,1.822,0.194,38,0,43.8 ,0,0
St 2-7,6,14,7.9,438,2.7,6,4,4.8,3.166,0.022,0.006,13.1,2.082,0.36,23,1,31.8 ,0,100
St 2-8,7.1,16.2,8.2,534,2.7,6,4.2,5.8,3.938,0.033,0.004,24.4,2.534,0.454,77,0,11.5 ,0,0
St 2-9,8.5,13,8.1,480,2.9,6.1,4,5.4,3.775,0.042,0.004,19,2.616,0.322,62,0,23.5 ,0,0
St 2-10,10.6,12.8,8.3,422,2.7,6.2,4.5,4.2,3.397,0.038,0.007,11.8,2.483,0.121,44,0,34.2 ,0,0
St 2-11,10.5,10.8,7.8,428,2.3,5.1,3.2,4.6,2.927,0.027,0.000,12.3,2.395,0.198,57,0,45.4 ,0,0
St 2-12,11.5,9.8,7.7,416,2.1,5.1,3.5,6.8,3.225,0.032,0.003,13,2.463,0.25,152,17,14.9 ,0,21
St 2-13,14.3,9,7.8,412,2.1,5.8,4,6.8,3.202,0.042,0.005,11.3,2.543,0.177,233,1,11.1 ,46,100
St 2-14,15.9,10.8,7.9,309,1.7,5.9,4,7,2.898,0.043,0.004,14.7,2.351,0.062,105,2,6.3 ,24,0
St 2-15,16.6,9.7,8.2,267,2.4,6.1,4,8,2.628,0.047,0.000,25.5,1.943,0.029,141,5,6.8 ,34,630
St 2-16,18.5,12,8.8,245,2.4,7.4,5,8.2,2.369,0.029,0.004,43,1.896,0.022,268,3,9.5 ,211,1780
St 2-17,18.9,9,8.5,242,3.4,7.7,5.2,6.2,2.440,0.040,0.006,20.3,1.822,0.038,271,1,10.0 ,503,750
St 2-18,20.1,9,8.6,250,2.5,6.8,4.4,3.6,2.243,0.041,0.005,4.6,1.73,0.077,3900,0,14.9 ,4050,280
St 2-19,21.2,6.6,8.3,264,1.9,6.3,4.3,1.8,2.205,0.033,0.009,4.7,1.674,0.113,82,1,17.1 ,6200,800
St 2-20,22.1,5.8,7.6,244,1.6,5.8,3.9,2.2,2.129,0.018,0.005,7.9,1.553,0.214,30,0,21.1 ,3951,740
St 2-21,22.5,5.3,7.9,253,2,6.9,4,3,2.137,0.023,0.007,7.5,1.51,0.208,25,4,13.4 ,16328,5520
St 2-22,23.5,4.9,7.8,270,1.8,5.9,3.9,2.4,1.877,0.029,0.000,8.3,1.331,0.191,45,4,12.1 ,4040,1186
St 2-23,25.1,7.1,7.7,292,1.8,5.5,3.8,2.4,1.811,0.033,0.000,8.4,1.214,0.176,318,127,10.6 ,2921,327
St 2-24,25.4,7.5,7.3,268,2.8,5.3,3.6,4.2,1.282,0.040,0.022,7.3,0.843,0.277,570,58,7.9 ,3022,260
St 2-25,23,9.2,6.7,134,2.2,10.6,7.3,39,3.116,0.157,0.092,2.2,1.75,0.139,1180,180,1.2 ,465,200
St 2-26,25,7.6,7.3,176,1.7,7.8,5.8,6.8,3.405,0.091,0.062,9.6,2.614,0.084,123,22,5.4 ,554,9350
St 2-27,26.2,6.2,7.5,209,2.8,8.1,5.8,2.8,3.321,0.070,0.038,11.3,2.588,0.098,55,23,10.3 ,2622,200
St 2-28,27.7,4.8,8,228,2,7.5,5.3,3.6,3.156,0.044,0.008,19.8,2.343,0.075,86,8,11.0 ,4618,417
St 2-29,27.8,2.9,7.8,262,2.2,7.3,5.4,10.4,2.959,0.014,0.003,48.8,2.271,0.04,39,7,10.0 ,5104,180
St 2-30,29.4,4.2,8.3,245,2.3,7.2,4.7,3.2,2.508,0.045,0.007,7.8,1.619,0.13,113,25,14.4 ,5987,3600
St 2-31,29.3,3.5,8,268,1.6,6.1,5,2.8,2.290,0.039,0.003,5.7,1.338,0.051,41,15,16.4 ,1140,1040
St 2-32,27.5,5,7.8,298,1.7,5.8,4.4,7.6,1.794,0.030,0.017,9,1.079,0.196,64,17,13.4 ,1179,0
St 2-33,25.1,6.5,7.8,267,2.5,6.7,5.5,7.6,1.850,0.051,0.024,16.5,1.049,0.138,4000,105,6.8 ,760,30
St 2-34,25.1,6.3,7.8,255,1.9,6.1,4.4,5.2,1.578,0.025,0.008,25.3,1.014,0.151,223,35,8.5 ,3209,450
St 2-35,22.4,7.4,7.4,186,1.4,8,5.8,26,2.420,0.104,0.060,7.1,1.763,0.1,10750,1290,5.5 ,57,250
St 2-36,21.7,8.2,7.5,187,2,9,6.6,6,2.578,0.080,0.053,8.2,1.994,0.067,510,46,6.1 ,507,0
