yyyymm,Woochi,Gwangju1,Gwangju2,Gwangsan,Naju,Yeongsanpo,Hampyeong
2000/01,1,2,6,4,8,4,2
2000/02,75,2,30,22,1,2,2
2000/03,1,4,4,6,8,2,10
2000/04,1,4,7,8,5,6,3
2000/05,2,1,6,5,5,11,1
2000/06,1,3,18,26,4,40,1
2000/07,500,1000,20000,13000,7000,2500,900
2000/08,930,4900,55000,50000,30000,2200,100
2000/09,2600,4000,110000,50000,10000,2200,1600
2000/10,250,1000,25000,10000,6300,1400,100
2000/11,230,300,36000,22000,3400,1800,200
2000/12,230,680,55000,60000,780,1000,100
2001/01,350,350,30000,34000,1000,4600,100
2001/02,130,330,10000,6000,1400,3200,400
2001/03,350,600,6000,4000,2800,4000,700
2001/04,250,700,1200,1000,2900,700,400
2001/05,8,78,90,40,230,25,1
2001/06,55,81,330,280,230,55,6
2001/07,170,270,1700,60,1100,1900,370
2001/08,180,110,3400,5000,810,180,80
2001/09,250,63,6000,1600,230,240,20
2001/10,280,420,2500,1100,490,800,320
2001/11,150,540,1700,220,510,140,65
2001/12,56,58,1400,600,550,180,80
2002/01,210,330,9600,4200,1200,980,160
2002/02,160,110,3900,1900,910,180,80
2002/03,130,180,1500,1800,860,80,10
2002/04,330,130,7500,2400,1100,440,150
2002/05,530,840,9000,2600,1800,800,420
2002/06,640,610,2900,1100,2100,650,980
2002/07,1100,2600,9800,8500,5600,600,200
2002/08,1100,2,1900,900,3200,1600,230
2002/09,1300,1300,1900,3200,2200,2300,20
2002/10,580,1000,5700,3600,2800,1600,380
2002/11,240,1200,12000,12000,2600,1200,200
2002/12,280,1100,8600,9600,2900,580,180
2003/01,210,640,4900,5300,1600,320,120
2003/02,75,150,4900,5300,1400,90,58
2003/03,58,90,2800,6300,800,180,18
2003/04,78,83,3600,2700,1100,280,10
2003/05,140,680,4000,1600,930,300,30
2003/06,190,540,4000,1600,850,400,20
2003/07,180,350,6900,5300,1400,860,200
2003/08,250,630,7400,3800,1600,1200,260
2003/09,590,1300,3700,4200,2200,340,210
2003/10,480,1600,4800,5200,2000,300,140
2003/11,380,2000,7400,4400,1900,400,150
2003/12,150,300,6500,2600,1100,650,140
2004/01,200,490,3500,4700,980,200,50
2004/02,45,30,1700,800,975,160,20
2004/03,75,193,3400,400,430,60,5
2004/04,9,38,4200,500,213,150,20
2004/05,12,140,4600,2000,400,160,30
2004/06,9,164,5400,5300,273,15,20
2004/07,11,133,8400,1700,240,70,25
2004/08,15,91,4800,900,268,75,30
2004/09,28,70,2600,1900,161,15,10
2004/10,24,160,10000,3800,380,120,20
2004/11,42,154,6000,2100,296,190,95
2004/12,37,168,6000,2100,290,190,95
2005/01,32,99,1900,1500,176,75,110
2005/02,45,121,4900,2500,330,190,50
2005/03,71,135,7100,4100,228,160,120
2005/04,33,94,2700,3800,173,120,75
2005/05,46,180,3200,4100,350,160,90
2005/06,54,193,2900,3100,358,95,120
2005/07,37,168,6000,2100,290,95,70
2005/08,40,156,5500,1900,268,100,80
2005/09,34,168,5700,1800,288,110,88
2005/10,25,176,9800,3000,344,100,18
2005/11,30,213,4500,800,208,165,82
2005/12,22,160,3000,700,175,120,72
2006/01,13,100,2000,100,113,100,60
2006/02,22,160,3000,700,175,120,72
2006/03,22,160,3000,700,175,120,72
2006/04,21,164,2500,100,180,200,80
2006/05,38,119,1250,9,228,201,104
2006/06,81,219,1185,550,64,294,250
2006/07,912,1090,1280,830,1523,0,1050
2006/08,625,450,3300,3000,425,2200,4200
2006/09,6175,7925,7100,5400,7225,3600,3800
2006/10,5752,27728,6400,5400,23904,2600,2800
2006/11,3350,2750,5200,1600,2900,2200,1800
2006/12,1150,1375,3400,2600,985,2600,2200
2007/01,800,904,2000,178,724,2600,1600
2007/02,1833,850,6400,1767,1367,550,1100
2007/03,1500,1567,1600,1667,2133,800,1100
2007/04,3148,2740,4500,3300,3720,9000,6200
2007/05,2875,2375,2500,2700,2265,3300,1500
2007/06,2800,2075,4300,2325,2350,2000,1500
2007/07,2992,1908,5300,3040,2684,4200,2600
2007/08,770,795,0,805,1405,0,0
2007/09,1040,2140,3100,1400,640,1000,400
