yyyymm,Woochi,Gwangju1,Gwangju2,Gwangsan,Naju,Yeongsanpo,Hampyeong
2008/07,14.7,16.2,49.6,36.1,13.4,12.8,21.9
2008/08,8.6,13.8,7.6,13.7,12.8,1.2,18.9
2008/09,5.9,7.5,8.4,12.6,4.1,12,12.5
2008/10,5,9.2,9.2,12.8,3.1,5.2,21.4
2008/11,10.8,15.8,32.4,19.3,10.3,16,15
2008/12,6,14.6,11.6,17,9.9,12.8,17.6
2009/01,3.4,7.9,8,11.8,15.6,9.6,17.3
2009/02,8.2,17.8,19.2,15.5,21.5,18,14.6
2009/03,10,25.7,25.6,20.4,26.8,27.2,21
2009/04,18.2,26.2,18,22.2,26.2,23.6,14.4
2009/05,14.7,28.8,16.8,21.4,29.2,15.2,15.7
2009/06,11.9,25.5,41.3,20.4,36.9,37.3,22.5
2009/07,5.9,30.1,69.2,9.3,35.7,60.8,33.2
2009/08,11.9,15.5,46.4,19.2,18.7,21.6,18.4
2009/09,8.9,13.6,17.2,9.4,12.8,18,17.6
2009/10,5.1,8.4,7.6,7.7,6.3,12.4,18.4
2009/11,7.3,11,6.8,10.3,7.8,5.2,20.9
2009/12,5.1,10.2,9.2,11,13.3,8.8,16.5
2010/01,3.8,5.1,8,9.9,10.6,3.2,18.3
2010/02,4.9,10.5,8.4,16.7,28.8,19.6,24.3
2010/03,7.3,9,17.6,15.9,24.9,63,26.2
2010/04,11.3,15.5,14.4,25.6,30.6,35.2,44.3
2010/05,11.3,19,1.6,19.4,23.1,4.8,19.2
2010/06,8.4,22,34.4,31.5,48.4,35.2,11.1
2010/07,16.9,30.7,29.2,39.1,48.6,33.2,26
2010/08,14.1,31.5,25.2,43.5,39.8,15.2,37.8
2010/09,23,32.4,57.2,18.1,45,141.6,35.4
2010/10,11,20.8,17.2,11.6,25.9,34.4,36.6
2010/11,6.9,22.5,27.6,24.7,54,70,36.4
2010/12,9.9,35.9,20,35.5,36.2,67.2,59.4
2011/01,7.4,18.6,22.8,23.9,26.1,46.8,38.8
2011/02,12.7,26.3,12.4,27.3,31.1,18.8,65.3
2011/03,26.6,43.1,32.8,34.7,81.5,57.2,84.1
2011/04,30.1,31.8,22,39.4,37.4,46.8,37.2
2011/05,28.4,55.5,40.4,34.2,60.7,52,51.4
2011/06,26.3,49.2,52.4,36.4,61.5,69.2,30.2
2011/07,38.7,74.4,37.6,111.5,59.8,142.8,51.4
2011/08,16.9,32.3,46.4,16.1,37.3,121.6,68.8
2011/09,8,27.3,12,10.2,14.4,45.2,76
2011/10,10.6,21.1,10,11,8.8,7.6,143.2
2011/11,15.9,26.3,8.8,22.4,19.1,18.8,23.2
2011/12,6.5,9.7,6.8,5.5,9.2,8,15.2
2012/01,6.9,14.8,6.4,16.9,11.3,10.4,15.7
2012/02,8,19.8,10.8,13.8,19.8,14.8,26
2012/03,16.9,23.1,14.4,16,22.6,19.2,16.4
2012/04,17.6,19.8,16.4,16.4,13.1,22.4,35
2012/05,19.4,20.2,14.8,12.8,11.8,7.2,30.1
2012/06,14.9,23.9,20.8,13.7,16.4,19.2,24.4
2012/07,18.4,31.4,8,21.8,26.9,16.8,39
2012/08,11.6,20.5,8.4,17.4,12.7,10.8,32
2012/09,12.7,23.3,18.4,11.2,11,16.4,20.7
2012/10,9.5,11.9,6.4,8.7,9.1,10.4,50.3
2012/11,3.9,6.9,5.6,5.4,7.3,10,17.2
2012/12,5,5.7,4,9.5,7.6,4,9.8
2013/01,4.5,9,5.6,5.8,4.2,4,13
2013/02,5.7,11.2,15.2,8.2,6.5,10.4,13.6
2013/03,19.6,22.4,11.2,16.9,21.3,7.6,32.4
2013/04,12.3,17.2,14.4,10.1,8.1,9.6,18.9
2013/05,20.5,21.9,10,11,14.3,10,19.7
2013/06,13.8,48.6,16.4,11.8,39.8,7.6,29.9
2013/07,11.8,18.4,3.6,14.3,12.1,4,56.6
2013/08,17.5,15,15.6,10.6,18.5,117.1,29.6
2013/09,9.3,11.6,6,6.7,8.4,12.4,26
2013/10,7.9,15,9.6,9.6,8.6,6.4,29.8
2013/11,8.9,10.8,10.4,14,13.4,15.2,29.7
2013/12,3.9,4.9,5.6,6.2,6.3,10.4,9.9
2014/01,5.4,13.2,7.6,8.1,10.3,14.4,14.1
2014/02,11.6,20.3,10.4,15.1,12,13.6,18.8
2014/03,20.8,21.5,10.4,11.1,11.3,12.4,22.9
2014/04,14.7,17.4,18.4,12.4,6.8,5.2,13.1
2014/05,22.6,11.4,11.6,15.4,7,7.6,23.6
2014/06,11.5,11.3,9.2,13.5,10.2,10.4,20.3
2014/07,9.5,10.7,11.6,12.8,13.4,12,30.4
2014/08,17.1,15.3,8,29.7,11.9,8.4,27.3
2014/09,7,17.8,4.8,8.6,7.6,7.6,18
2014/10,5.8,13,5.2,9.5,10.9,11.2,22.6
2014/11,4.1,16.9,4.8,10.4,22.9,6.8,36.7
2014/12,2.8,5.3,2.8,5,5.9,8,22
2015/01,4.6,4.5,4.9,6.4,3.8,5,15.1
2015/02,4.6,5.7,9.7,6.7,8.4,8.2,17
2015/03,12.2,14.3,10,13.4,13.6,13.9,19.5
2015/04,20.2,15.6,16.5,12.5,8.5,9.6,17.8
2015/05,12.1,26.4,14.5,11.5,11.6,8.7,20
2015/06,13,14.7,18.4,13.2,13.6,12,19.6
2015/07,8,18.6,13.3,9.6,9.2,10.2,19.2
