yyyymm,Woochi,Gwangju1,Gwangju2,Gwangsan,Naju,Yeongsanpo,Hampyeong
2013/10,369,244,341,357,272,235,268
2013/11,309,189,212,384,275,290,412
2013/12,358,346,391,473,385,293,451
2014/01,352,344,394,485,378,391,551
2014/02,339,238,426,482,288,394,547
2014/03,394,314,456,457,398,446,557
2014/04,367,263,365,427,281,280,422
2014/05,276,218,323,382,243,298,375
2014/06,291,209,276,338,252,249,319
2014/07,227,214,205,295,207,292,277
2014/08,129,135,219,152,134,154,141
2014/09,244,211,253,282,253,243,193
2014/10,263,224,294,332,252,217,209
2014/11,303,156,234,360,177,197,280
2014/12,300,289,444,416,290,288,253
2015/01,279,311,413,403,369,374,373
2015/02,315,312,450,422,397,336,345
2015/03,376,329,468,430,367,374,361
2015/04,285,264,393,346,311,314,314
2015/05,255,187,378,309,275,225,237
2015/06,268,239,329,290,311,314,279
2015/07,237,178,240,237,205,202,201
2015/08,231,171,285,291,234,220,274
2015/09,290,223,304,322,228,241,219
2015/10,298,248,345,313,249,222,226
2015/11,294,292,380,349,352,346,330
2015/12,301,303,416,341,339,341,309
2016/01,317,328,481,417,353,374,351
2016/02,271,319,410,355,363,363,353
2016/03,287,257,408,317,271,276,265
2016/04,255,205,281,284,220,269,272
2016/05,264,212,299,287,222,216,213
2016/06,243,222,326,288,266,271,281
2016/07,204,204,265,230,200,192,178
2016/08,286,244,348,317,276,261,268
2016/09,204,212,304,276,240,226,191
2016/10,190,197,268,220,192,187,185
2016/11,323,230,336,371,333,260,285
2016/12,356,290,469,428,428,411,349
2017/01,327,336,468,432,363,380,346
2017/02,307,321,443,473,427,389,385
2017/03,366,282,458,428,401,391,407
2017/04,329,276,379,369,293,344,362
2017/05,364,311,494,445,417,409,356
2017/06,332,245,352,351,368,336,373
2017/07,225,217,269,274,194,228,273
2017/08,183,161,210,262,250,232,234
2017/09,221,188,361,272,236,223,167
2017/10,346,281,414,388,397,301,263
2017/11,493,339,479,480,410,448,369
2017/12,363,376,512,559,486,525,471
2018/01,328,355,485,561,500,437,474
2018/02,440,354,448,548,507,447,465
2018/03,261,263,337,386,342,320,401
2018/04,272,229,326,364,346,290,271
2018/05,253,215,309,306,277,270,280
2018/06,255,251,303,382,357,288,323
