spot,Flow,Temperature,pH,DO,BOD,COD,SS,EC,TN,NO3N,NH3N,TP,PO4P,TOC
광주천2,1.171,16.3,7.7,10.4,4.9,9.3,16.1,334,3.691,2.412,0.361,0.137,0.029,6.5
고막원천4,2.791,15.7,7.7,10.6,3.2,7.8,38.7,256,2.276,1.554,0.083,0.107,0.026,5.6
만봉천,0.800,15.5,7.3,11.1,2.2,7.1,11.3,270,2.103,1.353,0.100,0.126,0.060,5.5
무안천,0.235,15.6,7.1,7.4,7.3,13.4,43.7,643,7.551,0,0,0.340,0,9.3
문평천,0.186,14.9,7.2,10.4,2.1,5.9,9.8,225,2.441,1.836,0.111,0.067,0.023,4.3
삼포천2,0,16.5,7.4,9.8,3.8,10.4,62.4,537,2.812,1.718,0.158,0.129,0.016,7.9
영산천,0.512,15.8,7.5,11.3,2.4,7.0,23.5,318,5.083,4.004,0.296,0.187,0.110,5.4
영암천2,0,17.0,7.4,10.2,2.9,7.9,28.2,718,2.393,1.582,0.131,0.081,0.012,6.1
장성천2,0.701,15.4,7.4,11.0,4.4,9.1,33.8,292,3.940,2.215,0.702,0.280,0.169,6.8
지석천4,4.459,15.4,7.7,10.5,2.7,7.4,11.2,294,3.342,2.600,0.083,0.155,0.089,5.5
평동천,0.671,15.2,7.3,9.3,3.5,8.5,23.0,320,4.880,3.579,0.439,0.265,0.158,6.2
풍영정천2,0.469,15.3,7.7,11.4,3.9,8.0,22.4,277,2.108,1.261,0.210,0.111,0.025,6.0
함평천3,2.852,15.7,7.6,9.9,3.9,9.6,47.4,424,4.063,2.826,0.339,0.171,0.053,7.0
황룡강5,4.163,16.2,7.8,11.1,3.1,6.7,19.0,283,1.426,0.841,0.087,0.077,0.016,5.1
