spot,Flow,Temperature,pH,DO,BOD,COD,SS,EC,TN,NO3N,NH3N,TP,PO4P,TOC
광주천2,1.320,16.9,7.1,10.7,4.5,8.3,10.7,305,4.095,2.646,0.710,0.146,0.063,5.3
고막원천4,5.274,16.0,8.0,10.8,3.4,8.9,40.5,214,2.625,1.926,0.080,0.141,0.054,5.8
만봉천,1.373,16.5,7.7,12.2,2.0,6.5,10.3,256,2.206,1.706,0.063,0.119,0.071,4.5
무안천,0.190,17.4,7.1,9.2,5.1,11.3,29.1,570,7.511,0,0,0.251,0,7.6
문평천,0.426,16.1,7.1,11.5,1.3,4.7,7.2,189,2.908,2.559,0.034,0.043,0.018,3.1
삼포천2,0,17.5,7.3,9.1,3.4,10.6,96.1,484,3.791,2.604,0.357,0.191,0.058,7.1
영산천,0.887,18.2,7.5,11.3,2.5,7.4,23.4,304,5.705,4.557,0.491,0.197,0.135,5.0
영암천2,0,17.7,7.5,10.4,2.7,8.0,44.8,733,2.692,1.900,0.179,0.113,0.032,5.6
장성천2,0.806,16.9,7.5,11.1,4.1,9.0,16.9,280,3.938,2.371,0.624,0.308,0.233,6.0
지석천4,6.611,16.1,7.5,11.8,2.6,6.8,11.3,252,3.164,2.554,0.083,0.109,0.054,4.4
평동천,0.387,15.9,7.2,10.4,3.4,8.5,21.1,312,4.920,3.719,0.440,0.259,0.172,5.9
풍영정천2,0,16.2,7.1,10.9,3.7,7.7,13.8,274,2.606,1.749,0.245,0.138,0.059,5.5
함평천3,5.333,15.6,7.0,9.1,2.8,8.5,35.9,310,3.415,2.404,0.359,0.161,0.076,5.6
황룡강5,6.613,16.2,7.5,11.1,3.1,7.2,13.5,240,1.785,1.109,0.172,0.082,0.024,4.5
