spot,Flow,Temperature,pH,DO,BOD,COD,SS,EC,TN,NO3N,NH3N,TP,PO4P,TOC
광주천2,2.455,16.2,7.3,9.6,5.1,8.2,25.8,297,4.479,2.487,1.251,0.156,0.073,5.2
고막원천4,5.301,15.9,7.5,10.7,3,7.1,42.2,221,2.61,1.884,0.117,0.092,0.028,4.7
만봉천,1.49,15.3,7.3,10.7,2.7,7.1,19,208,2.446,1.713,0.136,0.101,0.048,4.6
무안천,0.436,15.8,7.3,9.4,8.6,12.9,38.1,514,9.074,0,0,0.379,0,8.1
문평천,0.343,15.1,7.1,10.7,2.1,4.8,16.1,235,3.837,3.224,0.14,0.068,0.031,3.1
삼포천2,0.667,16.2,7.4,9.6,4.1,11.3,108.2,362,2.963,1.778,0.262,0.167,0.04,6.7
영산천,0.697,15.4,7.5,11,7,13.2,37.5,313,7.916,4.134,2.228,0.378,0.235,8.3
영암천2,0,16.3,7.6,9.9,2.7,7.8,40.2,424,2.883,1.877,0.219,0.109,0.03,5.1
장성천2,1.193,15.5,7.4,10.1,4.3,8.4,20.2,241,3.782,2.206,0.702,0.181,0.126,5.5
지석천4,6.095,16,7.6,10.7,2.5,5.6,12.4,219,2.793,2.013,0.087,0.074,0.038,3.7
평동천,0.52,15.2,7.4,10.3,3.5,7.8,46,241,3.813,2.71,0.384,0.166,0.09,5.2
풍영정천2,1.453,15.8,7.5,11.3,3.5,6.8,30.8,232,2.452,1.412,0.444,0.111,0.05,4.4
함평천3,3.593,15.6,7.2,9,4.9,9.1,49.5,328,5.278,2.929,1.357,0.161,0.055,5.6
황룡강5,6.766,16.1,7.6,10.6,2.6,5.6,10.9,204,1.721,1.196,0.103,0.093,0.05,3.7
