spot,Flow,Temperature,pH,DO,BOD,COD,SS,EC,TN,NO3N,NH3N,TP,PO4P,TOC
광주천2,1.349,16.5,7.4,9.5,3.8,6.6,11.6,335,4.723,2.727,0.864,0.140,0.046,4.6
고막원천4,2.747,16.1,7.4,10.2,3.0,6.6,30.4,228,2.628,1.668,0.165,0.139,0.048,4.8
만봉천,1.118,15.8,7.3,10.8,2.0,5.9,11.9,230,2.145,1.292,0.134,0.117,0.052,4.7
무안천,0.167,15.7,7.1,7.5,9.0,10.8,18.9,627,9.518,0,0,0.245,0,7.8
문평천,0.229,15.3,7.2,9.7,1.7,4.1,9.9,214,2.802,2.064,0.094,0.068,0.022,2.9
삼포천2,0,16.8,7.5,9.5,5.0,9.7,63.9,387,2.937,1.527,0.204,0.167,0.017,6.5
영산천,0.519,15.9,7.5,11.1,3.7,8.2,17.7,306,5.563,3.720,0.639,0.299,0.191,6.3
영암천2,0,17.0,7.6,9.9,3.2,7.2,40.4,484,2.698,1.528,0.179,0.117,0.014,5.3
장성천2,0.999,15.1,7.2,9.9,4.2,7.5,27.6,253,3.550,2.003,0.522,0.253,0.138,5.9
지석천4,6.304,16.0,7.5,10.7,2.4,5.6,11.3,236,2.954,2.030,0.127,0.173,0.105,4.2
평동천,0.372,15.4,7.3,9.6,3.5,7.1,14.8,271,3.934,2.582,0.382,0.190,0.101,5.7
풍영정천2,1.228,16.1,7.7,11.5,3.1,6.2,11.4,236,2.179,1.252,0.208,0.130,0.050,4.6
함평천3,1.936,15.7,7.1,8.5,3.6,7.1,30.8,372,4.312,2.757,0.445,0.154,0.045,5.7
황룡강5,5.612,16.3,7.5,10.6,2.3,5.3,8.3,230,1.677,0.958,0.090,0.115,0.053,3.8
