BIX,FI,site
0.69,1.3,JS-01
0.7,1.29,JS-02
0.71,1.34,JS-03
0.67,1.27,JS-04
0.73,1.32,JS-05
0.69,1.35,JS-06
0.69,1.29,JS-07
0.73,1.36,JS-08
0.74,1.33,JS-09
0.77,1.38,JS-10
0.74,1.37,JS-11
0.74,1.35,JS-12
0.73,1.35,JS-13
0.72,1.36,JS-14
0.73,1.3,JS-15
0.7,1.35,JS-16
0.73,1.31,JS-17
0.74,1.32,JS-18
0.71,1.31,JS-19
0.77,1.31,JS-20
0.77,1.35,JS-21
0.91,1.4,JS-22
0.8,1.34,JS-23
0.78,1.36,JS-24
0.79,1.3,JS-25
0.76,1.37,JS-26
0.81,1.31,JS-27
0.75,1.37,JS-28
0.8,1.32,JS-29
0.76,1.42,JS-30
0.78,1.36,JS-31
0.76,1.32,JS-32
0.84,1.38,JS-33
0.76,1.32,JS-34
0.78,1.36,JS-35
0.78,1.34,JS-36
