BIX,FI,site
0.65,1.26,JS-01
0.7,1.31,JS-02
0.68,1.3,JS-03
0.67,1.27,JS-04
0.82,1.3,JS-05
0.65,1.27,JS-06
0.67,1.27,JS-07
0.73,1.36,JS-08
0.76,1.29,JS-09
0.71,1.35,JS-10
0.76,1.3,JS-11
0.74,1.38,JS-12
0.73,1.28,JS-13
0.67,1.34,JS-14
0.72,1.3,JS-15
0.7,1.35,JS-16
0.71,1.33,JS-17
0.76,1.32,JS-18
0.74,1.29,JS-19
0.72,1.33,JS-20
0.78,1.32,JS-21
1.12,1.47,JS-22
0.76,1.3,JS-23
0.81,1.37,JS-24
0.88,1.35,JS-25
0.72,1.37,JS-26
0.74,1.32,JS-27
0.75,1.33,JS-28
0.75,1.29,JS-29
0.76,1.4,JS-30
0.74,1.31,JS-31
0.74,1.3,JS-32
0.72,1.31,JS-33
0.74,1.3,JS-34
0.72,1.32,JS-35
0.77,1.32,JS-36
