BIX,FI,site
0.68,1.31,JS-01
0.67,1.23,JS-02
0.65,1.25,JS-03
0.62,1.23,JS-04
0.64,1.28,JS-05
0.66,1.28,JS-06
0.66,1.3,JS-07
0.69,1.3,JS-08
0.71,1.23,JS-09
0.67,1.2,JS-10
0.67,1.31,JS-11
0.75,1.34,JS-12
0.72,1.34,JS-13
0.69,1.31,JS-14
0.7,1.31,JS-15
0.7,1.31,JS-16
0.72,1.31,JS-17
0.71,1.24,JS-18
0.71,1.25,JS-19
0.76,1.33,JS-20
0.7,1.33,JS-21
0.75,1.37,JS-22
0.72,1.29,JS-23
0.75,1.29,JS-24
0.72,1.31,JS-25
0.72,1.31,JS-26
0.7,1.29,JS-27
0.77,1.36,JS-28
0.69,1.29,JS-29
0.75,1.34,JS-30
0.71,1.29,JS-31
0.75,1.31,JS-32
0.8,1.35,JS-33
0.7,1.31,JS-34
0,0,JS-35
0.7,1.3,JS-36
