BIX,FI,site
0.72,1.31,JS-01
0.69,1.29,JS-02
0.7,1.24,JS-03
0.67,1.27,JS-04
0.69,1.31,JS-05
0.68,1.3,JS-06
0.69,1.3,JS-07
0.7,1.32,JS-08
0.7,1.29,JS-09
0.74,1.36,JS-10
0.74,1.32,JS-11
0.7,1.28,JS-12
0.74,1.32,JS-13
0.73,1.32,JS-14
0.72,1.32,JS-15
0.72,1.35,JS-16
0.72,1.36,JS-17
0.74,1.41,JS-18
0.74,1.36,JS-19
0.76,1.33,JS-20
0.81,1.35,JS-21
1.23,1.5,JS-22
0.8,1.38,JS-23
0.73,1.33,JS-24
0.82,1.36,JS-25
0.79,1.38,JS-26
0.81,1.32,JS-27
0.77,1.35,JS-28
0.85,1.37,JS-29
0.76,1.44,JS-30
0.82,1.33,JS-31
0.73,1.33,JS-32
0.78,1.36,JS-33
0.81,1.33,JS-34
0.74,1.35,JS-35
0.78,1.35,JS-36
