BIX,FI,site
0.72,1.27,JS-01
0.77,1.38,JS-02
0.75,1.37,JS-03
0.66,1.31,JS-04
0.76,1.33,JS-05
0.7,1.34,JS-06
0.74,1.39,JS-07
0.75,1.38,JS-08
0.74,1.33,JS-09
0.73,1.4,JS-10
0.76,1.32,JS-11
0.75,1.37,JS-12
0.75,1.31,JS-13
0.75,1.37,JS-14
0.73,1.31,JS-15
0.72,1.32,JS-16
0.73,1.33,JS-17
0.69,1.29,JS-18
0.73,1.31,JS-19
0.74,1.31,JS-20
0.8,1.33,JS-21
0.98,1.43,JS-22
0.75,1.34,JS-23
0.75,1.36,JS-24
0.76,1.27,JS-25
0.74,1.34,JS-26
0.77,1.32,JS-27
0.77,1.34,JS-28
0.74,1.31,JS-29
0.75,1.36,JS-30
0.73,1.31,JS-31
0.75,1.32,JS-32
0.86,1.37,JS-33
0.74,1.3,JS-34
0.74,1.36,JS-35
0.75,1.33,JS-36
