BIX,FI,site
0.67,1.26,JS-01
0.71,1.26,JS-02
0.67,1.2,JS-03
0.65,1.24,JS-04
0.68,1.24,JS-05
0.67,1.25,JS-06
0.69,1.31,JS-07
0.71,1.34,JS-08
0.7,1.3,JS-09
0.71,1.29,JS-10
0.7,1.34,JS-11
0.8,1.36,JS-12
0.73,1.25,JS-13
0.7,1.33,JS-14
0.72,1.33,JS-15
0.68,1.31,JS-16
0.73,1.32,JS-17
0.67,1.26,JS-18
0.7,1.28,JS-19
0.73,1.35,JS-20
0.73,1.32,JS-21
0.78,1.35,JS-22
0.71,1.31,JS-23
0.71,1.29,JS-24
0.71,1.3,JS-25
0.71,1.27,JS-26
0.73,1.29,JS-27
0.77,1.35,JS-28
0.71,1.34,JS-29
0.76,1.36,JS-30
0.73,1.3,JS-31
0.73,1.34,JS-32
0.78,1.34,JS-33
0.72,1.26,JS-34
0.7,1.34,JS-35
0.72,1.29,JS-36
