T-N,NH3-N
6.634,3.393
5.022,1.958
3.941,1.492
4.233,1.245
3.507,0.677
3.16,1.167
2.85,0.412
3.803,0.413
3.104,0.726
4.143,0.972
6.652,1.972
6.452,1.705
6.849,2.693
5.548,1.977
4.361,1.961
3.695,1.014
3.051,0.541
3.027,0.53
2.776,0.363
3.313,0.39
5.21,1.118
6.414,2.181
5.335,1.648
6.035,2.221
6.218,2.593
5.008,2.079
3.289,1.062
3.855,1.412
2.966,0.57
3.023,0.647
2.776,0.459
2.916,0.52
4.355,0.956
4.391,0.84
4.95,0.418
4.708,0.946
4.281,0.887
4.03,0.885
2.901,0.445
3.753,1.157
2.488,0.475
2.528,0.785
2.82,0.672
2.841,0.622
4.171,0.622
5.176,0.974
4.934,0.777
6.062,1.212
5.89,1.932
5.514,2.329
4.829,1.515
3.992,1.02
3.294,1.163
2.368,0.517
2.228,0.12
3.108,0.677
4.797,1.147
6.218,1.854
6.771,2.66
7.686,4.539
6.632,3.478
4.52,1.629
3.909,1.546
3.897,1.318
2.975,0.515
2.8,0.991
2.537,0.256
2.975,0.206
4.056,0.88
5.522,1.429
7.198,1.775
6.292,2.299
6.492,2.755
4.441,2.08
3.878,2.154
2.811,1.181
2.46,0.421
2.128,0.347
2.608,0.339
3.111,0.181
4.537,0.597
5.832,1.843
5.134,1.457
5.714,1.809
6.029,2.214
4.748,1.872
3.242,0.854
3.725,1.261
2.928,0.497
3.431,0.729
2.514,0.347
2.841,0.409
3.945,0.673
4.364,0.861
5.226,0.3
5.067,1.062
4.042,0.678
3.852,0.735
2.573,0.259
3.751,0.985
2.459,0.323
2.578,0.576
2.502,0.444
3.037,0.502
4.027,0.538
4.594,0.843
4.325,0.724
5.665,0.809
5.857,1.943
5.697,2.073
4.327,1.112
3.892,1.182
3.168,1.111
3.01,0.914
2.183,0.176
2.886,0.545
4.581,0.998
5.655,1.297
6.551,2.274
7.818,4.195
7.502,4.24
4.374,1.529
4.07,1.658
3.717,1.135
3.009,0.459
2.745,0.804
2.585,0.251
2.898,0.219
4.147,0.95
4.971,1.212
7.118,1.624
6.277,2.434
6.171,2.785
4.295,1.758
4.093,2.031
2.939,0.995
2.494,0.38
2.069,0.499
2.399,0.176
3.255,0.206
4.056,0.362
5.492,1.965
4.808,1.085
5.078,1.292
5.719,1.868
4.621,1.609
3.145,0.795
3.573,1.104
2.907,0.451
2.893,0.514
2.433,0.261
2.975,0.498
3.721,0.587
4.374,0.838
4.621,0.154
5.102,0.937
3.945,0.566
3.519,0.499
2.858,0.248
3.481,0.745
2.324,0.239
2.126,0.243
2.447,0.331
3.149,0.355
3.727,0.404
4.374,0.573
4.429,0.746
5.129,0.457
5.711,1.773
5.336,1.643
3.728,0.79
3.847,0.97
3.315,1.039
3.117,0.99
2.144,0.152
2.717,0.491
4.118,0.689
5.091,1.067
6.747,2.313
6.701,2.794
7.046,3.458
4.435,1.593
3.502,1.051
3.163,0.776
