,1 ,2,3,4,5,6,7,8,9,10,11,12
2016,5.1 ,8.6 ,19.5 ,12.8 ,10.1 ,7.0 ,10.7 ,9.7 ,9.1 ,11.8 ,8.7 ,10.0 
2017,9.0 ,14.7 ,16.0 ,9.9 ,11.0 ,13.7 ,10.3 ,13.7 ,10.5 ,10.1 ,13.7 ,17.3 
2018,13.0 ,14.1 ,25.3 ,47.7 ,36.6 ,24.4 ,43.6 ,23.2 ,10.3 ,9.5 ,10.6 ,9.5 
2019,10.1 ,19.1 ,12.2 ,29.8 ,13.3 ,14.3 ,14.9 ,19.7 ,8.8 ,10.3 ,8.7 ,14.0 
