year,month,flow,temp,pH,DO,BOD,COD,SS,EC,T_N,DTN,NO3_N,NH3_N,T_P,DTP,PO4_P,Chl_a,TOC,TC,FC
2013,7,24.238,26.5,7.5,7.4,2.3,7.1,11.8,236,1.867,1.803,1.217,0.104,0.101,0.07,0.048,22,5.1,6036,1282
2013,8,18.054,28.2,7.3,7.7,3.1,8.2,17.5,221,1.579,1.482,0.953,0.087,0.126,0.076,0.056,18,5.6,14050,4991
2013,9,6.977,23.5,7.2,8.6,2.6,6.9,9.3,246,1.659,1.534,1.147,0.062,0.083,0.048,0.035,20.9,4.7,1670,448
2013,10,3.705,19.3,7.5,8.8,2.5,6.5,7.9,369,1.616,1.484,1.053,0.041,0.065,0.034,0.017,28.6,4.5,2073,330
2013,11,6.325,10.9,7.4,10.8,3,5.8,8.9,309,1.995,1.889,1.297,0.226,0.094,0.051,0.035,16.9,4.6,7900,800
2013,12,3.649,5.3,7.3,42.7,1.9,3.7,3.9,358,3.071,2.971,2.697,0.162,0.064,0.046,0.035,5.8,3.3,538,177
2014,1,2.453,2.4,7.5,11.8,2.4,3.9,5.4,352,3.396,3.32,3.017,0.163,0.064,0.036,0.023,17.7,2.6,398,59
2014,2,2.487,4.8,8.4,13.9,3.9,5.7,11.6,339,2.99,2.571,2.277,0.095,0.092,0.024,0.008,40.2,4.2,310,96
2014,3,1.915,9.1,8.5,13,6.1,9.1,20.8,394,2.226,1.774,1.342,0.076,0.117,0.023,0.006,91.4,6.8,237,96
2014,4,4.267,15.8,7.8,10.2,4,7.5,14.7,367,1.437,1.206,0.809,0.067,0.09,0.029,0.012,52.3,5.3,5724,298
2014,5,6.879,19.7,7.3,8.6,5.2,9.2,22.6,276,1.772,1.545,0.588,0.357,0.163,0.068,0.044,34.7,7.4,14633,2367
2014,6,4.678,24,7.3,6.6,3.9,8.2,11.5,291,2.313,2.162,1.025,0.354,0.138,0.075,0.054,16.3,7.9,2550,371
2014,7,6.229,25.6,7.3,6.9,3.4,7.3,9.5,227,1.709,1.554,0.936,0.122,0.106,0.05,0.037,24.8,6,24670,8810
2014,8,38.377,24.2,7.3,8.6,1.7,5.4,17.1,129,1.894,1.857,1.308,0.189,0.108,0.067,0.057,3.6,3.5,13275,2038
2014,9,7.388,22.4,7.3,8.4,1.5,4.4,7,244,1.56,1.444,0.964,0.063,0.071,0.045,0.035,3.8,3.6,3546,782
2014,10,6.277,17.8,7.1,9.2,2.2,5.3,5.8,263,1.775,1.751,1.2,0.11,0.073,0.052,0.04,3.7,4.5,8670,855
2014,11,4.804,11.4,7.3,11.3,1.6,4.3,4.1,303,2.048,2.002,1.483,0.08,0.06,0.037,0.028,8.3,3.7,2898,219
2014,12,8.434,5,7.2,13.6,1,3.8,2.8,300,2.522,2.433,2.004,0.119,0.044,0.029,0.025,2.4,2.9,2404,536
2015,1,4.897,4.3,7.2,13.9,1.6,3.8,4.6,279,2.619,2.557,2.083,0.151,0.044,0.026,0.019,4.9,3,1260,139
2015,2,4.571,4.8,7.1,12.7,2,3.6,4.6,315,2.589,2.564,2.112,0.145,0.051,0.03,0.02,6.5,3,2605,785
