year,month,flow,temp,pH,DO,BOD,COD,SS,EC,T_N,DTN,NO3_N,NH3_N,T_P,DTP,PO4_P,Chl_a,TOC,TC,FC
2010,1,,5,7.2,12.5,5.9,9.4,9.9,515,9.133,8.668,3.629,4.684,0.525,0.444,0.395,26.8,6.8,25156,1070
2010,2,,7.5,7.2,10.2,6.3,10.4,16.7,454,8.685,8.408,3.108,4.674,0.468,0.394,0.35,15.4,7.2,93375,5125
2010,3,,9.8,7.3,10,5.6,8.3,15.9,364,6.074,5.853,2.954,1.922,0.284,0.234,0.205,4.1,5.6,27950,2308
2010,4,,14.4,7.3,9.9,6.9,10.3,25.6,379,5.468,5.025,2.841,1.524,0.393,0.296,0.271,43.6,6.5,120800,3886
2010,5,,20,7.1,7.8,5.2,8.7,19.4,345,4.752,4.52,2.581,1.1,0.372,0.302,0.272,16.9,5.1,80667,3833
2010,6,,25.6,7,6.6,5.1,8.1,31.5,369,4.518,4.262,2.526,0.895,0.263,0.128,0.108,20.4,6.6,67200,2100
2010,7,,25.5,7,7,4.5,9.4,39.1,265,3.466,3.321,2,0.506,0.264,0.185,0.154,7.3,5,27750,8000
2010,8,,27.3,7.2,6.3,3.9,6.9,43.5,199,3.225,3.003,1.323,0.732,0.24,0.162,0.139,13.7,4.4,26333,8533
2010,9,,24.6,7.3,7.3,3.3,5.9,18.1,197,2.651,2.516,1.954,0.454,0.178,0.13,0.105,12.7,3.9,16080,6548
2010,10,,18.8,7,8.5,3,6.4,11.6,338,4.784,4.681,3.251,0.889,0.229,0.183,0.163,13.3,4.7,24850,7150
2010,11,,12.5,7.2,8.6,4.4,7.7,24.7,432,6.398,6.176,4.019,1.862,0.368,0.294,0.26,17.4,5.4,9300,2125
2010,12,,7.8,7.2,11.8,5.6,8.9,35.5,527,8.161,7.835,3.975,3.617,0.385,0.266,0.243,32.9,6.1,27360,5400
2011,1,13.458,4.6,7.1,12.3,5.7,8.7,23.9,521,10.185,9.739,3.12,6.525,0.561,0.452,0.438,18,6.7,11472,2061
2011,2,13.715,7,7,10.3,6.5,9.9,27.3,499,9.84,9.085,2.189,6.856,0.488,0.358,0.289,31.9,7.3,21317,1805
2011,3,18.302,9.2,7.6,11,6.3,10,34.7,413,8.284,7.389,2.7,4.043,0.518,0.345,0.331,41.4,8,8761,1875
2011,4,20.821,15.5,7.7,10.7,10.8,13.4,39.4,426,7.168,6.557,1.795,3.708,0.607,0.435,0.399,94.5,9.5,15525,1340
2011,5,68.188,20.3,7.7,9.9,6.5,8.8,34.2,252,4.286,3.952,1.828,1.299,0.247,0.1,0.074,53.4,5.8,22204,7078
2011,6,32.059,23.8,7.3,7.5,6.8,9.5,36.4,287,4.502,4.221,1.945,1.514,0.276,0.161,0.135,45.7,7.4,7570,1413
2011,7,226.935,25.8,7.5,7.3,5.6,8.8,111.5,175,3.963,3.377,1.699,1.272,0.345,0.134,0.115,15,5.6,53750,16150
2011,8,187.259,26.4,7.1,8,2.8,5.5,16.1,177,2.94,2.638,1.638,0.504,0.169,0.127,0.106,11.2,3.8,44700,14350
2011,9,55.343,26.3,8.1,9.5,5.7,8,10.2,284,3.579,3.309,1.54,0.862,0.18,0.107,0.089,71.7,5.2,5304,723
2011,10,,18.9,7.7,11.5,5.4,8.4,11,389,6.369,5.847,3.712,1.534,0.572,0.508,0.471,56.7,5.8,1931,431
2011,11,,14.9,7.4,10.9,5.4,8.2,22.4,404,6.197,5.756,3.733,1.06,0.573,0.457,0.419,53.2,6.2,7910,1619
2011,12,,7.8,7,13,2.7,5.9,5.5,457,6.326,6.188,3.813,1.191,0.497,0.451,0.426,10.5,4.6,5567,1408
2012,1,11.582,5.3,7.7,14.8,5.6,9.7,16.9,489,10.047,9.424,3.329,4.694,0.636,0.533,0.457,49.5,7.1,8810,1995
2012,2,12.646,5.9,7.5,12.2,6.3,11.1,13.8,517,10.854,10.585,2.876,6.474,0.574,0.506,0.407,55.7,8.1,19875,3681
2012,3,16.712,11.3,7.6,10.9,7.1,12.2,16,476,11.88,10.716,1.704,7.712,0.61,0.503,0.454,69.5,9.7,25150,4409
2012,4,18.499,16.1,7.8,10.9,6.5,11.7,16.4,344,6.231,5.899,2.054,2.732,0.424,0.34,0.246,94.2,7.6,25851,7173
2012,5,18.403,23.2,7.7,10.7,6.8,11.8,12.8,361,5.233,4.895,1.202,2.906,0.332,0.253,0.228,75.5,7.9,1766,262
2012,6,21,26.3,8.1,12,7.6,13.7,13.7,360,6.126,5.718,1.261,3.168,0.355,0.277,0.236,89,9.2,263,85
2012,7,102.915,27.2,7.7,10.2,4.9,10.2,21.8,224,3.144,2.955,1.7,0.674,0.15,0.098,0.082,52.4,6.1,18471,3834
2012,8,75.448,28,7.2,6.5,4.7,8.5,17.4,194,2.642,2.582,1.325,0.768,0.136,0.118,0.111,37.3,5,35000,8235
2012,9,146.063,23,7.5,8.8,1.8,5.5,11.2,141,2.434,2.319,1.691,0.316,0.069,0.06,0.052,10.7,2.5,23675,3200
2012,10,18.133,19,7.1,9.7,3.5,6.5,8.7,234,3.375,3.11,2.163,0.608,0.081,0.053,0.042,38.6,3.6,3375,1831
2012,11,17.387,12.3,7.3,9.1,3,6.6,5.4,351,5.328,5.239,3.241,1.681,0.112,0.084,0.073,18.5,4,6000,558
2012,12,20.153,5.8,7.3,12.1,3.5,6.6,9.5,341,5.182,5.057,2.969,1.676,0.137,0.094,0.076,11.9,3.7,11330,2825
2013,1,16.706,4,7.1,11.7,3.5,7.4,5.8,417,6.91,6.698,3.011,3.232,0.14,0.105,0.093,12.3,4.8,6160,310
2013,2,30.944,5,7.2,11,3.3,6.2,8.2,281,5.196,5.068,2.2,2.397,0.135,0.106,0.094,4.5,4.4,26050,2242
2013,3,32.16,12.2,7.5,12.4,5.7,10.4,16.9,318,5.986,5.482,2.367,2.896,0.168,0.061,0.043,61.9,6.1,21975,4626
2013,4,14.728,14.5,7.6,10.1,5.1,9.7,10.1,363,7.251,6.937,1.74,4.056,0.1,0.054,0.033,58.5,5.7,6178,912
2013,5,31.743,22.1,7.8,10.2,6.4,12.7,11,355,6.011,5.707,1.221,3.671,0.242,0.196,0.175,71.7,6.7,8613,1051
2013,6,29.729,24.9,7.2,7.7,5.3,11.2,11.8,301,5.309,4.898,1.717,2.505,0.161,0.108,0.081,67.1,6.4,20650,7563
2013,7,75.924,27.1,7.4,7.1,4.3,7.5,14.3,261,3.683,3.374,1.788,1.071,0.141,0.078,0.056,39.5,5.1,23700,4674
2013,8,47.278,29.8,7.7,7.1,4.4,9.3,10.6,250,3.594,3.35,1.423,1.353,0.182,0.13,0.105,54.4,5.5,6590,3539
2013,9,26.117,25.3,7.8,8.5,3.9,7,6.7,232,3.376,3.085,1.726,0.755,0.144,0.079,0.06,49.3,4.7,6043,2696
2013,10,16.872,20.7,7.5,9.5,4,7.4,9.6,357,5.121,4.718,2.948,1.146,0.086,0.037,0.016,60.3,4.9,1374,233
2013,11,16.651,13,7.7,10.4,6,7.2,14,384,5.973,4.832,2.981,1.308,0.116,0.05,0.031,50.6,5.4,19731,2400
2013,12,14.976,7.6,7.4,11.2,4.1,6.6,6.2,473,6.544,6.372,3.441,2.305,0.128,0.078,0.057,12.1,5.1,3625,569
2014,1,11.366,5.8,7.5,13.3,3.9,7,8.1,485,8.59,8.284,3.818,4.091,0.093,0.028,0.006,26.3,4.8,345,11
2014,2,9.354,7.6,7.6,12.3,6.5,9.9,15.1,482,9.945,9.192,2.711,5.798,0.134,0.039,0.01,57.4,7.2,485,44
2014,3,10.65,10.4,7.6,10.3,7,10.6,11.1,457,7.798,7.24,1.736,4.781,0.182,0.071,0.04,53.3,8.4,5039,229
2014,4,15.001,16.5,7.4,7.5,7,9.1,12.4,427,6.001,5.612,1.693,2.97,0.136,0.07,0.039,52.7,6.5,7838,1049
2014,5,27.08,20.9,7.6,9.8,6.5,10,15.4,382,5.056,4.73,1.504,2.156,0.149,0.051,0.024,71.7,7.4,9383,1333
2014,6,17.969,24.7,7.8,9.3,5.1,9.5,13.5,338,4.824,4.541,1.386,2.189,0.124,0.046,0.021,60.4,8.1,2253,313
2014,7,60.399,26,7.6,7.1,5.2,9.4,12.8,295,4.409,3.996,1.412,1.911,0.188,0.096,0.078,58.2,6.3,9902,2614
2014,8,155.49,24.4,7.1,7.5,3.7,7,29.7,152,2.728,2.525,1.44,0.584,0.22,0.102,0.091,13.4,4.5,82200,28113
2014,9,23.917,24.5,7.4,8.6,4.2,7,8.6,282,3.807,3.559,1.746,0.934,0.128,0.061,0.046,21.7,5.1,7260,2195
2014,10,21.623,19.8,7.4,9.6,4.4,6.9,9.5,332,4.258,4.139,2.418,0.857,0.111,0.053,0.042,12.1,5,18265,8475
