BIX,FI,rain
0.73,1.4,rain
0.7,1.33,rain
0.73,1.32,rain
0.79,1.35,rain
0.94,1.39,rain
0.75,1.38,rain
0.77,1.37,rain
0.76,1.35,rain
0.72,1.34,rain
0.74,1.32,rain
0.75,1.31,rain
0.73,1.34,rain
0.78,1.4,rain
0.74,1.3,rain
0.72,1.33,rain
0.74,1.34,rain
0.75,1.32,rain
0.78,1.37,rain
0.74,1.37,rain
0.68,1.31,rain
0.67,1.23,rain
0.65,1.25,rain
0.62,1.23,rain
0.64,1.28,rain
0.66,1.28,rain
0.66,1.3,rain
0.69,1.3,rain
0.71,1.23,rain
0.67,1.2,rain
0.67,1.31,rain
0.75,1.34,rain
0.72,1.34,rain
0.69,1.31,rain
0.7,1.31,rain
0.7,1.31,rain
0.72,1.31,rain
0.71,1.24,rain
0.71,1.25,rain
0.76,1.33,rain
0.7,1.33,rain
0.75,1.37,rain
0.72,1.29,rain
0.75,1.29,rain
0.72,1.31,rain
0.72,1.31,rain
0.7,1.29,rain
0.77,1.36,rain
0.69,1.29,rain
0.75,1.34,rain
0.71,1.29,rain
0.75,1.31,rain
0.8,1.35,rain
0.7,1.31,rain
0.7,1.3,rain
0.71,1.27,non_rain
0.71,1.28,non_rain
0.7,1.32,non_rain
0.66,1.28,non_rain
0.69,1.23,non_rain
0.64,1.3,non_rain
0.7,1.32,non_rain
0.73,1.31,non_rain
0.71,1.33,non_rain
0.69,1.31,non_rain
0.73,1.31,non_rain
0.76,1.3,non_rain
0.74,1.32,non_rain
0.69,1.37,non_rain
0.73,1.35,non_rain
0.74,1.33,non_rain
0.79,1.3,non_rain
0.72,1.34,non_rain
0.76,1.27,non_rain
0.77,1.34,non_rain
0.79,1.34,non_rain
1.15,1.44,non_rain
0.79,1.38,non_rain
0.79,1.37,non_rain
0.78,1.35,non_rain
0.73,1.28,non_rain
0.81,1.33,non_rain
0.77,1.36,non_rain
0.79,1.34,non_rain
0.79,1.38,non_rain
0.76,1.34,non_rain
0.79,1.36,non_rain
0.86,1.37,non_rain
0.77,1.3,non_rain
0.76,1.33,non_rain
0.78,1.31,non_rain
0.69,1.3,non_rain
0.7,1.29,non_rain
0.71,1.34,non_rain
0.67,1.27,non_rain
0.73,1.32,non_rain
0.69,1.35,non_rain
0.69,1.29,non_rain
0.73,1.36,non_rain
0.74,1.33,non_rain
0.77,1.38,non_rain
0.74,1.37,non_rain
0.74,1.35,non_rain
0.73,1.35,non_rain
0.72,1.36,non_rain
0.73,1.3,non_rain
0.7,1.35,non_rain
0.73,1.31,non_rain
0.74,1.32,non_rain
0.71,1.31,non_rain
0.77,1.31,non_rain
0.77,1.35,non_rain
0.91,1.4,non_rain
0.8,1.34,non_rain
0.78,1.36,non_rain
0.79,1.3,non_rain
0.76,1.37,non_rain
0.81,1.31,non_rain
0.75,1.37,non_rain
0.8,1.32,non_rain
0.76,1.42,non_rain
0.78,1.36,non_rain
0.76,1.32,non_rain
0.84,1.38,non_rain
0.76,1.32,non_rain
0.78,1.36,non_rain
0.78,1.34,non_rain
0.72,1.27,non_rain
0.77,1.38,non_rain
0.75,1.37,non_rain
0.66,1.31,non_rain
0.76,1.33,non_rain
0.7,1.34,non_rain
0.74,1.39,non_rain
0.75,1.38,non_rain
0.74,1.33,non_rain
0.73,1.4,non_rain
0.76,1.32,non_rain
0.75,1.37,non_rain
0.75,1.31,non_rain
0.75,1.37,non_rain
0.73,1.31,non_rain
0.72,1.32,non_rain
0.73,1.33,non_rain
0.69,1.29,non_rain
0.73,1.31,non_rain
0.74,1.31,non_rain
0.8,1.33,non_rain
0.98,1.43,non_rain
0.75,1.34,non_rain
0.75,1.36,non_rain
0.76,1.27,non_rain
0.74,1.34,non_rain
0.77,1.32,non_rain
0.77,1.34,non_rain
0.74,1.31,non_rain
0.75,1.36,non_rain
0.73,1.31,non_rain
0.75,1.32,non_rain
0.86,1.37,non_rain
0.74,1.3,non_rain
0.74,1.36,non_rain
0.75,1.33,non_rain
0.67,1.26,rain
0.71,1.26,rain
0.67,1.2,rain
0.65,1.24,rain
0.68,1.24,rain
0.67,1.25,rain
0.69,1.31,rain
0.71,1.34,rain
0.7,1.3,rain
0.71,1.29,rain
0.7,1.34,rain
0.8,1.36,rain
0.73,1.25,rain
0.7,1.33,rain
0.72,1.33,rain
0.68,1.31,rain
0.73,1.32,rain
0.67,1.26,rain
0.7,1.28,rain
0.73,1.35,rain
0.73,1.32,rain
0.78,1.35,rain
0.71,1.31,rain
0.71,1.29,rain
0.71,1.3,rain
0.71,1.27,rain
0.73,1.29,rain
0.77,1.35,rain
0.71,1.34,rain
0.76,1.36,rain
0.73,1.3,rain
0.73,1.34,rain
0.78,1.34,rain
0.72,1.26,rain
0.7,1.34,rain
0.72,1.29,rain
