BIX,FI,month
0.73,1.35,September
0.73,1.32,September
0.78,1.35,September
0.71,1.31,September
0.71,1.29,September
0.71,1.3,September
0.71,1.27,September
0.73,1.29,September
0.77,1.35,September
0.71,1.34,September
0.76,1.36,September
0.73,1.3,September
0.73,1.34,September
0.78,1.34,September
0.72,1.26,September
0.7,1.34,September
0.72,1.29,September
