BOD,Chla,COD,NH3N,NO3N,PO4P,TN,TP
5.8,12.7,7.2,0.249,1.974,0.08,2.928,0.141
5.4,5.2,5.5,0.729,2.836,0.048,4.251,0.12
7,25.3,8.8,0.744,2.434,0.064,4.187,0.133
5.4,0,6.6,0,0,0,3.227,0.075
6.6,8.8,7.9,0.331,3.028,0.067,4.109,0.153
3.4,51.7,9.1,0.172,1.946,0.045,2.605,0.169
5.5,36.6,8.4,1.411,2.189,0.046,4.365,0.189
6.7,45.6,9.6,2.224,2.359,0.052,5.488,0.181
5.4,66.6,7.6,0.013,1.54,0.019,2.244,0.103
8.2,113.2,11.8,0.042,3.074,0.015,4.384,0.156
8,111.6,13.6,1.782,2.27,0.02,5.278,0.155
1.4,6.3,3.7,0.04,1.688,0.008,1.921,0.023
3.1,0,4.3,0,0,0,2.337,0.056
6.5,36.1,8.4,0.219,1.879,0.013,2.96,0.114
1.7,4.9,4,0.044,1.623,0.013,1.86,0.019
6,127.3,10.2,0.019,1.054,0.009,1.977,0.162
5.4,98.2,7.4,4.382,1.868,0.017,7.63,0.22
5.7,84.9,9.8,5.34,2.118,0.013,8.827,0.176
5.4,3.3,6.4,1.525,4.107,0.053,6.886,0.078
3.5,49.2,5.8,0.103,1.427,0.04,2.127,0.051
6.7,99.9,9.6,0.01,0.821,0.005,1.833,0.128
12.1,105.8,14.2,0.016,2.257,0.002,3.515,0.173
12.8,178,15.1,2.912,2.125,0.011,6.87,0.164
5,0,7.2,0,0,0,1.943,0.067
7.4,56.3,9.2,0.749,0.824,0.009,2.53,0.156
5.7,59.1,10.9,0.14,0.211,0.029,1.246,0.115
14.5,36.5,10.6,7.503,0.953,0.092,10.334,0.204
7,53.3,11.2,6.833,1.168,0.034,9.617,0.098
4.4,13.4,7,0.078,0.659,0.022,1.422,0.083
6.3,21.9,8,0.395,2.547,0.016,3.983,0.132
7.4,30.8,11.4,4.555,1.476,0.011,7.193,0.132
7.1,15.7,7.8,0.646,0.528,0.037,1.872,0.127
7.3,132.3,11.8,0.038,0.374,0.009,1.474,0.16
8,49.4,11.4,5.622,1.593,0.063,9.059,0.187
8.3,54.4,11,4.486,2.019,0.023,8.317,0.165
9.8,0,11.2,0,0,0,1.564,0.127
6.9,57.5,9.5,0.039,0.212,0.012,1.014,0.111
8.8,50.6,9.2,0.106,2.647,0.012,3.876,0.145
11.3,92.8,12.8,3.604,2.098,0.01,7.643,0.133
7.3,43.7,8.5,0.44,0.207,0.009,1.503,0.14
4.9,30.5,9.4,0.245,0.431,0.033,1.61,0.154
12.4,21.3,9.8,4.748,0.515,0.094,6.877,0.311
8.4,18.8,10.2,4.869,0.494,0.11,7.014,0.296
4.8,2.4,7.4,6.252,2.684,0.09,12.594,0.126
4.1,30.2,8,0.032,0.427,0.016,1.185,0.105
4.4,7.4,7.6,0.618,2.223,0.029,3.801,0.144
12.2,119.3,14.2,3.636,1.141,0.082,6.492,0.319
4.7,0,6.6,0,0,0,1.188,0.071
9.6,60.6,11.1,0.198,0.269,0,1.33,0.124
5.9,59,10.6,0.048,0.627,0.014,1.439,0.111
9.5,24.8,10.9,6.704,1.356,0.049,8.965,0.17
7.3,18.4,11.3,7.167,1.15,0.077,10.922,0.205
3.6,51.2,7.4,0.13,0.307,0.012,0.82,0.05
1.8,3.9,4.6,0.009,0.065,0.014,0.17,0.026
1.5,2.6,4.3,0.01,0.059,0.012,0.185,0.017
4.1,30.1,8.9,0.086,0.241,0.008,1.079,0.12
5.7,26.2,8.9,0.318,2.22,0.008,3.801,0.169
11,54.7,12.3,4.861,1.972,0,8.756,0.111
3.3,0,6.8,0,0,0,1.043,0.079
9.5,51.7,10,0.451,0.272,0.009,1.659,0.15
6.1,94.6,11.3,0.016,0,0.011,0.799,0.106
8.1,39.7,9.9,5.724,1.679,0.04,8.48,0.137
6.8,42,10.9,6.101,2.149,0.045,9.107,0.157
4.5,33.4,8,0.028,0.314,0,1.095,0.107
5.5,31.2,9.4,0.395,3.115,0.01,4.641,0.175
12,77.7,14.7,5.46,1.856,0,9.048,0.16
4,0,7.3,0,0,0,1.319,0.135
7.4,45.9,10.5,0.626,0.415,0.06,2.282,0.207
7.4,38.4,13.3,0.018,0,0,0.777,0.092
9.4,5.7,11.7,4.894,1.531,0.071,7.917,0.169
8.9,41.5,13.3,4.809,1.768,0.025,8.8,0.13
6.1,39.6,8.7,0.063,0.265,0.008,1.047,0.115
8.1,31.2,11.9,0.366,0.979,0.023,2.405,0.217
12.5,130.5,15.5,2.736,1.792,0.009,6.079,0.2
4.8,0,8.1,0,0,0,0.949,0.09
6.2,32.2,9.3,0.231,0.204,0.008,1.02,0.129
8.5,101,13.6,0,0.131,0.017,0.849,0.103
6.8,35.4,10.4,4.004,1.522,0.056,6.825,0.14
9,105.2,13,4.207,1.242,0.017,6.851,0.124
4.5,20.6,10.7,0.308,0.558,0.024,1.967,0.157
7.8,62,12.2,0.035,1.943,0.001,3.202,0.235
10.6,95.5,14.4,1.918,1.036,0,4.392,0.195
5.3,0,7.7,0,0,0,0.936,0.097
8.1,40.6,10.3,0.337,0.277,0,1.481,0.147
3.9,5.7,10.5,0.388,0.877,0.057,2.174,0.177
7.2,12.1,11.2,1.523,0.652,0.068,3.021,0.25
2.9,12,12.3,0.541,0.781,0.061,2.242,0.122
7,16.3,11.4,2.212,1.034,0.075,4.215,0.147
8.9,19.5,11.9,2.798,1.015,0.176,4.941,0.295
5.9,18.9,11.1,0.638,0.902,0.038,2.431,0.186
3.2,0,7.2,0,0,0,1.287,0.109
4.9,20.7,9.6,0.24,0.362,0.012,1.289,0.153
5.2,4,8.4,5.11,3.206,0.084,9.577,0.154
1.1,4.2,5.1,0.049,0.77,0.018,0.848,0.035
2.5,19.7,8.8,0.374,0.72,0.016,1.118,0.066
1,6.3,7,0.164,1.402,0.036,1.718,0.052
4,13.3,9.4,0.197,0.838,0.04,2.079,0.139
8.2,71.5,11.3,0.248,1.632,0.033,3.098,0.202
8,71.1,12.5,2.462,1.449,0.007,5.284,0.151
4.9,26.3,8.8,0.164,0.413,0,1.399,0.101
5.4,0,8.4,0,0,0,1.376,0.101
5.7,85.7,12.2,0.029,0.853,0.013,1.861,0.124
8.7,79.3,12.5,1.961,1.223,0.021,4.376,0.153
10.7,80,13.9,2.647,1.282,0.025,5.571,0.158
4.7,54.4,11.7,0.046,0.594,0.007,1.737,0.139
9.5,163.1,14.7,0.018,1.489,0.012,2.999,0.204
7.9,49.4,12.3,1.997,1.237,0.028,4.78,0.167
5.1,0,8.6,0,0,0,1.347,0.079
4.2,9.6,9.4,0.259,0.334,0.006,1.387,0.085
