point,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
aa_상주1,0.073 ,0.050 ,0.089 ,0.088 ,0.086 ,0.071 ,0.069 ,0.078 ,0.104 ,0.157 ,0.096 ,0.094 ,0.073 ,0.064 ,0.064 
ab_상주2,0.055 ,0.045 ,0.078 ,0.085 ,0.080 ,0.078 ,0.100 ,0.093 ,0.106 ,0.185 ,0.110 ,0.061 ,0.038 ,0.063 ,0.038 
ac_상주3,0.062 ,0.046 ,0.068 ,0.054 ,0.049 ,0.064 ,0.062 ,0.072 ,0.080 ,0.055 ,0.057 ,0.066 ,0.055 ,0.078 ,0.054 
ad_산곡,0.057 ,0.035 ,0.070 ,0.084 ,0.082 ,0.075 ,0.079 ,0.083 ,0.118 ,0.188 ,0.110 ,0.092 ,0.080 ,0.071 ,0.064 
ae_강정,0.056 ,0.040 ,0.078 ,0.095 ,0.100 ,0.076 ,0.083 ,0.085 ,0.132 ,0.147 ,0.111 ,0.078 ,0.058 ,0.058 ,0.049 
af_구미,0.241 ,0.264 ,0.315 ,0.209 ,0.180 ,0.141 ,0.099 ,0.089 ,0.114 ,0.087 ,0.114 ,0.193 ,0.130 ,0.152 ,0.085 
ag_왜관,0.211 ,0.122 ,0.206 ,0.212 ,0.255 ,0.285 ,0.136 ,0.119 ,0.177 ,0.207 ,0.192 ,0.155 ,0.108 ,0.148 ,0.106 
ah_성주,0.221 ,0.099 ,0.130 ,0.212 ,0.173 ,0.243 ,0.120 ,0.105 ,0.141 ,0.199 ,0.160 ,0.145 ,0.102 ,0.105 ,0.090 
ai_달성,0.215 ,0.095 ,0.135 ,0.168 ,0.165 ,0.253 ,0.134 ,0.088 ,0.135 ,0.198 ,0.163 ,0.149 ,0.108 ,0.115 ,0.089 
aj_화원나루,0.354 ,0.257 ,0.206 ,0.325 ,0.176 ,0.232 ,0.229 ,0.085 ,0.143 ,0.269 ,0.212 ,0.283 ,0.140 ,0.153 ,0.169 
ak_고령,0.232 ,0.190 ,0.198 ,0.268 ,0.154 ,0.298 ,0.197 ,0.113 ,0.158 ,0.242 ,0.233 ,0.220 ,0.163 ,0.153 ,0.144 
al_현풍,0.341 ,0.205 ,0.126 ,0.342 ,0.166 ,0.228 ,0.196 ,0.109 ,0.166 ,0.223 ,0.237 ,0.190 ,0.127 ,0.147 ,0.118 
am_창녕,0.139 ,0.109 ,0.067 ,0.070 ,0.095 ,0.153 ,0.135 ,0.064 ,0.123 ,0.060 ,0.091 ,0.090 ,0.094 ,0.099 ,0.082 
an_합천,0.123 ,0.084 ,0.070 ,0.056 ,0.078 ,0.137 ,0.097 ,0.060 ,0.075 ,0.066 ,0.081 ,0.104 ,0.069 ,0.076 ,0.064 
ao_남지,0.128 ,0.085 ,0.042 ,0.070 ,0.117 ,0.128 ,0.142 ,0.091 ,0.079 ,0.053 ,0.050 ,0.076 ,0.077 ,0.074 ,0.055 
ap_임해진,0.095 ,0.072 ,0.038 ,0.028 ,0.076 ,0.089 ,0.114 ,0.069 ,0.062 ,0.047 ,0.047 ,0.104 ,0.073 ,0.092 ,0.053 
aq_하남,0.097 ,0.031 ,0.167 ,0.042 ,0.064 ,0.107 ,0.138 ,0.062 ,0.058 ,0.040 ,0.034 ,0.063 ,0.072 ,0.050 ,0.045 
ar_삼랑진,0.125 ,0.080 ,0.053 ,0.097 ,0.173 ,0.069 ,0.136 ,0.059 ,0.078 ,0.053 ,0.045 ,0.076 ,0.076 ,0.050 ,0.052 
as_물금,0.117 ,0.060 ,0.066 ,0.078 ,0.106 ,0.064 ,0.100 ,0.076 ,0.090 ,0.075 ,0.065 ,0.094 ,0.080 ,0.083 ,0.058 
at_금곡,0.138 ,0.080 ,0.074 ,0.108 ,0.164 ,0.094 ,0.129 ,0.105 ,0.184 ,0.113 ,0.084 ,0.104 ,0.086 ,0.088 ,0.114 
au_구포,0.137 ,0.081 ,0.073 ,0.138 ,0.206 ,0.070 ,0.165 ,0.081 ,0.126 ,0.090 ,0.051 ,0.075 ,0.079 ,0.070 ,0.094 
