SS,T-P
6.4,0.115
6.7,0.11
13.4,0.147
12.5,0.162
11.5,0.14
13.2,0.126
9.6,0.137
10.6,0.19
8.7,0.153
9.4,0.118
5.9,0.202
3.3,0.169
5.1,0.124
8.6,0.154
19.5,0.176
12.8,0.137
10.1,0.14
7,0.146
10.7,0.166
9.7,0.204
9.1,0.152
11.8,0.192
8.7,0.163
10,0.122
9,0.114
14.7,0.154
16,0.121
9.9,0.159
11,0.133
13.7,0.106
10.3,0.176
13.7,0.181
10.5,0.105
10.1,0.091
13.7,0.087
17.3,0.117
13,0.125
14.1,0.177
25.3,0.199
47.7,0.203
36.6,0.183
24.4,0.128
43.6,0.214
23.2,0.227
10.3,0.19
9.5,0.158
10.6,0.209
9.5,0.14
10.1,0.154
19.1,0.195
12.2,0.194
29.8,0.358
13.3,0.197
14.3,0.2
14.9,0.163
19.7,0.181
8.8,0.129
10.3,0.063
8.7,0.086
14,0.116
