,a_Jan,b_Feb,c_Mar,d_Apr,e_May,f_Jun,g_Jul,h_Aug,i_Sep,j_Oct,k_Nov,l_Dec
2016,49.9,45.2,55.2,185,104.5,116.1,301.4,81,251.3,216.7,31.5,44.9
2017,11.7,41.9,7.8,8.9,28.1,42.1,211.7,273.8,108.8,85.4,2.1,28.5
2018,38.8,22,115.8,127.4,85.4,222.4,84.5,397.1,129.7,125.2,47.2,32.4
2019,16.4,37,33.9,84.7,78.8,158,242.2,64.8,165.8,149.9,22.8,31.6
