T-P,PO4-P,Rain
0.044,0.019,47.5
0.051,0.02,22.3
0.075,0.009,36.4
0.119,0.02,141
0.119,0.046,46.8
0.134,0.067,101.7
0.125,0.04,167
0.11,0.045,139.8
0.086,0.034,59.8
0.09,0.046,95.2
0.113,0.064,120.2
0.066,0.029,61.4
0.059,0.018,51.2
0.073,0.031,43.5
0.096,0.024,58.4
0.108,0.022,185.6
0.092,0.039,105.5
0.119,0.063,106.7
0.119,0.058,287.8
0.109,0.035,86.3
0.098,0.048,243.1
0.097,0.057,207.3
0.094,0.048,32.4
0.056,0.02,45.3
0.079,0.029,13.6
0.086,0.041,43.8
0.091,0.014,9.6
0.109,0.006,21.2
0.138,0.01,30.6
0.121,0.026,69.9
0.118,0.047,210.8
0.112,0.064,252.6
0.08,0.041,94.2
0.071,0.03,75.3
0.07,0.006,7.8
0.067,0.005,30.4
0.072,0.012,44.4
0.095,0.012,35.2
0.108,0.028,114.1
0.094,0.023,115.7
0.131,0.058,117
0.115,0.05,190.1
0.125,0.074,127.6
0.112,0.05,360.8
0.082,0.036,118
0.078,0.03,111.9
0.088,0.038,41
0.071,0.034,27.6
0.073,0.014,13.9
0.1,0.028,31.5
0.17,0.014,28.8
0.161,0.02,72
0.156,0.041,67
0.144,0.053,134.4
0.102,0.064,206
0.089,0.04,55.1
0.077,0.057,141
0.048,0.024,127.5
0.077,0.026,19.4
0.055,0.025,26.9
0.052,0.023,47.2
0.081,0.047,23.9
0.122,0.019,36.5
0.162,0.073,145.5
0.105,0.039,48.6
0.09,0.033,96.1
0.114,0.063,164.3
0.107,0.064,148.9
0.056,0.033,66.6
0.051,0.012,90.9
0.093,0.048,121.9
0.071,0.038,59.2
0.056,0.026,49.9
0.073,0.032,45.2
0.098,0.029,55.2
0.106,0.02,185
0.068,0.02,104.5
0.077,0.032,116.1
0.09,0.056,301.4
0.098,0.049,81
0.082,0.045,251.3
0.123,0.084,216.7
0.074,0.02,31.5
0.095,0.026,44.9
0.078,0.039,11.7
0.077,0.018,41.9
0.106,0.036,7.8
0.152,0.046,8.9
0.123,0.038,28.1
0.102,0.029,42.1
0.156,0.095,211.7
0.138,0.081,273.8
0.079,0.04,108.8
0.067,0.022,85.4
0.103,0.018,2.1
0.11,0.018,28.5
0.092,0.012,38.8
0.073,0.013,22
0.122,0.03,115.8
0.115,0.032,127.4
0.124,0.059,85.4
0.105,0.027,222.4
0.139,0.073,84.5
0.14,0.078,397.1
0.101,0.05,129.7
0.1,0.032,125.2
0.104,0.02,47.2
0.102,0.038,32.4
0.086,0.021,16.4
0.116,0.012,37
0.145,0.024,33.9
0.153,0.022,84.7
0.144,0.031,78.8
0.095,0.04,158
0.12,0.062,242.2
0.144,0.082,64.8
0.117,0.071,165.8
0.078,0.037,149.9
0.118,0.046,22.8
0.133,0.022,31.6
0.088,0.048,47.2
0.116,0.065,23.9
0.103,0.012,36.5
0.164,0.053,145.5
0.081,0.015,48.6
0.085,0.02,96.1
0.142,0.079,164.3
0.162,0.096,148.9
0.081,0.048,66.6
0.119,0.071,90.9
0.1,0.057,121.9
0.071,0.044,59.2
0.078,0.042,49.9
0.114,0.064,45.2
0.197,0.096,55.2
0.195,0.09,185
0.147,0.07,104.5
0.156,0.088,116.1
0.153,0.106,301.4
0.137,0.072,81
0.121,0.078,251.3
0.198,0.139,216.7
0.082,0.028,31.5
0.132,0.029,44.9
0.14,0.068,11.7
0.164,0.06,41.9
0.197,0.032,7.8
0.115,0.027,8.9
0.153,0.047,28.1
0.113,0.022,42.1
0.175,0.099,211.7
0.223,0.149,273.8
0.128,0.067,108.8
0.094,0.034,85.4
0.089,0.006,2.1
0.119,0.007,28.5
0.136,0.034,38.8
0.106,0.021,22
0.191,0.079,115.8
0.166,0.09,127.4
0.236,0.136,85.4
0.114,0.038,222.4
0.208,0.133,84.5
0.187,0.11,397.1
0.166,0.095,129.7
0.192,0.11,125.2
0.255,0.138,47.2
0.344,0.229,32.4
0.122,0.026,16.4
0.142,0.01,37
0.164,0.031,33.9
0.172,0.04,84.7
0.114,0.04,78.8
0.112,0.046,158
0.194,0.128,242.2
0.194,0.111,64.8
0.13,0.073,165.8
0.071,0.03,149.9
0.266,0.167,22.8
0.148,0.005,31.6
0.067,0.034,47.2
0.147,0.081,23.9
0.114,0.014,36.5
0.182,0.082,145.5
0.084,0.012,48.6
0.151,0.057,96.1
0.238,0.154,164.3
0.152,0.055,148.9
0.116,0.053,66.6
0.077,0.03,90.9
0.176,0.118,121.9
0.146,0.102,59.2
0.098,0.056,49.9
0.132,0.07,45.2
0.196,0.097,55.2
0.175,0.051,185
0.149,0.074,104.5
0.201,0.048,116.1
0.143,0.085,301.4
0.15,0.071,81
0.196,0.127,251.3
0.357,0.249,216.7
0.204,0.106,31.5
0.217,0.091,44.9
0.146,0.07,11.7
0.247,0.122,41.9
0.269,0.125,7.8
0.207,0.092,8.9
0.203,0.062,28.1
0.184,0.066,42.1
0.516,0.364,211.7
0.216,0.134,273.8
0.101,0.038,108.8
0.113,0.021,85.4
0.1,0.01,2.1
0.196,0.032,28.5
0.113,0.016,38.8
0.161,0.057,22
0.257,0.107,115.8
0.162,0.051,127.4
0.132,0.043,85.4
0.153,0.053,222.4
0.172,0.091,84.5
0.181,0.094,397.1
0.148,0.08,129.7
0.176,0.097,125.2
0.233,0.093,47.2
0.122,0.03,32.4
0.102,0.016,16.4
0.127,0.009,37
0.345,0.164,33.9
0.301,0.132,84.7
0.208,0.115,78.8
0.243,0.112,158
0.175,0.111,242.2
0.137,0.066,64.8
0.179,0.106,165.8
0.072,0.027,149.9
0.146,0.083,22.8
0.321,0.197,31.6
0.115,0.055,47.2
0.11,0.029,23.9
0.147,0.017,36.5
0.162,0.049,145.5
0.14,0.027,48.6
0.126,0.025,96.1
0.137,0.041,164.3
0.19,0.063,148.9
0.153,0.049,66.6
0.118,0.039,90.9
0.202,0.093,121.9
0.169,0.089,59.2
0.124,0.036,49.9
0.154,0.072,45.2
0.176,0.046,55.2
0.137,0.025,185
0.14,0.045,104.5
0.146,0.068,116.1
0.166,0.085,301.4
0.204,0.117,81
0.152,0.077,251.3
0.192,0.126,216.7
0.163,0.061,31.5
0.122,0.023,44.9
0.114,0.019,11.7
0.154,0.02,41.9
0.121,0.018,7.8
0.159,0.044,8.9
0.133,0.038,28.1
0.106,0.006,42.1
0.176,0.101,211.7
0.181,0.104,273.8
0.105,0.039,108.8
0.091,0.031,85.4
0.087,0.008,2.1
0.117,0.007,28.5
0.125,0.013,38.8
0.177,0.023,22
0.199,0.034,115.8
0.203,0.043,127.4
0.183,0.048,85.4
0.128,0.026,222.4
0.214,0.096,84.5
0.227,0.09,397.1
0.19,0.108,129.7
0.158,0.07,125.2
0.209,0.066,47.2
0.14,0.038,32.4
0.154,0.024,16.4
0.195,0.018,37
0.194,0.027,33.9
0.358,0.098,84.7
0.197,0.045,78.8
0.2,0.037,158
0.163,0.079,242.2
0.181,0.063,64.8
0.129,0.073,165.8
0.063,0.016,149.9
0.086,0.053,22.8
0.116,0.032,31.6
0.068,0.043,41.9
0.098,0.044,25.3
0.119,0.039,37
0.102,0.041,153.8
0.082,0.017,67.5
0.073,0.011,98.9
0.114,0.067,179.5
0.117,0.069,145.9
0.086,0.038,66.7
0.064,0.024,87.6
0.123,0.092,112.5
0.139,0.109,58
0.064,0.029,52.3
0.124,0.082,46.2
0.109,0.049,63.3
0.127,0.026,194.1
0.139,0.048,111.9
0.125,0.053,122.8
0.156,0.065,277.4
0.185,0.07,71
0.133,0.065,244.7
0.165,0.096,211.6
0.136,0.05,43.6
0.108,0.025,47
0.115,0.021,11.8
0.142,0.015,39.5
0.122,0.01,10.1
0.149,0.034,22.8
0.137,0.053,80.3
0.105,0.018,48.2
0.165,0.098,229.7
0.147,0.084,231.1
0.089,0.037,83.8
0.078,0.025,66
0.086,0.016,7.7
0.147,0.019,29.9
0.134,0.018,49
0.169,0.019,44.5
0.193,0.05,120.4
0.128,0.03,108.2
0.147,0.037,135.8
0.125,0.024,168.6
0.156,0.056,150.2
0.181,0.063,358.6
0.106,0.052,106.4
0.145,0.056,107.4
0.166,0.04,37.8
0.135,0.04,25.2
0.126,0.021,12.5
0.174,0.033,28.1
0.183,0.029,26.3
0.194,0.03,65.2
0.184,0.041,62.7
0.15,0.025,122.2
0.124,0.067,182.7
0.16,0.056,53.7
0.128,0.053,132
0.075,0.03,115.7
0.08,0.029,17.1
0.095,0.012,24.7
0.071,0.039,41.9
0.076,0.015,25.3
0.084,0.011,37
0.099,0.038,153.8
0.067,0.027,67.5
0.059,0.015,98.9
0.093,0.047,179.5
0.123,0.055,145.9
0.083,0.047,66.7
0.073,0.033,87.6
0.114,0.081,112.5
0.109,0.075,58
0.061,0.009,52.3
0.112,0.073,46.2
0.092,0.04,63.3
0.114,0.051,194.1
0.087,0.024,111.9
0.133,0.048,122.8
0.098,0.05,277.4
0.112,0.056,71
0.15,0.092,244.7
0.169,0.12,211.6
