"pH","DO","Temp","EC","BOD","COD","SS","T_N","T_P","TOC","NH3_N","PO4_P","Chl_a","Flow","Rain","log.TC","log.FC"
-0.973301474961337,1.40020123403718,-1.6034572114365,-0.507489341499469,-1.75298904680568,-2.0724096221286,-1.40841489959686,-0.857589799327845,-1.69172153373911,-1.60868466850409,-0.8943937528905,-0.757468928252828,-1.36970247227216,-0.739832776350497,-0.648938784974391,-0.455158854577718,-0.50471459723649
-1.2050399213807,0.932731657617457,-1.54047527139815,-0.0847772569557191,-1.50725727224031,-2.15835714404165,-1.40841489959686,-0.87024023349339,-1.54896022287505,-1.60868466850409,-0.897905122969975,-0.729386788055615,-1.31511362268228,-0.753452443370836,-0.952459190395036,-0.147618648745964,0.118186655304992
-0.0463476892838743,0.737952667442574,-1.09960169112965,0.631484886298969,-0.0328666248481175,-0.353459183867449,-0.287894985059613,-1.08276752747455,-1.05949287134113,0.0380312973056048,-0.937700650537354,-1.03829033022496,0.0666666325616451,-0.839598926180462,-0.78832369218473,-0.648127170158264,-0.458570695432313
-0.0463476892838743,-0.119074889326912,-0.205258142585002,-0.437037327408844,-0.0942995684894592,-0.482380466737034,0.891599661821696,-1.19493471040904,-0.162136060195611,-0.491270263133224,-0.890297154464446,-0.729386788055615,0.315728258815488,-0.696508866227519,0.631578633602836,0.324222523105609,-0.115515224389052
-0.973301474961337,-0.976102446096399,0.336386541744859,-0.789297397861969,-0.647196061261532,-0.697249271519678,-0.302638668145629,-1.23499441859994,-0.162136060195611,-0.138402556174005,-0.803683359170738,0.000748857071925717,-0.765813323684077,-0.716269916842918,-0.630701507395468,-0.486556427906134,-0.447386805407961
-1.43677836780007,-0.976102446096399,0.789856510021021,-0.636651367332282,-0.524330173978849,0.205199708567424,-0.169945520371482,-0.855481393633588,0.143781034513089,0.626144142237637,-0.793734477278893,0.590473801213401,-1.19570051420441,-0.737242532929451,-0.0119367323962999,-0.178431174124161,-0.0218190790739283
-0.973301474961337,-1.01505824413138,1.12995898622814,-1.00065344013384,-1.50725727224031,-0.95509183725885,-0.9071296746723,-1.01698526981371,-0.0397692223121312,-0.432458978640021,-0.939456335577092,-0.167743984111353,-0.936403478652463,-0.553126359436716,0.876479218234086,0.00722404207864821,-0.0231445771508887
-1.43677836780007,-1.01505824413138,1.15515176224348,-1.07110545422447,-1.50725727224031,-1.38482944682414,-0.966104407016365,-1.37035406417127,-0.345686317020831,-0.844137970092444,-0.945893847389462,-0.0273332831252874,-1.26734837929113,-0.682722086728403,0.675869164865934,0.0838653235573287,0.0279699424418889
-0.973301474961337,-0.742367657886538,0.600910689905953,-0.378327315666657,-1.9372878777297,-1.51375072969372,-1.46738963194092,-1.42390756880541,-0.835153668554752,-0.844137970092444,-0.946479075736041,-0.336236825294632,-1.36970247227216,-0.751948431061841,-0.396222224237889,-0.180576349941631,-0.128024612490364
-1.2050399213807,-0.508632869676679,0.147440721629791,-0.284391296879157,-1.69155610316434,-1.25590816395455,-1.24623438565068,-1.28896960437293,-0.753575776632432,0.0380312973056048,-0.909024461554978,0.000748857071925717,-1.35264345677532,-0.756209799270659,-0.0796751919751561,0.373854090882515,0.338467866969815
-1.43677836780007,-0.235942283431842,-0.444589514730754,-0.331359306272907,-1.32295844131629,-1.04103935917191,-1.31995280108076,-0.989575995788364,-0.284502898079091,-0.373647694146818,-0.804853815863896,0.506227380621762,-1.19228871110504,-0.696968425544156,0.324150240129565,0.430408726070346,0.314277527065291
-1.43677836780007,0.776908465477551,-1.22556557120637,-0.249165289833844,-1.81442199044702,-1.90051457830248,-1.74751961057523,-0.804457975832557,-1.24304312816635,-2.19679751343612,-0.875666445799969,-0.476647526280697,-1.43111492806078,-0.663587707908418,-0.492619262869338,0.263670060257949,-0.290646657807418
-0.27808613570324,0.776908465477551,-1.55307165940582,-0.0612932522588441,-1.81442199044702,-2.20133090499818,-1.48213331502694,-0.686387256954137,-1.38580443903041,-1.13819439255846,-0.844649343431276,-0.785551068450041,-1.36287886607343,-0.799074150077,-0.613766892500754,-0.165072579260829,-0.557568833055277
-1.2050399213807,1.24437804189727,-1.55307165940582,-0.601425360286969,-1.44582432859897,-1.77159329543289,-0.818667576156202,-0.804879656971408,-1.10028181730229,-0.844137970092444,-0.837626603272327,-0.420483245886271,-1.30829001648354,-0.631543890102898,-0.674992038658567,0.331438114491642,-0.0679629808781053
-0.973301474961337,0.660041071372621,-1.01142697507596,-0.413553322711969,-1.07722666675092,-1.29888192491108,0.139671824434862,-0.905239768018065,-0.631208938748951,-0.550081547626428,-0.876836902493127,-0.617058227266763,-1.02852216233539,-0.68727590177508,-0.544725770237689,0.267375363942669,-0.195790701674954
-0.741563028541972,-0.0801190912919357,-0.129679814538975,-0.789297397861969,-0.892927835826898,-0.869144315345793,0.405058119983156,-1.15782677019011,-0.386475262981991,-0.373647694146818,-0.90083126470287,-0.673222507661189,-0.458751044740983,-0.561398427136185,1.1461303938653,-0.0255386431336125,0.0993811513381193
-1.2050399213807,0.348394687092807,0.34898292975253,-0.683619376726032,-1.56869021588165,-1.29888192491108,-0.42058813283376,-1.21433204279621,-0.712786830671272,-0.667704116612834,-0.911950603287873,-0.195826124308566,-1.08993461812401,-0.623271822403428,0.0974869330772374,0.0815251317564528,-0.147658552755337
-1.66851681421944,-1.32670462841119,0.815049286036363,-0.930201426043219,-1.13865961039226,-0.267511661954391,-0.228920252715547,-0.959636634929908,-0.162136060195611,0.743766711224044,-0.837041374925747,0.478145240424549,-1.27417198548987,-0.646584013192842,0.248595804445455,0.102294333989225,-0.23273896057022
-1.2050399213807,-0.937146648061422,1.14255537423581,-1.38813951763228,-1.26152549767495,-1.25590816395455,-0.346869717403678,-1.18101923282694,-0.162136060195611,-0.197213840667208,-0.930677910378405,0.337734539438483,-0.830637582572064,-0.578736346809315,2.66242975828432,0.47379978237825,0.297708801103289
-1.43677836780007,-1.17088143627128,1.35669397036622,-0.425295325060407,-1.26152549767495,-0.654275510563149,-0.877642308500267,-1.47619603002299,-0.366080790001411,-0.0207799871875983,-0.941212020616829,-0.308154685097418,-0.874991022863844,-0.683014533566263,-0.208638797711825,-0.248636928150434,-0.30522713665398
-0.741563028541972,-0.820279253956492,0.739470957990336,-1.38813951763228,-1.630123159523,-0.95509183725885,-0.803923893070186,-1.23457273746108,-0.590419992787791,-0.550081547626428,-0.88795624107813,0.056913137466352,-1.26734837929113,-0.26452310858856,2.00979575349572,0.457515947763823,0.447407240169981
-0.741563028541972,-0.625500263781609,0.210422661668147,-1.55252755051041,-1.99872082137104,-1.47077696873719,-0.818667576156202,-1.07053877444785,-0.610814465768371,-1.07938310806526,-0.938285878883933,0.30965239924127,-1.40723230636521,-0.35810609670377,1.55907446475948,0.715522093810374,0.338964928748675
