year,month,date,T-P,TOC
2018,5,2018.05.08,0.163,4.9
2018,5,2018.05.14,0.135,5.3
2018,5,2018.05.21,0.104,4.3
2018,5,2018.05.28,0.125,4.7
2018,6,2018.06.04,0.144,5.3
2018,6,2018.06.11,0.141,5.1
2018,6,2018.06.18,0.167,6.3
2018,6,2018.06.25,0.161,6
2018,7,2018.07.02,0.241,4
2018,7,2018.07.09,0.165,4
2018,7,2018.07.16,0.152,5.6
2018,7,2018.07.23,0.129,7.1
2018,8,2018.08.06,0.161,6.1
2018,8,2018.08.13,0.224,5
2018,8,2018.08.20,0.136,4.9
2018,8,2018.08.28,0.204,4.8
2018,9,2018.09.03,0.148,3.7
2018,9,2018.09.10,0.133,3
2018,9,2018.09.17,0.162,3.5
2018,10,2018.10.01,0.115,5
2018,10,2018.10.08,0.398,3.5
2018,10,2018.10.15,0.13,4.4
2018,10,2018.10.22,0.084,4
2018,10,2018.10.29,0.152,4.5
2018,11,2018.11.05,0.1,4.2
2018,11,2018.11.12,0.637,6.5
2018,11,2018.11.19,0.1,5.3
2018,11,2018.11.26,0.096,6.2
2018,12,2018.12.03,0.157,6.2
2018,12,2018.12.10,0.158,4.3
2018,12,2018.12.17,0.08,4.4
2018,12,2018.12.24,0.091,4.2
2019,1,2019.01.07,0.094,4.1
2019,1,2019.01.14,0.104,4.9
2019,1,2019.01.21,0.1,5.9
2019,1,2019.01.28,0.109,6.2
2019,2,2019.02.11,0.126,5.4
2019,2,2019.02.18,0.096,4.9
2019,2,2019.02.25,0.158,5.4
2019,3,2019.03.04,0.1,5.8
2019,3,2019.03.11,1.016,7.8
2019,3,2019.03.18,0.121,6.5
2019,3,2019.03.25,0.144,6.2
2019,4,2019.04.01,0.136,5.8
2019,4,2019.04.08,0.912,7.9
2019,4,2019.04.15,0.186,5.5
2019,4,2019.04.22,0.147,5.8
2019,4,2019.04.29,0.126,5.4
2019,5,2019.05.07,0.106,5.3
2019,5,2019.05.14,0.101,5.4
2019,5,2019.05.20,0.481,6
2019,5,2019.05.28,0.143,6.3
2019,6,2019.06.03,0.106,5.7
2019,6,2019.06.10,0.62,7
2019,6,2019.06.17,0.085,6.2
2019,6,2019.06.24,0.159,6.6
2019,7,2019.07.01,0.302,5.7
2019,7,2019.07.08,0.138,5.9
2019,7,2019.07.15,0.118,4.9
2019,7,2019.07.22,0.141,4
2019,8,2019.08.05,0.105,4.8
2019,8,2019.08.12,0.246,5.6
2019,8,2019.08.19,0.11,6.6
2019,8,2019.08.26,0.087,4.8
2019,9,2019.09.02,0.198,4.5
2019,9,2019.09.10,0.234,4.1
2019,9,2019.09.16,0.071,4.6
2019,9,2019.09.24,0.213,3.8
2019,10,2019.10.07,0.095,3.2
2019,10,2019.10.14,0.079,3.4
2019,10,2019.10.21,0.062,4.3
2019,10,2019.10.28,0.05,4.6
2019,11,2019.11.04,0.075,4.5
2019,11,2019.11.11,0.314,6.8
2019,11,2019.11.18,0.083,3.9
2019,11,2019.11.25,0.11,4.8
2019,12,2019.12.02,0.985,4.5
2019,12,2019.12.09,0.11,6.8
2019,12,2019.12.16,0.088,3.9
2019,12,2019.12.23,0.101,4.8
2020,1,2020.01.06,0.108,4.8
2020,1,2020.01.13,0.102,4.6
2020,1,2020.01.20,0.107,4.4
2020,1,2020.01.28,0.46,5.7
2020,2,2020.02.03,0.097,4.6
2020,2,2020.02.10,0.079,4.6
2020,2,2020.02.17,0.409,6.2
2020,2,2020.02.24,0.271,4.3
2020,3,2020.03.02,0.11,4.7
2020,3,2020.03.09,0.295,6.3
2020,3,2020.03.16,0.11,5.2
2020,3,2020.03.23,0.132,5.9
2020,4,2020.04.06,0.044,5.1
2020,4,2020.04.13,0.103,5.9
2020,4,2020.04.20,0.29,4.9
2020,4,2020.04.27,0.114,5.5
