p.H,DO,BOD,COD,SS,TN,T.P,TOC,WT,EC,TC,NH3N,PO4P,Chla,FC,Flow
-1.055563269,0.578469524,0.866125687,-0.097801736,-0.303345108,1.95053394,3.143879623,0.440181881,-1.518121433,1.521056599,0.473968,1.667446966,3.032529889,-0.680598431,-0.234784041,-0.367934607
0.091690877,1.206965533,-0.36990187,0.061475377,-0.472054178,1.879566071,2.194230174,0.061118779,-1.518121433,1.835019328,-0.163253781,1.598452686,2.592089984,-0.603091691,-0.365261737,-0.361570204
0.091690877,1.311714867,1.042701052,0.698583829,-0.339497052,0.992928539,0.932458178,-0.047184964,-1.518121433,1.197579848,0.102104716,0.645756657,1.077594873,-0.245368277,-0.289986143,-0.321931037
-0.099518147,0.543553079,0.100965771,0.459668159,-0.080408124,1.021960849,1.430526071,0.061118779,-1.268755004,1.073897561,1.534563986,0.964855206,1.58757792,-0.358647358,-0.200491825,-0.341179899
-0.099518147,-0.015110041,2.102153244,1.455150115,0.552250887,1.896616792,1.968439396,1.09000434,-1.144071789,1.102439628,2.647535081,1.946873804,1.819388397,-0.987644361,0.547245744,-0.322847649
-0.099518147,0.578469524,-0.134468049,-0.376536684,-0.363598348,0.844080346,1.563344176,-0.372096194,-1.518121433,0.24617764,0.316842669,0.328382965,1.943020651,-1.136695783,-0.362752551,-0.321014424
-0.67314522,-0.259525155,0.983842597,0.89768022,0.058174326,1.841317154,1.875466722,0.765093111,-0.89470536,1.330776158,3.197473741,1.95319828,2.20573919,-0.919080706,0.185922892,-0.359494855
-0.099518147,0.124555739,0.983842597,0.340210325,0.829415787,0.345001112,0.640258348,-0.372096194,-0.89470536,-0.286607597,0.971531549,0.02020851,0.722152142,-1.244012807,0.358220363,0.117870016
-0.099518147,0.264221519,0.159824226,-0.177440292,-0.339497052,0.351913566,0.527362958,-0.372096194,-1.144071789,0.52208428,0.159717338,-0.610514208,0.992597698,-1.23805075,-0.37780767,0.034544751
-0.290727171,0.159472184,0.277541136,-0.575633075,-0.309370432,-0.198778664,-0.090241229,-0.642855552,-1.019388575,-0.34369173,0.028779562,-0.508747643,0.165807,-1.169487096,-0.369443715,-0.048780513
-0.099518147,0.124555739,-0.075609594,-0.416355962,-0.21296525,0.294309777,0.879330936,-0.642855552,-0.645338931,0.445972104,-0.316896167,-0.036711772,1.201227127,-1.094961385,-0.383662438,-0.280769947
